cell_id,method,epoch,target,status,cell_path,cell_sha256,checkpoint_sha256,updated_at
medical__RA__E16__Brain,RA,16,Brain,COMPLETE,cells/medical__RA__E16__Brain.json,8439a163de4eebfd1cecca14bde36a06e2a7f3217d9ea123e6293edd5b6ccbfe,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:35:44Z
medical__RA__E16__Colon_Kvasir,RA,16,Colon_Kvasir,COMPLETE,cells/medical__RA__E16__Colon_Kvasir.json,c086e38079b4bc9c8636736f6fe6297b13bba7be3939b7b7e19303bebb0fbc77,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:49:35Z
medical__RA__E16__Colon_clinicDB,RA,16,Colon_clinicDB,COMPLETE,cells/medical__RA__E16__Colon_clinicDB.json,7ca8fb38a9e44c4f526db5a8de3c2e20190c286958a4b780aee07bbc28cf4fb5,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:45:51Z
medical__RA__E16__Colon_colonDB,RA,16,Colon_colonDB,COMPLETE,cells/medical__RA__E16__Colon_colonDB.json,212804f5088d19e32020069214b96fa647374366ec5a27c86779046db70a9e84,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:46:53Z
medical__RA__E16__Liver,RA,16,Liver,COMPLETE,cells/medical__RA__E16__Liver.json,f7a63290db5ccd27482f1dad3bc07a4462c734990337ea488c3052938970af2e,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:39:32Z
medical__RA__E16__Retina,RA,16,Retina,COMPLETE,cells/medical__RA__E16__Retina.json,62cbacc0194d6e04c6407f08a4b7dfa035cd5a9c8eff11f61861814bbba0c707,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T14:44:16Z
medical__RCA__E12__Brain,RCA,12,Brain,COMPLETE,cells/medical__RCA__E12__Brain.json,dfec5695148f1ed047aa8513f8008ac47ee31fec0375944789aa3c31e42ddd78,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,2026-09-01T14:59:15Z
medical__RCA__E12__Colon_Kvasir,RCA,12,Colon_Kvasir,COMPLETE,cells/medical__RCA__E12__Colon_Kvasir.json,61e76fb4768e415a68685afe291c50744f7008389e059e782e6de215af6879a6,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,2026-09-01T15:13:12Z
medical__RCA__E12__Colon_clinicDB,RCA,12,Colon_clinicDB,COMPLETE,cells/medical__RCA__E12__Colon_clinicDB.json,32ac216c7388ff6bee687cf3badca3360f20680830adc2c5c7f6aed264eb93ab,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,2026-09-01T15:09:31Z
medical__RCA__E12__Colon_colonDB,RCA,12,Colon_colonDB,COMPLETE,cells/medical__RCA__E12__Colon_colonDB.json,4256bfff726f35fda12627b8474ede524eff82fd3e466b70b400faa93218bac1,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,2026-09-01T15:10:32Z
