method,epoch,target,n_images,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,pixel_auroc,pixel_ap,image_auroc,image_ap
RA,16,Brain,3715,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.960425155456357,0.5719115315928687,0.8378978658536586,0.9579621840260394
RA,16,Colon_Kvasir,1000,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8303320555857917,0.4985191274780808,,
RA,16,Colon_clinicDB,612,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8574904209955617,0.4939690172304632,,
RA,16,Colon_colonDB,380,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.7968656764885268,0.30762901126642894,,
RA,16,Liver,1493,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9440925406994128,0.0472773967538416,0.6902579213503583,0.5641261803662518
RA,16,Retina,1805,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8842151612184899,0.31044177440919296,0.7714019695117964,0.7102110691336978
RCA,12,Brain,3715,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9617484829180312,0.5608398641032626,0.850162093495935,0.9630402618354184
RCA,12,Colon_Kvasir,1000,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8048122513741723,0.47089357730782755,,
RCA,12,Colon_clinicDB,612,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8675225792971674,0.4973616723873419,,
RCA,12,Colon_colonDB,380,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.7808127930564839,0.3107912899039332,,
RCA,12,Liver,1493,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9328000011695907,0.06599639241410188,0.7311670122594492,0.5852440072201683
RCA,12,Retina,1805,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8627251397374865,0.3354022032762219,0.7781199863200406,0.7619549076691435
R,10,Brain,3715,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9444387426155232,0.40982065326823186,0.819920731707317,0.9502819119237683
R,10,Colon_Kvasir,1000,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.855465326689836,0.5291695698578737,,
R,10,Colon_clinicDB,612,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.884070058485606,0.48565991041115547,,
R,10,Colon_colonDB,380,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8138866447544592,0.26777875557424163,,
R,10,Liver,1493,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9452456107869426,0.05579907713246286,0.6254128924296991,0.4911264445606269
R,10,Retina,1805,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9226911322228913,0.37832344957698866,0.7911461240953372,0.7966319991207158
