cell_id,target,method,epoch,status,cell_path,cell_sha256,checkpoint_sha256,updated_at
mvtec__RA__E16__bottle,bottle,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__bottle.json,8ceea43a23bc2685df5e5bf0a48d1f3ca0febd641d893f4229db7f2e2cc37577,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:20:11Z
mvtec__RA__E16__cable,cable,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__cable.json,9667bafea1d308a0ef6b56754fb1a65674339ff0e35f5806057aed4ca1d69f06,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:20:38Z
mvtec__RA__E16__capsule,capsule,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__capsule.json,087d2a772bbcea33de9cc2f349909ea5e5c7cee80283841d83824e0ea8f6139c,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:21:02Z
mvtec__RA__E16__carpet,carpet,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__carpet.json,e3f6904bc71acc85ef2fd111f6659f596f1fd9205f65fb9b3893eecc6a5deadc,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:21:23Z
mvtec__RA__E16__grid,grid,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__grid.json,e70da5a74b021c006cbc4f2e1eafd315235dd720961fa83e921de9b33bc46e79,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:21:37Z
mvtec__RA__E16__hazelnut,hazelnut,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__hazelnut.json,61ddd19c9fa54876a1721dbd13ac3efdfd8b2ec849fc939001757dc81a0e7325,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:21:57Z
mvtec__RA__E16__leather,leather,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__leather.json,36bdd26fa42d785f283109ede4c8bd66fbbc4db4468cd1a35837c08121416626,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:22:20Z
mvtec__RA__E16__metal_nut,metal_nut,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__metal_nut.json,d0c23578b3c012382725dd17e337345b78a9e984b302e087062c9e4a7a9f81fb,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:22:40Z
mvtec__RA__E16__pill,pill,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__pill.json,714ea8eefd53b28782418d76d50209a8c572499af7a9db23fafa2b4684ed5f55,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:23:09Z
mvtec__RA__E16__screw,screw,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__screw.json,f73070927a7e6debec0ede0bf629d6f79a2ad743a39f497eef772f4ef3b6228c,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:23:36Z
mvtec__RA__E16__tile,tile,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__tile.json,dde891522d9a0a8204570f13452039b20298b7e86c524bda3c10451d988ee2e0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:23:57Z
mvtec__RA__E16__toothbrush,toothbrush,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__toothbrush.json,601c39564d6a08bfb3cad6ef5b95f584c38a8e002c76455ffacb4ffe712ef17a,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:24:24Z
mvtec__RA__E16__transistor,transistor,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__transistor.json,cad34268143ae8d5d1d2fda273242947cb97d3515c0f626f539e3a9fb6b0118b,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:24:16Z
mvtec__RA__E16__wood,wood,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__wood.json,3f26894c32f30bbb38e8cf5e63fd61f14aa2e9c8bfa711d28a06ad0ed6ab1491,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:24:39Z
mvtec__RA__E16__zipper,zipper,RA,16,COMPLETE,mvtec_cells/mvtec__RA__E16__zipper.json,ce31bfe487786bc2bd00a91afeace721c19c3a3274b1eb97d123192e31e6c5f9,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,2026-09-01T15:25:05Z
