epoch,global_step,mean_loss,mean_cls,mean_seg,mean_kg,mean_k,mean_anchor,alpha,beta,soft_prompt_frozen,nonfinite_loss_skips,nonfinite_grad_skips,batches,elapsed_seconds,image_lr,text_lr,soft_prompt_lr,scheduler_last_epoch,scheduler_step_count
1,359,1.3885884736573795,0.6839024949206616,0.6983027508622425,0.5295556061447165,-4.109234166680062e-08,1.0876709292526032,0.0,0.0,True,0,2,359,622.5294016608968,0.0009000000000000001,0.00045000000000000004,0.0,1,2
2,720,1.186547294052684,0.6709869171278628,0.5083889989362942,0.6106073181054599,-4.3467914874177205e-08,1.065313532411887,0.0,0.0,True,0,0,361,625.1001969128847,0.0008100000000000001,0.00040500000000000003,0.0,2,3
3,1080,1.050689338809914,0.564585479762819,0.47900242330506443,0.5989840674731467,-4.236590537646615e-08,1.1115952637460498,0.0,0.0,True,0,1,360,623.9323995118029,0.000729,0.0003645,0.0,3,4
4,1440,1216.6338355365726,0.5053631819784641,0.4566897267786165,0.41377167196737397,0.0005056135851191357,1215667.5892506307,0.05,0.05,False,0,1,360,636.0341564160772,0.0006561000000000001,0.00032805000000000003,5e-05,4,5
5,1801,49.04207041256976,0.5054029357565407,0.4625107960213089,0.23659043662105572,0.000610870579573638,48071.78750703341,0.1,0.05,False,0,0,361,637.5504844789393,0.00059049,0.000295245,5e-05,5,6
6,2162,32.57287547198689,0.49927524351347186,0.4564266684581203,0.23045914048468308,0.0021539521123053007,31614.863237967453,0.2,0.05,False,0,0,361,637.9621224286966,0.000531441,0.0002657205,5e-05,6,7
7,2523,23.101097058061086,0.5041735533862233,0.46036273920057225,0.2231268729199333,0.0019721460471915243,22134.324509554623,0.2,0.1,False,0,0,361,637.6230843388475,0.0004782969,0.00023914845,5e-05,7,8
8,2884,18.371682466892654,0.5017555926480122,0.4606737160121305,0.2162714998477714,0.0019559777387575224,17407.085756254328,0.2,0.1,False,0,0,361,640.2438696259633,0.00043046721,0.000215233605,5e-05,8,9
9,3245,14.254509558638047,0.4972422580309522,0.45869458074632447,0.21003611472504952,0.0020586967176739693,13296.467628711478,0.2,0.1,False,0,0,361,640.7416968117468,0.000387420489,0.0001937102445,5e-05,9,10
10,3605,10.858201404412588,0.4984092428452439,0.4552840970146159,0.20281157402528657,0.0018415265729547375,9902.475821261936,0.2,0.1,False,0,1,360,637.8382456591353,0.0003486784401,0.00017433922005,5e-05,10,11
11,3966,9.437872321321693,0.49713788559232064,0.4601403574905567,0.19866913548797122,0.0018904833868016952,8478.603191682176,0.2,0.1,False,0,0,361,637.8344424949028,0.00031381059609000004,0.00015690529804500002,5e-05,11,12
12,4327,8.177862082161731,0.5035228511303086,0.4616221879348365,0.19650273660708661,0.001768339487241576,7210.748167254588,0.2,0.1,False,0,0,361,641.2491344916634,0.00028242953648100003,0.00014121476824050002,5e-05,12,13
13,4688,6.038642525342693,0.5033471271436961,0.46772416257957344,0.19236760778440332,0.0017337474389610568,5065.643863751948,0.2,0.1,False,0,0,361,641.5369009231217,0.00025418658283290005,0.00012709329141645002,5e-05,13,14
14,5049,5.22880215856177,0.5046885486619954,0.4614556267692442,0.18844050924368513,0.0016239419214458429,4260.770124694317,0.2,0.1,False,0,0,361,638.2742769960314,0.00022876792454961005,0.00011438396227480502,5e-05,14,15
15,5410,4.373026442990079,0.4959522919971857,0.460384234228788,0.18690555375533752,0.0016835245024541862,3414.8173395299514,0.2,0.1,False,0,0,361,640.0832315050066,0.00020589113209464906,0.00010294556604732453,5e-05,15,16
16,5771,3.736190147347067,0.4920776598671467,0.45879898165608046,0.18273349692451657,0.0016533036060357813,2783.4827289105783,0.2,0.1,False,0,0,361,637.3627114659175,0.00018530201888518417,9.265100944259208e-05,5e-05,16,17
17,6131,3.222270725833045,0.4911558361517058,0.46031257847530976,0.1802658360865381,0.0016547029284993187,2268.996236334907,0.2,0.1,False,0,1,360,636.4167151427828,0.00016677181699666576,8.338590849833288e-05,5e-05,17,18
18,6492,2.768553023523241,0.49290752278800815,0.4572654628914644,0.17623184258092472,0.0014121365192323056,1816.6148181186159,0.2,0.1,False,0,0,361,637.9961865013465,0.0001500946352969992,7.50473176484996e-05,5e-05,18,19
19,6853,2.3701089382832072,0.49090801555033864,0.45127077978568725,0.17462715275399904,0.001419552741669005,1426.1809619681658,0.2,0.1,False,0,0,361,638.1321647460572,0.0001350851717672993,6.754258588364964e-05,5e-05,19,20
20,7214,2.1670884286928045,0.4958232901268058,0.4521247467794907,0.17632463215295627,0.001392158507137273,1217.3742969967323,0.2,0.1,False,0,0,361,638.9710757737048,0.00012157665459056936,6.078832729528468e-05,5e-05,20,21
