epoch,global_step,mean_loss,mean_cls,mean_seg,mean_kg,mean_k,mean_anchor,alpha,beta,soft_prompt_frozen,nonfinite_loss_skips,nonfinite_grad_skips,batches,elapsed_seconds,image_lr,text_lr,soft_prompt_lr,scheduler_last_epoch,scheduler_step_count,peer_valid_fraction,peer_candidate_mean,mad_mean,z_abs_p95,delta_abs_mean,delta_saturation_fraction,native_cir_score_max_abs_diff,transport_l1
1,360,1.376136162214809,0.6836178261372778,0.6861934275521586,0.523278175915281,-4.096271255033596e-08,1.092125662167867,0.0,0.0,True,0,1,360,628.2126384261064,0.0009000000000000001,0.00045000000000000004,0.0,1,2,1.0,663.2267701209747,0.0007605632560532746,1646.964566306064,0.6827169334789392,0.4609530048852482,0.010226072697097905,0.1414584893310169
2,719,1.1019370638892512,0.598120955371591,0.49685484441749567,0.5865740525357238,-4.229113725760602e-08,1.0955268659299462,0.0,0.0,True,0,2,359,630.4747958900407,0.0008100000000000001,0.00040500000000000003,0.0,2,3,1.0,663.4253296574727,0.000762421424130437,1878.0641623203774,0.6903491465999149,0.45971597429788014,0.011934671375559968,0.051810059376535655
3,1080,1.004689168731922,0.5234045308712777,0.4741316396340604,0.6024520464881306,-3.9672834955033844e-08,1.128470475984082,0.0,0.0,True,0,0,361,629.4041590327397,0.000729,0.0003645,0.0,3,4,1.0,663.6248026924451,0.0016665387444954026,1759.6753976245996,0.6926630776674794,0.4377733175113921,0.011328324716837453,0.0397438305401736
4,1441,1211.0880262727883,0.5138615179094912,0.4493483764498683,0.4204949114131135,0.0005517523826701035,1210120.5346749674,0.05,0.05,False,0,0,361,641.649411033839,0.0006561000000000001,0.00032805000000000003,5e-05,4,5,1.0,663.7331911546702,0.0026176600883730332,1491.9733627615212,0.7035630427899453,0.4438843537235524,0.011448638260859862,0.036506696343628325
5,1801,50.39818678432041,0.5140258791546027,0.46076896832738484,0.2717927272948954,0.0013816648536400559,49420.669053819445,0.1,0.05,False,0,1,360,643.2707873545587,0.00059049,0.000295245,5e-05,5,6,1.0,663.7482181453969,0.002563060333867173,1325.5619200814795,0.7034509703723347,0.43786980413994303,0.011394146736969249,0.04338210029656537
6,2162,34.012559695257046,0.5147811020840568,0.4552330102802479,0.2812032011077014,0.007826900717201242,33039.71641274238,0.2,0.05,False,0,0,361,643.680320570711,0.000531441,0.0002657205,5e-05,6,7,1.0,663.7957195588426,0.0025162799745008678,1289.0007047573945,0.7025944904277199,0.43530959642164596,0.011390942285595838,0.051511719657773784
7,2523,24.395337614656487,0.5152620573288186,0.45608209657619536,0.27957204364013144,0.008996008726358001,23421.178610846608,0.2,0.1,False,0,0,361,642.7831346997991,0.0004782969,0.00023914845,5e-05,7,8,1.0,663.8879132468945,0.0025730317333065634,1259.5938225109492,0.7046417626977958,0.43500072292343733,0.011418553930900764,0.06950320832823452
8,2884,16.317061403121315,0.5147709589750813,0.45867881017873824,0.277925048838692,0.007705713733205175,15340.816250703341,0.2,0.1,False,0,0,361,643.072639754042,0.00043046721,0.000215233605,5e-05,8,9,1.0,663.976592256752,0.0026547448821507722,1157.7138584062993,0.7034864924290835,0.4302024833053103,0.011503354334104755,0.07290399987818132
9,3245,14.285448095474877,0.5133553717770405,0.45507898809094177,0.2693515166929224,0.0067760075850107826,13314.3060427848,0.2,0.1,False,0,0,361,643.61581372004,0.000387420489,0.0001937102445,5e-05,9,10,1.0,663.9816995974722,0.0027119319347749847,1175.975079776838,0.7035871247175327,0.42932835923007323,0.011547408275657083,0.07704758007399264
10,3606,10.937670435601655,0.5079251589702437,0.45388474706508775,0.2667486666394733,0.005420077530863254,9973.18171501688,0.2,0.1,False,0,0,361,642.4688496971503,0.0003486784401,0.00017433922005,5e-05,10,11,1.0,664.0615983365975,0.002815876144804886,1139.4644995607498,0.7036401129165184,0.4274414681166493,0.01147727490792314,0.0835516645761408
11,3967,9.166850582714556,0.5067304920126526,0.4538689400185508,0.2621088304100274,0.004707445841994643,8203.620242301116,0.2,0.1,False,0,0,361,640.737228681799,0.00031381059609000004,0.00015690529804500002,5e-05,11,12,1.0,664.0762214132293,0.0028721704354143372,1164.873431081587,0.7050612806613425,0.4294341024104248,0.011605122743220871,0.08019589652356349
12,4328,7.779416172788414,0.5037089419497017,0.4578777683584066,0.2590997031273274,0.0044269618711116985,6815.229302150061,0.2,0.1,False,0,0,361,644.03790547885,0.00028242953648100003,0.00014121476824050002,5e-05,12,13,1.0,664.0565822950031,0.0029136112527057547,1134.385914260991,0.7041883462023537,0.4276107992161674,0.011566777638781434,0.08494068789515138
13,4689,6.188844940999208,0.504415439849415,0.4544157831725817,0.25689544832112055,0.0044108861921886575,5227.435691939167,0.2,0.1,False,0,0,361,643.4724372038618,0.00025418658283290005,0.00012709329141645002,5e-05,13,14,1.0,664.0584431064426,0.0029737161723329296,1065.0799503273581,0.7046859408019323,0.425290031693979,0.011602060946731356,0.08150923196381149
14,5050,5.364298329128784,0.5115227379792284,0.4538921924240866,0.2532996723939177,0.004081696902022509,4396.342026475394,0.2,0.1,False,0,0,361,643.1642756741494,0.00022876792454961005,0.00011438396227480502,5e-05,14,15,1.0,664.0716990632034,0.002944567382020922,1074.1134720376983,0.7044358976660012,0.4254392411900359,0.011627279160095384,0.08306348208245148
15,5410,4.496391653352314,0.5003771749635537,0.45203617726349166,0.2509307268593046,0.0040102899197437284,3541.460812717014,0.2,0.1,False,0,1,360,645.6796908872202,0.00020589113209464906,0.00010294556604732453,5e-05,15,16,1.0,664.0640897882943,0.0030350890491090696,1039.6943833887412,0.7051963201850405,0.42496189863067585,0.011542925213842842,0.08253753677505865
