epoch,global_step,mean_loss,mean_cls,mean_seg,mean_kg,mean_k,mean_anchor,alpha,beta,soft_prompt_frozen,nonfinite_loss_skips,nonfinite_grad_skips,batches,elapsed_seconds,image_lr,text_lr,soft_prompt_lr,scheduler_last_epoch,scheduler_step_count
1,359,1.3770455095429275,0.683855345820318,0.6878927188476646,0.529744909873912,-4.1227932498461216e-08,0.0,0.0,0.0,True,0,2,359,623.2456350699067,0.0009000000000000001,0.00045000000000000004,0.0,1,2
2,719,1.1618056398299006,0.649233555710978,0.5066004929443201,0.5971589109963841,-4.378810773728345e-08,0.0,0.0,0.0,True,0,1,360,621.5691309301183,0.0008100000000000001,0.00040500000000000003,0.0,2,3
3,1080,1.0116309192537272,0.5297396192094956,0.47596594905919315,0.5925347065331202,-4.066410518867453e-08,0.0,0.0,0.0,True,0,0,361,620.0160558787175,0.000729,0.0003645,0.0,3,4
4,1441,0.9678173136182769,0.5114196047723458,0.4523076658805322,0.4087820718080383,0.001109830858458383,0.0,0.05,0.05,False,0,0,361,632.1795417470858,0.0006561000000000001,0.00032805000000000003,5e-05,4,5
5,1801,0.937909558084276,0.4918114552895228,0.4437354256450716,0.23606679054598015,0.0010034933429172574,0.0,0.1,0.05,False,0,1,360,635.3486298369244,0.00059049,0.000295245,5e-05,5,6
6,2162,0.9027068194755227,0.4768352719885491,0.4235521114103682,0.23085278817491187,0.005453200741229873,0.0,0.2,0.05,False,0,0,361,637.8587464466691,0.000531441,0.0002657205,5e-05,6,7
7,2523,0.8942792764000616,0.475748529146913,0.41617728560296124,0.23352048015660526,0.009128847885670506,0.0,0.2,0.1,False,0,0,361,636.7324087722227,0.0004782969,0.00023914845,5e-05,7,8
8,2884,0.8747005334686374,0.46456449827659163,0.40781510819441064,0.2310393645410062,0.005268256465705767,0.0,0.2,0.1,False,0,0,361,632.5082293590531,0.00043046721,0.000215233605,5e-05,8,9
9,3245,0.8330967661581541,0.4428424080653204,0.38790552129251804,0.23359891924996787,0.006425499793534216,0.0,0.2,0.1,False,0,0,361,633.7522380100563,0.000387420489,0.0001937102445,5e-05,9,10
10,3606,0.8235891638039882,0.44161618247091605,0.379566554516719,0.2393119498220507,0.006654149903644939,0.0,0.2,0.1,False,0,0,361,632.2090860120952,0.0003486784401,0.00017433922005,5e-05,10,11
