method,epoch,parameter_scope,l2_from_e0,relative_l2_from_e0,max_abs_from_e0,l2_from_r_e10,relative_l2_from_r_e10,max_abs_from_r_e10,checkpoint_sha256
R,10,image_adapter,155.78629035768276,0.6693872733194521,0.4180806279182434,,,,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
RA,10,image_adapter,136.46465651670962,0.6610206454521846,0.31538793444633484,156.5328261678735,0.6725950111073639,0.4341388940811157,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RCA,10,image_adapter,135.9323696076226,0.6585788506337806,0.2878653109073639,164.57009810182913,0.7071298057445877,0.4914196729660034,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RA,12,image_adapter,136.4655246587287,0.6610235294961891,0.315405935049057,,,,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RCA,12,image_adapter,135.93405462557482,0.6585839003097615,0.2878653109073639,,,,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RA,14,image_adapter,136.46643282595588,0.6610267029621019,0.31544408202171326,,,,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RCA,14,image_adapter,135.9360604437683,0.6585900068361146,0.2878652513027191,,,,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RA,16,image_adapter,136.46737206004354,0.661030209812167,0.31543484330177307,,,,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RCA,16,image_adapter,135.9384871392662,0.658597426481288,0.2878628373146057,,,,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RA,18,image_adapter,136.46837926827737,0.6610341189489555,0.31545788049697876,,,,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RCA,18,image_adapter,135.94187290630816,0.6586077770946539,0.2878604233264923,,,,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RA,20,image_adapter,136.46949811704923,0.6610389981415513,0.3154163658618927,,,,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RCA,20,image_adapter,135.94797744345968,0.6586257259018135,0.2878599166870117,,,,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
