method,epoch,target,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint,checkpoint_sha256,config_sha256
R,10,Brain,3715,0.9444387426155232,0.40982065326823186,0.819920731707317,0.9502819119237683,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
R,10,Liver,1493,0.9452456107869426,0.05579907713246286,0.6254128924296991,0.4911264445606269,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
R,10,Retina,1805,0.9226911322228913,0.37832344957698866,0.7911461240953372,0.7966319991207158,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
R,10,Colon_clinicDB,612,0.884070058485606,0.48565991041115547,,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
R,10,Colon_colonDB,380,0.8138866447544592,0.26777875557424163,,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
R,10,Colon_Kvasir,1000,0.855465326689836,0.5291695698578737,,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/R/adapter_10.pth,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
RA,10,Brain,3715,0.9606604583354692,0.5719144680794889,0.8368196138211382,0.9577804300034183,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/RA/adapter_10.pth,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
RA,10,Liver,1493,0.9442249923329532,0.047378127958119465,0.6901215031467133,0.5640363242834027,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/RA/adapter_10.pth,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
RA,10,Retina,1805,0.886757166269044,0.31169670119382126,0.7712410288134144,0.7095492213703961,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/RA/adapter_10.pth,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
RA,10,Colon_clinicDB,612,0.8558798329405168,0.493718655737622,,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/h2_anchor_cir_master_20260901/RA/adapter_10.pth,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876
