lineage,method,evaluator_family,epoch,pixel_auroc,pixel_ap,image_auroc,image_ap,pixel_support,image_support,checkpoint_status,selection_status,comparability,source
PUBLISHED,ACD-CLIP_N3,PUBLISHED_EXTERNAL,reference,0.9155,0.4303,,,6,0,EXTERNAL_REFERENCE,published,not same evaluator,published ACD-CLIP N=3 reference
H1,H1,HISTORICAL_EVALUATOR,9,0.9076,0.3982,0.738,0.7506,6,3,LEGACY_MODEL_STATE,RETROSPECTIVE_BEST,historical H1 result,historical H1 report
H2,H2,HISTORICAL_EVALUATOR,10,0.9097500000000002,0.40348333333333336,0.7165,0.7070666666666666,6,3,LEGACY_MODEL_STATE,RETROSPECTIVE_BEST,historical H2 result,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv
H1,H1,CURRENT_EVALUATOR,9,0.9071193452097503,0.39848969615183755,0.7380945010066978,0.7505650121631279,6,3,LEGACY_METADATA_BYPASS,RETROSPECTIVE_BEST,same evaluator implementation hash,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,CURRENT_EVALUATOR,10,0.9092218791379595,0.40373064551722954,0.7162927247483871,0.7071733314009654,6,3,LEGACY_METADATA_BYPASS,RETROSPECTIVE_BEST,same evaluator implementation hash,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
C2,P,CURRENT_EVALUATOR,10,0.8791183736658614,0.31809332672430074,0.699124648588714,0.7221927152721377,6,3,MODEL_STATE_REPLAY_ONLY,FIXED_FOR_DECOMPOSITION,same evaluator implementation hash,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv
C2,P,CURRENT_EVALUATOR,18,0.8849673502064086,0.32938851138195085,0.6840452398666014,0.7096873564169832,6,3,FROZEN_CURRENT_ARCHIVE,MAX_PIXEL_AP_WITHIN_LINEAGE,same evaluator implementation hash; not historical parent,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MACRO.csv
PA,PA,CURRENT_EVALUATOR,12,0.9030534811138363,0.3475161726397524,0.718347177185823,0.7144716788626475,6,3,FROZEN_CURRENT_ARCHIVE,MAX_PIXEL_AP_WITHIN_LINEAGE,same evaluator implementation hash; not historical parent,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/MEDICAL_FACTORIAL_MACRO.csv
A,A0,CURRENT_EVALUATOR,12,0.8964411735823175,0.33882565011047183,0.7443595337102885,0.7459116881538193,6,3,FROZEN_CURRENT_ARCHIVE,MAX_PIXEL_AP_WITHIN_LINEAGE,same evaluator implementation hash; not historical parent,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MACRO.csv
R,RESTORED_STRONG_PARENT,NOT_RUN,pending,,,,,0,0,NOT_RUN,NOT_APPLICABLE,no restored-H2 training,RESTORED_PARENT_PARITY.json
RA/RCA,FINAL_CANDIDATE,NOT_RUN,pending,,,,,0,0,NOT_RUN,NOT_APPLICABLE,source gate blocked,FINAL_TRAIN_CANDIDATE_FREEZE.json
