dimension,setting,H1_value,H1_evidence,H1_source,H2_value,H2_evidence,H2_source,C2_value,C2_evidence,C2_source
Architecture,CLIP,ViT-L-14-336,RECOVERED_FROM_LOG,H1 train.log/source@023,ViT-L-14-336,RECOVERED_FROM_LOG,H2 train.log/source@e039,ViT-L-14-336,RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,img_size,518,RECOVERED_FROM_LOG,H1 train.log/source@023,518,RECOVERED_FROM_LOG,H2 train.log/source@e039,518,RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,n_groups,3,RECOVERED_FROM_LOG,H1 train.log/source@023,3,RECOVERED_FROM_LOG,H2 train.log/source@e039,3,RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,image/text adapter weights,0.2/0.2,RECOVERED_FROM_LOG,H1 train.log/source@023,0.2/0.2,RECOVERED_FROM_LOG,H2 train.log/source@e039,0.2/0.2,RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,LoRA / Conv-LoRA,"rank16/a2; conv8/a2; kernels3,5",RECOVERED_FROM_LOG,H1 train.log/source@023,"rank16/a2; conv8/a2; kernels3,5",RECOVERED_FROM_LOG,H2 train.log/source@e039,"rank16/a2; conv8/a2; kernels3,5",RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,DFG,attn dim256 tau8; SS2D; gamma .2,RECOVERED_FROM_LOG,H1 train.log/source@023,attn dim256 tau8; SS2D; gamma .2,RECOVERED_FROM_LOG,H2 train.log/source@e039,attn dim256 tau8; SS2D; gamma .2,RECOVERED_FROM_CODE,canonical config/trainer@042
Architecture,fusion/beta,weight_residual; warmup010 -> .1,RECOVERED_FROM_LOG,H1 train.log/source@023,weight_residual; warmup010 -> .1,RECOVERED_FROM_LOG,H2 train.log/source@e039,weight_residual; warmup010 -> .1,RECOVERED_FROM_CODE,canonical config/trainer@042
Prompt,mode,hard,RECOVERED_FROM_CHECKPOINT,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/phase1_best_checkpoints/phase1b_v3c_fp32attn_final/e09_best_final_anchor_adapter.pth,hybrid,RECOVERED_FROM_LOG,H2 train.log/source@e039,hybrid,RECOVERED_FROM_CODE,canonical config/trainer@042
Prompt,hybrid alpha,not applicable,INFERRED,no prompt fields,0->.05->.1->.2 schedule,RECOVERED_FROM_CODE,H2 train.log/source@e039,same alpha schedule,RECOVERED_FROM_CODE,canonical config/trainer@042
Prompt,ctx/init/freeze,none/none/none,RECOVERED_FROM_CHECKPOINT,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/phase1_best_checkpoints/phase1b_v3c_fp32attn_final/e09_best_final_anchor_adapter.pth,4/phrase/freeze3,RECOVERED_FROM_LOG,H2 train.log/source@e039,4/phrase/freeze3,RECOVERED_FROM_CODE,canonical config/trainer@042
Prompt,soft prompt LR,not applicable,UNKNOWN,H1 payload,5e-5 constant after freeze,RECOVERED_FROM_CODE,H2 train.log/source@e039,1e-4 constant after freeze,RECOVERED_FROM_CODE,canonical config/trainer@042
Loss,classification/segmentation,CE + calculate_seg_loss,RECOVERED_FROM_CODE,H1 train.log/source@023,CE + calculate_seg_loss,RECOVERED_FROM_CODE,H2 train.log/source@e039,CE + calculate_seg_loss,RECOVERED_FROM_CODE,canonical config/trainer@042
Loss,lambda_kg,not explicitly logged; historical default path,UNKNOWN,H1 train.log/source@023,0.01,RECOVERED_FROM_LOG,H2 train.log/source@e039,0.001,RECOVERED_FROM_CODE,canonical config/trainer@042
Loss,lambda_k / K-reg,not applicable,RECOVERED_FROM_CHECKPOINT,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/phase1_best_checkpoints/phase1b_v3c_fp32attn_final/e09_best_final_anchor_adapter.pth,0.002; exact detached-W_K K-reg,RECOVERED_FROM_CODE,H2 train.log/source@e039,0.0; explicit zero stub,RECOVERED_FROM_CODE,canonical config/trainer@042
Optimization,optimizer/betas/eps/decay,Adam defaults; 0.9/.999/1e-8/0,RECOVERED_FROM_CODE,H1 train.log/source@023,Adam defaults; 0.9/.999/1e-8/0,RECOVERED_FROM_CODE,H2 train.log/source@e039,Adam defaults; 0.9/.999/1e-8/0,RECOVERED_FROM_CODE,canonical config/trainer@042
Optimization,image/text LR,1e-3 / not applicable,RECOVERED_FROM_LOG,H1 train.log/source@023,1e-3 / 5e-4,RECOVERED_FROM_LOG,H2 train.log/source@e039,1e-3 / 5e-4,RECOVERED_FROM_CODE,canonical config/trainer@042
Optimization,scheduler,StepLR .9; stepped,RECOVERED_FROM_CODE,H1 train.log/source@023,StepLR .9; stepped after epoch before save,RECOVERED_FROM_CODE,H2 train.log/source@e039,StepLR .9; stepped after epoch before save,RECOVERED_FROM_CODE,canonical config/trainer@042
Optimization,gradient clipping,1.0 per update,RECOVERED_FROM_CODE,H1 train.log/source@023,1.0 per update,RECOVERED_FROM_CODE,H2 train.log/source@e039,1.0 per update,RECOVERED_FROM_CODE,canonical config/trainer@042
Effective batch,batch/effective batch,6/6,RECOVERED_FROM_LOG,H1 train.log/source@023,6/6,RECOVERED_FROM_LOG,H2 train.log/source@e039,6/6,RECOVERED_FROM_CODE,canonical config/trainer@042
Precision,global AMP/autocast,enabled/enabled,RECOVERED_FROM_LOG,H1 train.log/source@023,enabled/enabled,RECOVERED_FROM_LOG,H2 train.log/source@e039,disabled/disabled,RECOVERED_FROM_CODE,canonical config/trainer@042
Precision,GradScaler,enabled,RECOVERED_FROM_CODE,H1 train.log/source@023,enabled,RECOVERED_FROM_CODE,H2 train.log/source@e039,disabled,RECOVERED_FROM_CODE,canonical config/trainer@042
Precision,attention/TF32,DFG residual FP32; TF32 not set,RECOVERED_FROM_CODE,H1 train.log/source@023,DFG residual FP32; TF32 not set,RECOVERED_FROM_CODE,H2 train.log/source@e039,FP32; TF32 false,RECOVERED_FROM_CODE,canonical config/trainer@042
Checkpointing,gradient checkpointing,true,RECOVERED_FROM_LOG,H1 train.log/source@023,true,RECOVERED_FROM_LOG,H2 train.log/source@e039,true,RECOVERED_FROM_CODE,canonical config/trainer@042
Data,source/seed,VisA / 0,RECOVERED_FROM_LOG,H1 train.log/source@023,VisA / 0,RECOVERED_FROM_LOG,H2 train.log/source@e039,VisA / 0,RECOVERED_FROM_CODE,canonical config/trainer@042
Data,workers/augmentation,6 / historical transforms,RECOVERED_FROM_LOG,H1 train.log/source@023,6 / historical transforms,RECOVERED_FROM_LOG,H2 train.log/source@e039,4 / canonical transforms,RECOVERED_FROM_CODE,canonical config/trainer@042
Evaluation,evaluator/pixel stride,historical test.py / 4,RECOVERED_FROM_SCRIPT,e6c768b5604ea7c7c0dea7c3db709405da6876ff01a22ddecb2dde6a4f59334f,historical test.py / 4,RECOVERED_FROM_SCRIPT,7bdd8cc6ada90467285a79ced9599ed778c6dc2a0ba6596d2f3311fa637fae9d,current exact evaluator / 1,RECOVERED_FROM_CODE,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797
Evaluation,image score,0.5 cls + 0.5 pmax,RECOVERED_FROM_CODE,e6c768b5604ea7c7c0dea7c3db709405da6876ff01a22ddecb2dde6a4f59334f,0.5 cls + 0.5 pmax,RECOVERED_FROM_CODE,7bdd8cc6ada90467285a79ced9599ed778c6dc2a0ba6596d2f3311fa637fae9d,current deployment score,RECOVERED_FROM_CODE,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797
Evaluation,macro semantics,six pixel / three image,RECOVERED_FROM_SCRIPT,e6c768b5604ea7c7c0dea7c3db709405da6876ff01a22ddecb2dde6a4f59334f,six pixel / three image,RECOVERED_FROM_SCRIPT,7bdd8cc6ada90467285a79ced9599ed778c6dc2a0ba6596d2f3311fa637fae9d,six pixel / three image,RECOVERED_FROM_CODE,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797
Checkpoint,candidate schedule,E9 selected,RECOVERED_FROM_CHECKPOINT,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/phase1_best_checkpoints/phase1b_v3c_fp32attn_final/e09_best_final_anchor_adapter.pth,E7-E15; E10 selected,RECOVERED_FROM_LOG,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch,E10/E12/E14/E16/E18/E20,RECOVERED_FROM_CODE,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv
Checkpoint,selection status,retrospective best,RECOVERED_FROM_LOG,EXPERIMENT_LOG_PHASE1.md,retrospective Medical pixel AP best,RECOVERED_FROM_LOG,PHASE2B_RUN_CONTEXT.md,fixed E10 for decomposition,DERIVED,audit protocol
