lineage,evaluator,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,pixel_auroc_support,pixel_ap_support,image_auroc_support,image_ap_support,precision,source,status
H2,HISTORICAL_H2_TEST_PY,10,Brain,0.9523999999999999,0.38280000000000003,0.7987000000000001,0.9357,1,1,1,1,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,Liver,0.9706999999999999,0.0681,0.5924,0.47859999999999997,1,1,1,1,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,Retina,0.922,0.4039,0.7584000000000001,0.7069,1,1,1,1,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,Colon_clinicDB,0.8906000000000001,0.5746,,,1,1,0,0,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,Colon_colonDB,0.8388,0.35700000000000004,,,1,1,0,0,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,Colon_Kvasir,0.884,0.6345000000000001,,,1,1,0,0,AMP/mixed,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,COMPLETE
H2,HISTORICAL_H2_TEST_PY,10,ALL_MEDICAL_MACRO,0.9097500000000002,0.40348333333333336,0.7165,0.7070666666666666,6,6,3,3,,/home/ai4/caohuy/ACD-CLIP-base-new-phase1/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv,
H2,CURRENT_EXACT_EVALUATOR,10,Brain,0.9520292839784856,0.3828013383091009,0.7982743902439025,0.9354835382644038,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,Liver,0.9704753659107919,0.06818662978589149,0.5921896031139728,0.478817288179643,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,Retina,0.9217404263331043,0.404723758540213,0.7584141808872862,0.7072191677588493,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,Colon_clinicDB,0.8897592833311395,0.5745580947454461,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,Colon_colonDB,0.8379044940342908,0.35714364916681673,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,Colon_Kvasir,0.8834224212399449,0.6349704025559091,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H2,CURRENT_EXACT_EVALUATOR,10,ALL_MEDICAL_MACRO,0.9092218791379595,0.40373064551722954,0.7162927247483871,0.7071733314009654,6,6,3,3,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv,
H1,CURRENT_EXACT_EVALUATOR,9,Brain,0.9592495363533814,0.4604742825646842,0.8258910060975609,0.954172819141704,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Liver,0.9694723668453915,0.0628041227440872,0.5673132889519444,0.4896111163174854,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Retina,0.8939727463510221,0.4232669406001758,0.8210792079705881,0.807911101030194,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Colon_clinicDB,0.8957889752467181,0.5285448999971535,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
