scope,target,metric,historical_h2,same_h2_current_eval,current_c2_p_e10,evaluator_component,checkpoint_training_component,total_gap,support,unit,interpretation
H2 historical -> C2 current parent E10,Brain,pixel_auroc,95.24,95.20292839784857,94.27886775835665,-0.03707160215142835,-0.9240606394919082,-0.9611322416433365,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Brain,pixel_ap,38.28,38.28013383091009,33.925961276193945,0.00013383091008734027,-4.354172554716146,-4.354038723806059,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Brain,image_auroc,79.87,79.82743902439024,73.55106707317073,-0.04256097560976224,-6.276371951219517,-6.318932926829279,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Brain,image_ap,93.57,93.54835382644038,91.67754069939646,-0.02164617355961962,-1.8708131270439132,-1.8924593006035328,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Liver,pixel_auroc,97.07,97.0475365910792,94.08065356277716,-0.02246340892080312,-2.9668830283020253,-2.9893464372228284,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Liver,pixel_ap,6.81,6.818662978589149,3.4955286505307464,0.00866297858914955,-3.3231343280584023,-3.314471349469253,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Liver,image_auroc,59.24,59.21896031139728,65.57095565498928,-0.021039688602719764,6.351995343591987,6.330955654989268,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Liver,image_ap,47.86,47.881728817964294,52.88137423285806,0.021728817964300484,4.999645414893761,5.0213742328580615,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Retina,pixel_auroc,92.2,92.17404263331042,89.16828004262022,-0.025957366689577377,-3.0057625906902086,-3.031719957379786,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Retina,pixel_ap,40.39,40.472375854021294,30.863093076468136,0.08237585402129932,-9.609282777553164,-9.526906923531865,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Retina,image_auroc,75.84,75.84141808872862,70.61537184845422,0.0014180887286108224,-5.226046240274407,-5.2246281515457955,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Retina,image_ap,70.69,70.72191677588494,72.09889964938678,0.03191677588493258,1.376982873501853,1.4088996493867856,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
H2 historical -> C2 current parent E10,Colon_clinicDB,pixel_auroc,89.06,88.97592833311396,85.72029362612525,-0.08407166688605416,-3.255634706988697,-3.339706373874751,1,percentage_points,same-checkpoint evaluator migration first; residual includes multiple H2-to-C2 contract/training factors
