lineage,method,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,evaluator_sha256,evaluator_git_sha,checkpoint_sha256,config_sha256,selection_rule,comparability,source
H1,H1,9,Brain,0.9592495363533814,0.4604742825646842,0.8258910060975609,0.954172819141704,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,Liver,0.9694723668453915,0.0628041227440872,0.5673132889519444,0.4896111163174854,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,Retina,0.8939727463510221,0.4232669406001758,0.8210792079705881,0.807911101030194,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,Colon_clinicDB,0.8957889752467181,0.5285448999971535,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,Colon_colonDB,0.841982898411485,0.3103888548986118,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,Colon_Kvasir,0.8822495480505048,0.6054590761063129,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H1,H1,9,ALL_MEDICAL_MACRO,0.9071193452097503,0.39848969615183755,0.7380945010066978,0.7505650121631279,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,6c1d888af56d011f7d2dabee7a5662ff422420df428841582a51c02846500e4a,legacy,fixed historical E9,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Brain,0.9520292839784856,0.3828013383091009,0.7982743902439025,0.9354835382644038,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Liver,0.9704753659107919,0.06818662978589149,0.5921896031139728,0.478817288179643,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Retina,0.9217404263331043,0.404723758540213,0.7584141808872862,0.7072191677588493,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Colon_clinicDB,0.8897592833311395,0.5745580947454461,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Colon_colonDB,0.8379044940342908,0.35714364916681673,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Colon_Kvasir,0.8834224212399449,0.6349704025559091,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,ALL_MEDICAL_MACRO,0.9092218791379595,0.40373064551722954,0.7162927247483871,0.7071733314009654,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
