horizon,arm,class,pixel_auc,pixel_ap,image_auc,image_ap
15,H,bottle,93.09953,61.965423,98.174602,99.522638
15,H,cable,82.279355,26.101403,86.937779,90.947831
15,H,capsule,93.945371,35.922051,93.4982,98.663914
15,H,carpet,99.174622,76.918105,99.598712,99.886507
15,H,grid,94.616802,30.13234,90.05847,96.98295
15,H,hazelnut,94.843393,28.134753,76.035708,87.339032
15,H,leather,99.548862,66.625547,100.0,100.0
15,H,metal_nut,37.701574,14.718998,69.84359,92.505646
15,H,pill,91.612756,41.985913,90.834695,98.106652
15,H,screw,96.944215,7.979179,76.101667,91.136068
15,H,tile,84.1526,66.973205,96.320337,98.618805
15,H,transistor,49.502825,8.506402,78.708339,78.532887
15,H,toothbrush,96.975038,45.921152,98.888886,99.607843
15,H,wood,92.866111,59.934329,94.298244,97.975826
15,H,zipper,95.766293,52.365796,93.592435,98.283863
15,A,bottle,94.172408,64.881866,95.634925,98.816556
15,A,cable,71.334212,25.932563,86.881554,91.309875
15,A,capsule,96.532602,36.389492,89.389712,97.752899
15,A,carpet,99.535453,78.365233,98.033702,99.410176
15,A,grid,97.017473,33.263008,93.650794,97.87237
15,A,hazelnut,97.55917,57.895593,84.642857,91.751909
15,A,leather,99.380328,58.061071,100.0,100.0
15,A,metal_nut,62.298781,20.461248,75.806451,94.270372
15,A,pill,87.523144,35.97226,89.798141,98.024023
15,A,screw,97.645665,26.132758,84.627998,94.146788
15,A,tile,92.285389,71.669728,98.340547,99.371129
15,A,transistor,67.353584,10.076487,66.33333,63.796169
15,A,toothbrush,95.858679,46.0537,96.666664,98.790675
15,A,wood,95.607595,65.626194,95.614034,98.710781
15,A,zipper,96.514847,46.609031,91.832983,97.666711
15,C,bottle,93.682571,62.419022,97.38096,99.278456
15,C,cable,81.247016,23.190981,89.542723,93.487608
15,C,capsule,95.949003,37.339216,92.10211,98.228675
15,C,carpet,99.314617,76.517606,99.959868,99.987519
15,C,grid,93.960823,30.93674,91.896403,97.590095
15,C,hazelnut,94.419186,21.628734,66.607141,80.852735
15,C,leather,99.375392,62.300144,99.932063,99.976873
15,C,metal_nut,34.531547,12.888001,67.302048,91.881126
15,C,pill,92.942567,46.546311,91.407526,98.344755
15,C,screw,97.753658,13.89279,69.829887,87.27802
15,C,tile,88.773173,65.430645,95.959604,98.527426
15,C,transistor,48.704747,7.150304,77.541667,80.768615
15,C,toothbrush,96.57453,39.609277,97.500002,99.051517
15,C,wood,95.117448,60.491061,92.456144,97.329336
15,C,zipper,95.801709,55.268309,94.406515,98.655295
15,AC,bottle,94.908706,65.491492,98.809522,99.664056
15,AC,cable,75.267697,21.881243,75.693405,84.097612
15,AC,capsule,96.700567,35.920795,90.825689,98.099422
15,AC,carpet,99.460113,77.765636,98.314607,99.461067
15,AC,grid,96.086931,31.732228,94.820386,98.248577
15,AC,hazelnut,97.675505,55.586646,83.535713,91.131729
15,AC,leather,99.536096,65.786629,100.0,100.0
15,AC,metal_nut,61.015489,19.697991,73.460406,93.901861
15,AC,pill,87.78794,34.559161,89.934534,98.10456
15,AC,screw,98.40951,31.97377,86.431646,94.486654
15,AC,tile,86.276249,68.260698,98.124099,99.353588
15,AC,transistor,65.877294,10.077476,69.41666,69.62105
15,AC,toothbrush,94.988374,42.840545,96.66667,98.818177
15,AC,wood,95.330819,65.272637,95.701754,98.722237
15,AC,zipper,97.022483,54.393086,91.412818,97.515202
