domain,dataset,metric_type,pixel_AUROC,pixel_AP,image_AUROC,image_AP,provenance
Medical,Brain,pixel,93.92272807256917,36.35237328087968,,,MEASURED_EXACT
Medical,Liver,pixel,96.72951010169865,6.788921646790098,,,MEASURED_EXACT
Medical,Retina,pixel,94.78604666766131,50.608720785472784,,,MEASURED_EXACT
Medical,Colon_clinicDB,pixel,87.52341692813546,45.38754589232955,,,MEASURED_EXACT
Medical,Colon_colonDB,pixel,82.19115108401193,25.83766609106269,,,MEASURED_EXACT
Medical,Colon_Kvasir,pixel,86.20252355012987,53.02965772866401,,,MEASURED_EXACT
Medical,Brain,image,,,84.38384532928467,95.51379084587097,MEASURED_EXACT
Medical,Liver,image,,,65.39852619171143,57.401156425476074,MEASURED_EXACT
Medical,Retina,image,,,79.75019812583923,79.0575385093689,MEASURED_EXACT
MVTec,bottle,pixel_and_image,92.910645,61.734006,97.619045,99.369651,MEASURED_EXACT
MVTec,cable,pixel_and_image,81.141164,23.5406,87.012744,91.059041,MEASURED_EXACT
MVTec,capsule,pixel_and_image,94.31706,42.915052,93.218994,98.645365,MEASURED_EXACT
MVTec,carpet,pixel_and_image,99.237078,77.977745,99.398071,99.831408,MEASURED_EXACT
MVTec,grid,pixel_and_image,94.15319,32.806008,95.906442,98.752207,MEASURED_EXACT
MVTec,hazelnut,pixel_and_image,94.958628,32.440305,78.464282,88.636303,MEASURED_EXACT
MVTec,leather,pixel_and_image,99.474563,65.118473,100.0,100.0,MEASURED_EXACT
MVTec,metal_nut,pixel_and_image,35.819833,12.435167,65.347016,91.46356,MEASURED_EXACT
MVTec,pill,pixel_and_image,78.85387,27.645074,84.451717,96.880835,MEASURED_EXACT
MVTec,screw,pixel_and_image,96.239835,7.26601,74.19554,90.455043,MEASURED_EXACT
MVTec,tile,pixel_and_image,86.43526,66.785755,97.979802,99.295151,MEASURED_EXACT
MVTec,transistor,pixel_and_image,55.618241,9.726453,80.083328,79.67447,MEASURED_EXACT
MVTec,toothbrush,pixel_and_image,94.669961,37.242936,96.944439,98.56832,MEASURED_EXACT
MVTec,wood,pixel_and_image,92.709563,59.786546,95.70176,98.478115,MEASURED_EXACT
MVTec,zipper,pixel_and_image,95.214588,50.702267,92.463231,98.023593,MEASURED_EXACT
MVTec,Average,pixel_and_image,86.116899,40.541493,89.252427,95.275538,MEASURED_EXACT
