arm,dataset,label,n,mean,std,min,q05,median,q95,max
H,Brain,negative,640,0.7869162304792553,0.0911469246324796,0.3754039406776428,0.5262826800346375,0.8180354535579681,0.8449508428573609,0.8544968962669373
H,Brain,positive,3075,0.8374232834141428,0.026124606754605484,0.47070664167404175,0.8143534004688263,0.8425069451332092,0.8520301222801209,0.8599377870559692
H,Colon_Kvasir,negative,0,,,,,,,
H,Colon_Kvasir,positive,1000,0.7973275178670883,0.022981638737581796,0.5191066265106201,0.7653025537729263,0.8014345169067383,0.8190613329410553,0.8274708390235901
H,Colon_clinicDB,negative,0,,,,,,,
H,Colon_clinicDB,positive,612,0.8014325682633843,0.027127529274425525,0.49167710542678833,0.7639623403549194,0.8092992007732391,0.8203438580036163,0.8258479833602905
H,Colon_colonDB,negative,0,,,,,,,
H,Colon_colonDB,positive,380,0.7685399274292745,0.0451926023631776,0.371417373418808,0.7162060499191284,0.7774173617362976,0.8144913166761398,0.8268919587135315
H,Liver,negative,833,0.6793463073429369,0.12261573111455915,0.18583931028842926,0.35987178683280946,0.7049492001533508,0.8102080702781678,0.8347259163856506
H,Liver,positive,660,0.7314603437076915,0.07510502628295503,0.29235944151878357,0.6270775854587555,0.7298514246940613,0.8284202516078949,0.8548821210861206
H,Retina,negative,1041,0.3925501430240763,0.11332763065004535,0.31361743807792664,0.32325416803359985,0.35039690136909485,0.7003671526908875,0.7830325961112976
H,Retina,positive,764,0.5583001120864409,0.18346409294943347,0.3177337050437927,0.32690563797950745,0.5217548906803131,0.8034419178962707,0.8402754664421082
A,Brain,negative,640,0.7543756550643593,0.11814795095106047,0.37091973423957825,0.48816709518432616,0.8092687726020813,0.8452389180660248,0.856094479560852
A,Brain,positive,3075,0.8305364324019208,0.044564132541252605,0.49012964963912964,0.7779560208320618,0.841986358165741,0.8538580536842346,0.8606069684028625
A,Colon_Kvasir,negative,0,,,,,,,
A,Colon_Kvasir,positive,1000,0.7861390055119991,0.05282127502739101,0.4415910840034485,0.7025128901004791,0.7995590269565582,0.8197432875633239,0.8273614048957825
A,Colon_clinicDB,negative,0,,,,,,,
A,Colon_clinicDB,positive,612,0.7884290725771897,0.055695923550442596,0.36347705125808716,0.6938094079494477,0.8061451315879822,0.8191863268613815,0.8262757658958435
A,Colon_colonDB,negative,0,,,,,,,
A,Colon_colonDB,positive,380,0.7546064550939359,0.0556607454433185,0.34991487860679626,0.6936347633600235,0.7648044526576996,0.8074787110090256,0.8261939883232117
A,Liver,negative,833,0.651549705616137,0.15906084143851779,0.2594466805458069,0.3723014771938324,0.7128170132637024,0.8169863104820252,0.8437774777412415
A,Liver,positive,660,0.7394981501680432,0.09728355739318394,0.3757935166358948,0.44874974191188816,0.7501825988292694,0.8370469748973847,0.8610280752182007
A,Retina,negative,1041,0.38451028468514953,0.10614893422801334,0.31523898243904114,0.32363179326057434,0.34822070598602295,0.694107711315155,0.7631310224533081
A,Retina,positive,764,0.5283039605430283,0.18426275904512165,0.31479132175445557,0.3245269685983658,0.4263313412666321,0.8024094253778458,0.8386906981468201
