target,unit,arm,metric_type,pixel_auroc,pixel_ap,image_auroc,image_ap,provenance
Medical,Brain,H,pixel,92.63393783576237,22.618360290995966,,,MEASURED
Medical,Liver,H,pixel,96.35102015069292,5.767731896173801,,,MEASURED
Medical,Retina,H,pixel,90.76161030795701,38.75238858470724,,,MEASURED
Medical,Colon_clinicDB,H,pixel,83.43387744913446,38.98656821737384,,,MEASURED
Medical,Colon_colonDB,H,pixel,75.81654048975271,25.45074120271782,,,MEASURED
Medical,Colon_Kvasir,H,pixel,83.90426038152573,51.79060958167375,,,MEASURED
Medical,Brain,H,image,,,84.11387205123901,95.4073965549469,MEASURED
Medical,Liver,H,image,,,63.23274374008179,57.29464888572693,MEASURED
Medical,Retina,H,image,,,79.49150204658508,77.74888873100281,MEASURED
Medical,Brain,A,pixel,92.56524480221428,22.181969915079662,,,MEASURED
Medical,Liver,A,pixel,96.38540285172186,5.215063288827501,,,MEASURED
Medical,Retina,A,pixel,90.53353891836066,42.063180974549944,,,MEASURED
Medical,Colon_clinicDB,A,pixel,85.56499432850649,48.138236508330195,,,MEASURED
Medical,Colon_colonDB,A,pixel,81.9448977811998,32.01649518146758,,,MEASURED
Medical,Colon_Kvasir,A,pixel,86.2222152320664,58.26868060209803,,,MEASURED
Medical,Brain,A,image,,,82.98564553260803,95.28912305831909,MEASURED
Medical,Liver,A,image,,,66.81635975837708,59.8033607006073,MEASURED
Medical,Retina,A,image,,,77.77302265167236,75.96715688705444,MEASURED
Medical,Brain,A_MINUS_H,pixel,-0.06869303354808665,-0.4363903759163037,,,DERIVED
Medical,Liver,A_MINUS_H,pixel,0.03438270102894592,-0.5526686073463001,,,DERIVED
Medical,Retina,A_MINUS_H,pixel,-0.22807138959635154,3.310792389842703,,,DERIVED
Medical,Colon_clinicDB,A_MINUS_H,pixel,2.13111687937203,9.151668290956351,,,DERIVED
Medical,Colon_colonDB,A_MINUS_H,pixel,6.128357291447088,6.565753978749765,,,DERIVED
Medical,Colon_Kvasir,A_MINUS_H,pixel,2.317954850540673,6.478071020424281,,,DERIVED
Medical,Brain,A_MINUS_H,image,,,-1.1282265186309814,-0.11827349662780762,DERIVED
Medical,Liver,A_MINUS_H,image,,,3.583616018295288,2.508711814880371,DERIVED
Medical,Retina,A_MINUS_H,image,,,-1.7184793949127197,-1.7817318439483643,DERIVED
MVTecAD,bottle,H,pixel_and_image,87.276541,55.360236,97.936511,99.400759,MEASURED
MVTecAD,cable,H,pixel_and_image,79.670443,29.286254,87.162662,91.490132,MEASURED
MVTecAD,capsule,H,pixel_and_image,88.586157,38.419376,95.333064,99.047053,MEASURED
MVTecAD,carpet,H,pixel_and_image,98.385853,73.320298,99.357945,99.802125,MEASURED
MVTecAD,grid,H,pixel_and_image,95.592794,34.549033,99.498743,99.818271,MEASURED
MVTecAD,hazelnut,H,pixel_and_image,97.655735,47.821179,79.857141,89.966774,MEASURED
MVTecAD,leather,H,pixel_and_image,98.473182,58.987183,99.932063,99.976873,MEASURED
MVTecAD,metal_nut,H,pixel_and_image,42.427302,17.116237,76.490712,94.809246,MEASURED
MVTecAD,pill,H,pixel_and_image,70.1855,33.043684,87.943268,97.748148,MEASURED
MVTecAD,screw,H,pixel_and_image,96.827097,10.580094,80.590284,92.979372,MEASURED
MVTecAD,tile,H,pixel_and_image,83.164601,67.991529,95.959586,98.577201,MEASURED
MVTecAD,transistor,H,pixel_and_image,54.208942,7.403622,76.666665,76.713955,MEASURED
MVTecAD,toothbrush,H,pixel_and_image,93.596456,35.407696,100.0,100.0,MEASURED
MVTecAD,wood,H,pixel_and_image,85.212063,53.531806,94.912285,97.8109,MEASURED
MVTecAD,zipper,H,pixel_and_image,90.752958,43.655631,95.404416,98.842669,MEASURED
MVTecAD,Average,H,pixel_and_image,84.134375,40.431591,91.136356,95.798899,MEASURED
MVTecAD,bottle,A,pixel_and_image,85.746505,55.309003,96.904767,99.101424,MEASURED
MVTecAD,cable,A,pixel_and_image,78.889206,27.926268,85.363567,90.873837,MEASURED
MVTecAD,capsule,A,pixel_and_image,89.559454,41.386788,91.1448,98.169255,MEASURED
MVTecAD,carpet,A,pixel_and_image,97.369221,74.999849,98.715889,99.599385,MEASURED
MVTecAD,grid,A,pixel_and_image,90.75939,31.417461,97.159564,99.098587,MEASURED
MVTecAD,hazelnut,A,pixel_and_image,97.736264,43.931852,76.785713,88.836056,MEASURED
MVTecAD,leather,A,pixel_and_image,96.629187,59.782562,100.0,100.0,MEASURED
MVTecAD,metal_nut,A,pixel_and_image,44.748067,18.981937,74.633437,94.364405,MEASURED
MVTecAD,pill,A,pixel_and_image,76.920298,32.914246,91.434801,98.382735,MEASURED
MVTecAD,screw,A,pixel_and_image,97.84363,18.502104,75.445789,90.210742,MEASURED
MVTecAD,tile,A,pixel_and_image,82.448317,65.563014,97.510821,99.11086,MEASURED
MVTecAD,transistor,A,pixel_and_image,58.29352,9.344581,77.249998,74.481976,MEASURED
MVTecAD,toothbrush,A,pixel_and_image,94.418349,38.8993,96.944445,98.819387,MEASURED
MVTecAD,wood,A,pixel_and_image,88.36901,54.44551,94.999999,97.831261,MEASURED
MVTecAD,zipper,A,pixel_and_image,93.743838,54.154497,95.089287,98.734713,MEASURED
MVTecAD,Average,A,pixel_and_image,84.898284,41.837265,89.958858,95.174308,MEASURED
MVTecAD,bottle,A_MINUS_H,pixel_and_image,-1.5300359999999955,-0.051233000000003415,-1.0317439999999891,-0.29933499999999924,DERIVED
MVTecAD,cable,A_MINUS_H,pixel_and_image,-0.7812370000000044,-1.3599859999999993,-1.7990949999999941,-0.616295000000008,DERIVED
MVTecAD,capsule,A_MINUS_H,pixel_and_image,0.9732970000000023,2.967412000000003,-4.1882639999999896,-0.8777979999999985,DERIVED
MVTecAD,carpet,A_MINUS_H,pixel_and_image,-1.0166320000000013,1.6795510000000036,-0.6420559999999966,-0.2027400000000057,DERIVED
MVTecAD,grid,A_MINUS_H,pixel_and_image,-4.833404000000002,-3.131572000000002,-2.3391790000000015,-0.7196840000000009,DERIVED
MVTecAD,hazelnut,A_MINUS_H,pixel_and_image,0.08052899999999852,-3.8893270000000015,-3.0714279999999974,-1.1307180000000017,DERIVED
MVTecAD,leather,A_MINUS_H,pixel_and_image,-1.8439949999999925,0.795378999999997,0.06793700000000058,0.02312700000000234,DERIVED
MVTecAD,metal_nut,A_MINUS_H,pixel_and_image,2.3207650000000015,1.8656999999999968,-1.8572750000000013,-0.4448409999999967,DERIVED
MVTecAD,pill,A_MINUS_H,pixel_and_image,6.734797999999998,-0.12943800000000039,3.49153299999999,0.6345869999999962,DERIVED
MVTecAD,screw,A_MINUS_H,pixel_and_image,1.0165330000000097,7.922009999999998,-5.144494999999992,-2.7686300000000017,DERIVED
MVTecAD,tile,A_MINUS_H,pixel_and_image,-0.7162840000000017,-2.4285150000000044,1.5512350000000055,0.5336590000000001,DERIVED
MVTecAD,transistor,A_MINUS_H,pixel_and_image,4.0845780000000005,1.9409589999999994,0.5833330000000103,-2.2319789999999955,DERIVED
MVTecAD,toothbrush,A_MINUS_H,pixel_and_image,0.8218930000000029,3.4916039999999953,-3.0555549999999982,-1.180612999999994,DERIVED
MVTecAD,wood,A_MINUS_H,pixel_and_image,3.1569470000000024,0.9137039999999956,0.0877140000000054,0.02036099999999408,DERIVED
MVTecAD,zipper,A_MINUS_H,pixel_and_image,2.99087999999999,10.498866,-0.3151289999999989,-0.1079560000000015,DERIVED
MVTecAD,Average,A_MINUS_H,pixel_and_image,0.7639089999999982,1.4056740000000048,-1.177498,-0.6245910000000094,DERIVED
