domain,dataset_or_class,descriptive_group,seed,horizon,h_pixel_auc,a_pixel_auc,h_pixel_ap,a_pixel_ap,a_minus_h_pixel_auc,a_minus_h_pixel_ap,pattern,evidence_status,interpretation
Medical,Brain,medical_domain,0,15,94.6826277271934,95.45916099288614,32.07609393146674,36.19614130059037,0.776533265693,4.12004736912,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
Medical,Colon_Kvasir,medical_domain,0,15,85.66924605560678,86.60117085657238,53.16429111427995,54.136487478656825,0.931924800966,0.972196364377,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
Medical,Colon_clinicDB,medical_domain,0,15,86.98200226250792,88.65676783312772,43.96382543029162,50.46622745815254,1.67476557062,6.50240202786,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
Medical,Colon_colonDB,medical_domain,0,15,86.15969191295476,85.05402767323667,32.33571947470023,35.475264879717194,-1.10566423972,3.13954540502,AUC_DOWN_AP_UP,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
Medical,Liver,medical_domain,0,15,96.71211458064336,96.37981585227348,6.109344874434843,5.467153783529004,-0.33229872837,-0.642191090906,REGRESSION_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
Medical,Retina,medical_domain,0,15,94.68630963498056,95.35977313627198,47.59624244960904,55.068943277254675,0.673463501291,7.47270082765,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,bottle,object,0,15,93.09953,94.172408,61.965423,64.881866,1.072878,2.916443,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,cable,object,0,15,82.279355,71.334212,26.101403,25.932563,-10.945143,-0.16884,REGRESSION_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,capsule,object,0,15,93.945371,96.532602,35.922051,36.389492,2.587231,0.467441,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,carpet,texture,0,15,99.174622,99.535453,76.918105,78.365233,0.360831,1.447128,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,grid,texture,0,15,94.616802,97.017473,30.13234,33.263008,2.400671,3.130668,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,hazelnut,object,0,15,94.843393,97.55917,28.134753,57.895593,2.715777,29.76084,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,leather,texture,0,15,99.548862,99.380328,66.625547,58.061071,-0.168534,-8.564476,REGRESSION_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,metal_nut,object,0,15,37.701574,62.298781,14.718998,20.461248,24.597207,5.74225,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,pill,object,0,15,91.612756,87.523144,41.985913,35.97226,-4.089612,-6.013653,REGRESSION_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,screw,object,0,15,96.944215,97.645665,7.979179,26.132758,0.70145,18.153579,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,tile,texture,0,15,84.1526,92.285389,66.973205,71.669728,8.132789,4.696523,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,toothbrush,object,0,15,96.975038,95.858679,45.921152,46.0537,-1.116359,0.132548,AUC_DOWN_AP_UP,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,transistor,object,0,15,49.502825,67.353584,8.506402,10.076487,17.850759,1.570085,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
MVTec,wood,texture,0,15,92.866111,95.607595,59.934329,65.626194,2.741484,5.691865,WIN_BOTH,SEED0_DISCOVERY_ONLY,Descriptive H/A contrast only. Seed1/2 target metrics are unavailable after hard training invalidity.
