domain,epoch,inference,scope,dataset,class_name,prompt_config,score_rule,pixel_auroc,pixel_ap,image_auroc,image_ap,sample_count,pixel_count,dataset_count,image_dataset_count,valid
,1,,dataset,Brain,Brain,current_shared,cls_only,95.708865624095,53.18129900381605,74.72248673439026,92.30205416679382,3715,996823660,,,True
,1,,dataset,Liver,Liver,current_shared,cls_only,94.77846685623723,5.186962781699504,71.79689407348633,63.23568820953369,1493,400607732,,,True
,1,,dataset,Retina,Retina,current_shared,cls_only,89.16407083609273,31.357993112822363,65.62401056289673,61.202651262283325,1805,484324820,,,True
,1,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,82.46607242663696,35.69345668311934,,,612,164214288,,,True
,1,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,78.09949047342371,25.37301225015182,,,380,101963120,,,True
,1,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,79.31052038881509,41.03487771811659,,,1000,268324000,,,True
,2,,dataset,Brain,Brain,current_shared,cls_only,95.29838766553992,54.357576493406135,78.22693586349487,93.42577457427979,3715,996823660,,,True
,2,,dataset,Liver,Liver,current_shared,cls_only,93.37629673866525,4.016745990611944,65.80113768577576,57.947057485580444,1493,400607732,,,True
,2,,dataset,Retina,Retina,current_shared,cls_only,88.99305929462112,32.398429304751794,73.57310056686401,69.12002563476562,1805,484324820,,,True
,2,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,83.72794246542655,40.67672625149923,,,612,164214288,,,True
,2,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,79.0437198786714,28.56039801853203,,,380,101963120,,,True
,2,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,80.15108920424433,44.78556933493449,,,1000,268324000,,,True
,3,,dataset,Brain,Brain,current_shared,cls_only,95.20814825823908,54.19832627169306,79.81622815132141,94.16486024856567,3715,996823660,,,True
,3,,dataset,Liver,Liver,current_shared,cls_only,94.10465336005294,3.79330344647725,74.58529472351074,66.739821434021,1493,400607732,,,True
,3,,dataset,Retina,Retina,current_shared,cls_only,88.60740142598765,31.24822735988096,66.92028045654297,68.388831615448,1805,484324820,,,True
,3,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,84.0843959263951,40.92430984213047,,,612,164214288,,,True
,3,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,77.45476034067714,26.867468010744506,,,380,101963120,,,True
,3,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,79.5895044545854,43.25849472711135,,,1000,268324000,,,True
,4,,dataset,Brain,Brain,current_shared,cls_only,95.78491236058426,47.364889308528625,82.000333070755,94.76677179336548,3715,996823660,,,True
,4,,dataset,Liver,Liver,current_shared,cls_only,94.13048604192986,4.24943884297067,71.21694087982178,61.4527702331543,1493,400607732,,,True
,4,,dataset,Retina,Retina,current_shared,cls_only,90.9151149269919,41.16040406253838,77.12178230285645,77.19892263412476,1805,484324820,,,True
,4,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,87.60203752379087,48.81453641696972,,,612,164214288,,,True
