epoch,global_step,successful_optimizer_steps,nonfinite_loss_skips,nonfinite_grad_skips,numerical_validity,path,sha256,nfur_checkpoint_state
1,359,359,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_1.pth,7f9176b7ef53b572935567c574535075a573175b2aa83505d043a71d45b12b35,False
2,720,720,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_2.pth,efc2790f49100eb5d216008a70f1f5816de24c129332911c2ffb968dd9b28b05,False
3,1080,1080,0,1,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_3.pth,b235c6fe5cbaf6ed4b81083e006ddac714ec17ffb4779631d11744b94a4242c7,False
4,1441,1441,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_4.pth,ac0a1c3eb509efed3ef6156655c68404b019ee5223b62348242ea44816d1529c,False
5,1802,1802,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_5.pth,edf3d7abc2a57ef6261bfc49abdb864ca0a6cbe016743625a9bf1a807bc57c34,False
6,2163,2163,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_6.pth,63b78996c64da084c13024e838b89d9f6d5c0ad186eb330b6bd57d86a7a218db,False
7,2524,2524,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_7.pth,f887854916d5992b28aec3e6e1f7e1ddd0d491394f72138e4a68534c6880c7cf,False
8,2885,2885,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_8.pth,f65025031ec5491117cdcd169616dc125d15cb1f20e53ca38afd0d41ab1a15c0,False
9,3246,3246,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_9.pth,70efb8b1039a04b84b1d1c010452ee2c8e78041063d043a7e2a7283b970b94b9,False
10,3607,3607,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_10.pth,64b72dc3d1155285c826781bee4c5970bd45218e95b21675fd19d9a6b2ab54a7,False
11,3968,3968,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_11.pth,d608a3e1dc64963e9700abefb9de103047cfa12a59c417dcb6e6cfbb29fc0c8c,True
12,4329,4329,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_12.pth,5213875ac96156526cc5b7191868375630e538a3bbc9a65f117d0022508a8c11,True
13,4690,4690,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_13.pth,32a7c7ae3a9f6b4b34157fbaf03736c255532358a850e3e269b4195749b70550,True
14,5051,5051,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_14.pth,b91ef40e13e3a5f247cd11699e8e799c91970a64b4afdd9dbed65ec5935191a0,True
15,5412,5412,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_15.pth,6545fc5106d47da08196bf8fd816e96bf5c6253f0a4d077619ae0620ce8955a1,True
16,5773,5773,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_16.pth,44c161b98921cd6bc25801fb7b5c55a719b9bece34d6608242381230f10ac6c1,True
17,6134,6134,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_17.pth,14bfb7f4f265e038e6a731d77bf8995d2b71e6037d582b59dd3de131f5228e20,True
18,6495,6495,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_18.pth,6da3b65b4919fd4f940325f7dbd2cb5e0da3a8b33d919c5589e932fda7bfc72b,True
19,6856,6856,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_19.pth,b49399affb275647d082202f573ee801b7669f4d3852a8ad2d565654f093eedc,True
20,7217,7217,0,0,True,/workspace/h2_nfur_r2_e20_medical_selected/adapter_20.pth,26dad2b22ce823bcfa5f4589bd90224924f946256ccf27c79d89e20037bf474c,True
