domain,epoch,inference,scope,dataset,class_name,prompt_config,score_rule,pixel_auroc,pixel_ap,image_auroc,image_ap,sample_count,pixel_count,dataset_count,image_dataset_count,valid
,6,,dataset,MVTec,bottle,current_shared,0.9_cls_0.1_max,88.56476782924258,55.671915614730004,97.0634937286377,99.14577007293701,83,22270892,,,True
,6,,dataset,MVTec,cable,current_shared,0.9_cls_0.1_max,73.4179469636187,22.177134356497437,83.93928408622742,89.90091681480408,150,40248600,,,True
,6,,dataset,MVTec,capsule,current_shared,0.9_cls_0.1_max,95.35351994286914,28.7799092452465,84.16434526443481,96.3998019695282,132,35418768,,,True
,6,,dataset,MVTec,carpet,current_shared,0.9_cls_0.1_max,99.45298543389846,77.46979457170721,96.22793197631836,98.92874956130981,117,31393908,,,True
,6,,dataset,MVTec,grid,current_shared,0.9_cls_0.1_max,95.97644900782717,32.16525574116325,94.56976652145386,98.14622402191162,78,20929272,,,True
,6,,dataset,MVTec,hazelnut,current_shared,0.9_cls_0.1_max,96.00838144377362,38.917005490751094,81.49999976158142,89.79185819625854,110,29515640,,,True
,6,,dataset,MVTec,leather,current_shared,0.9_cls_0.1_max,99.51039503748045,64.9810361859311,100.0,100.0,124,33272176,,,True
,6,,dataset,MVTec,metal_nut,current_shared,0.9_cls_0.1_max,73.80382780253986,26.36268507933418,70.6744909286499,93.05998682975769,115,30857260,,,True
,6,,dataset,MVTec,pill,current_shared,0.9_cls_0.1_max,87.71585362369709,32.5983916839139,86.52482628822327,97.2053587436676,167,44810108,,,True
,6,,dataset,MVTec,screw,current_shared,0.9_cls_0.1_max,98.50370891329582,33.3654362159011,89.67000842094421,96.52777910232544,160,42931840,,,True
,6,,dataset,MVTec,tile,current_shared,0.9_cls_0.1_max,91.40236920592744,70.18439094205098,93.9393937587738,97.69830703735352,117,31393908,,,True
,6,,dataset,MVTec,transistor,current_shared,0.9_cls_0.1_max,70.29691737878872,10.48410866267457,76.79166793823242,74.14500713348389,100,26832400,,,True
,6,,dataset,MVTec,toothbrush,current_shared,0.9_cls_0.1_max,96.21561275901304,47.11294175577012,96.94444537162781,98.83061647415161,42,11269608,,,True
,6,,dataset,MVTec,wood,current_shared,0.9_cls_0.1_max,95.93342201073078,62.6902376594895,97.19298481941223,99.14296865463257,79,21197596,,,True
,6,,dataset,MVTec,zipper,current_shared,0.9_cls_0.1_max,96.61251783324073,52.84322568614627,89.44327235221863,96.8501091003418,151,40516924,,,True
MVTec,6,equal,macro,ALL_MVTEC_MACRO,,,,90.58457834572958,43.72023125942049,89.2430607477824,95.05156358083089,,,15,15,True
