seed,arm,comparison,feature_or_family,metric,value,status,evidence,interpretation
0,H,shared_E1_to_E15,all_trainable_families,L2_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
0,A,shared_E1_to_E15,all_trainable_families,L2_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
0,H,shared_E1_to_E15,all_trainable_families,relative_L2_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
0,A,shared_E1_to_E15,all_trainable_families,relative_L2_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
0,H,shared_E1_to_E15,all_trainable_families,cosine_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
0,A,shared_E1_to_E15,all_trainable_families,cosine_drift,NA,NOT_COMPUTED_CHECKPOINT_DISTANCE,Checkpoint files exist but no drift summary is archived,No causal drift ranking is claimed.
1,H,shared_E1_to_E15,target_features,normal_anomaly_separation,NA,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,results/H2_HA_REPLICATION_FINAL_AUDIT.md,Seed-1 target features and metrics do not exist.
1,A,shared_E1_to_E15,target_features,normal_anomaly_separation,NA,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,results/H2_HA_REPLICATION_FINAL_AUDIT.md,Seed-1 target features and metrics do not exist.
2,H,shared_E1_to_E15,target_features,normal_anomaly_separation,NA,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,results/H2_HA_REPLICATION_FINAL_AUDIT.md,Seed-2 target features and metrics do not exist.
2,A,shared_E1_to_E15,target_features,normal_anomaly_separation,NA,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,results/H2_HA_REPLICATION_FINAL_AUDIT.md,Seed-2 target features and metrics do not exist.
0,H,VisA_to_targets,feature_statistics,mean_covariance_norm_shift,NA,NOT_AVAILABLE_FEATURE_DUMPS,No source-target feature dump or target inference artifact is archived,Medical domain-shift hypothesis remains unknown.
