domain,dataset_or_class,current_seed,current_horizon,current_h_pixel_auc,current_h_pixel_ap,current_h_image_auc,current_h_image_ap,current_a_pixel_auc,current_a_pixel_ap,current_a_image_auc,current_a_image_ap,historical_h2_pixel_auc,historical_h2_pixel_ap,historical_h2_image_auc,historical_h2_image_ap,published_pixel_auc,published_pixel_ap,published_image_auc,published_image_ap,a_minus_h_pixel_auc,a_minus_h_pixel_ap,a_minus_h_image_auc,a_minus_h_image_ap,a_minus_historical_pixel_auc,a_minus_historical_pixel_ap,a_minus_historical_image_auc,a_minus_historical_image_ap,a_minus_published_pixel_auc,a_minus_published_pixel_ap,a_minus_published_image_auc,a_minus_published_image_ap,internal_h_a_status,historical_comparator_status,published_comparator_status,evidence_status,notes
Medical,Brain,0,15,94.6826277271934,32.07609393146674,83.87342691421509,95.18201351165771,95.45916099288614,36.19614130059037,80.20815849304199,93.90132427215576,95.24,38.28,,,95.3,53.0,86.8,96.9,0.776533265693,4.12004736912,-3.66526842117,-1.2806892395,0.219160992886,-2.08385869941,,,0.159160992886,-16.8038586994,-6.59184150696,-2.99867572784,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
Medical,Colon_Kvasir,0,15,85.66924605560678,53.16429111427995,,,86.60117085657238,54.136487478656825,,,88.40,63.45,,,88.8,60.2,,,0.931924800966,0.972196364377,,,-1.79882914343,-9.31351252134,,,-2.19882914343,-6.06351252134,,,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
Medical,Colon_clinicDB,0,15,86.98200226250792,43.96382543029162,,,88.65676783312772,50.46622745815254,,,89.06,57.46,,,89.2,54.0,,,1.67476557062,6.50240202786,,,-0.403232166872,-6.99377254185,,,-0.543232166872,-3.53377254185,,,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
Medical,Colon_colonDB,0,15,86.15969191295476,32.33571947470023,,,85.05402767323667,35.475264879717194,,,83.88,35.70,,,85.1,32.6,,,-1.10566423972,3.13954540502,,,1.17402767324,-0.224735120283,,,-0.0459723267633,2.87526487972,,,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
Medical,Liver,0,15,96.71211458064336,6.109344874434843,65.42708277702332,56.77885413169861,96.37981585227348,5.467153783529004,66.97006225585938,58.16033482551575,97.07,6.81,,,97.2,7.5,65.8,55.3,-0.33229872837,-0.642191090906,1.54297947884,1.38148069382,-0.690184147727,-1.34284621647,,,-0.820184147727,-2.03284621647,1.17006225586,2.86033482552,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
Medical,Retina,0,15,94.68630963498056,47.59624244960904,79.14579510688782,76.78913474082947,95.35977313627198,55.068943277254675,78.66995930671692,76.96843147277832,92.20,40.39,,,93.7,50.9,81.1,80.9,0.673463501291,7.47270082765,-0.475835800171,0.179296731949,3.15977313627,14.6789432773,,,1.65977313627,4.16894327725,-2.43004069328,-3.93156852722,MATCHED,APPROXIMATELY_MATCHED,APPROXIMATELY_MATCHED,SEED0_DISCOVERY_ONLY,Seed-0 E15; historical Phase2B uses stride=4 and rounding; published README N=3 protocol details are incomplete.
MVTec,bottle,0,15,93.09953,61.965423,98.174602,99.522638,94.172408,64.881866,95.634925,98.816556,,,,,,,,,1.072878,2.916443,-2.539677,-0.706082,,,,,,,,,MATCHED,NOT_COMPARABLE,NOT_COMPARABLE,SEED0_DISCOVERY_ONLY,Seed-0 E15 per-class row; no historical or published per-class comparator stored.
MVTec,cable,0,15,82.279355,26.101403,86.937779,90.947831,71.334212,25.932563,86.881554,91.309875,,,,,,,,,-10.945143,-0.16884,-0.056225,0.362044,,,,,,,,,MATCHED,NOT_COMPARABLE,NOT_COMPARABLE,SEED0_DISCOVERY_ONLY,Seed-0 E15 per-class row; no historical or published per-class comparator stored.
MVTec,capsule,0,15,93.945371,35.922051,93.4982,98.663914,96.532602,36.389492,89.389712,97.752899,,,,,,,,,2.587231,0.467441,-4.108488,-0.911015,,,,,,,,,MATCHED,NOT_COMPARABLE,NOT_COMPARABLE,SEED0_DISCOVERY_ONLY,Seed-0 E15 per-class row; no historical or published per-class comparator stored.
MVTec,carpet,0,15,99.174622,76.918105,99.598712,99.886507,99.535453,78.365233,98.033702,99.410176,,,,,,,,,0.360831,1.447128,-1.56501,-0.476331,,,,,,,,,MATCHED,NOT_COMPARABLE,NOT_COMPARABLE,SEED0_DISCOVERY_ONLY,Seed-0 E15 per-class row; no historical or published per-class comparator stored.
