epoch,class,pixel_auroc,pixel_ap,image_auroc,image_ap
10,bottle,91.575711,59.312597,95.87301,98.843449
10,cable,73.753287,23.956421,83.920538,90.282917
10,capsule,94.410146,36.281764,92.93977,98.640871
10,carpet,98.83457,76.357107,99.678975,99.904066
10,grid,82.972731,25.579997,93.149537,97.700375
10,hazelnut,94.487847,26.288966,71.714288,84.441304
10,leather,98.770238,53.55099,100.0,100.0
10,metal_nut,47.053871,13.812042,65.786904,90.239775
10,pill,91.107428,35.048338,87.5341,97.375751
10,screw,97.235403,16.295317,83.828652,93.861681
10,tile,80.911799,62.434268,97.402602,98.98116
10,transistor,60.15897,9.351453,79.208332,77.182442
10,toothbrush,96.725436,51.767986,97.500002,99.114448
10,wood,91.178036,57.862398,96.315789,98.774081
10,zipper,92.985418,39.856302,93.513662,98.238808
11,bottle,87.587173,59.55339,96.5873,99.065864
11,cable,75.570189,24.723318,81.37182,88.866365
11,capsule,89.436345,36.791899,93.657762,98.721814
11,carpet,96.483889,73.891666,99.678975,99.901021
11,grid,73.762493,25.297017,96.07352,98.566735
11,hazelnut,95.218513,31.47618,70.464283,82.040191
11,leather,99.054778,57.078062,100.0,100.0
11,metal_nut,28.310058,11.235734,60.899317,88.005519
11,pill,89.792466,33.177326,86.088383,96.954381
11,screw,97.517467,14.11581,80.385327,92.857349
11,tile,81.546263,64.630374,98.015875,99.214846
11,transistor,57.14754,8.433944,73.916662,74.695808
11,toothbrush,93.061246,48.656349,96.666664,98.885667
11,wood,82.47909,51.757753,96.57895,98.926342
11,zipper,81.324438,25.213879,92.883402,98.101676
12,bottle,89.906455,64.435156,96.587306,99.088949
12,cable,76.33807,27.465418,80.884558,87.9354
12,capsule,89.237859,35.546507,93.93698,98.802781
12,carpet,97.164743,76.210476,99.719101,99.913937
12,grid,74.237064,25.350451,94.319129,98.016679
12,hazelnut,95.836599,33.192941,73.035717,85.299397
12,leather,97.61133,56.068573,100.0,100.0
12,metal_nut,26.533587,12.682481,62.609971,90.059018
12,pill,90.839107,41.777156,88.10693,97.429055
12,screw,97.706834,14.494163,80.85674,93.34389
12,tile,83.347964,64.974701,98.160172,99.277896
12,transistor,58.590741,8.339173,76.666665,78.914416
12,toothbrush,94.598378,52.512675,98.888886,99.607843
12,wood,83.807335,51.808901,95.701754,98.731071
12,zipper,85.161191,32.345786,93.566185,98.297036
13,bottle,89.64361,59.726784,96.190476,98.965675
13,cable,74.559893,25.17086,81.634182,88.7429
13,capsule,93.32241,27.975801,93.09932,98.601407
13,carpet,97.703926,75.20858,99.558586,99.867421
13,grid,76.716567,24.523809,97.493738,99.02634
13,hazelnut,96.386555,43.292478,75.17857,86.087537
13,leather,98.319476,56.137466,100.0,100.0
13,metal_nut,36.968988,13.577208,64.027369,90.210903
13,pill,85.60634,31.039463,84.097099,96.382362
13,screw,97.897702,18.747991,80.528796,92.679167
13,tile,79.624173,60.079977,97.114003,98.833436
13,transistor,54.4856,7.326331,77.249998,75.877434
13,toothbrush,95.855069,54.124897,98.888886,99.607843
13,wood,87.744282,54.658609,96.842098,99.013132
13,zipper,91.114908,39.263281,91.307771,97.765309
14,bottle,91.409659,63.170999,98.095238,99.472696
14,cable,78.031014,26.868907,86.375558,92.135614
14,capsule,90.222872,31.909872,92.660546,98.533249
14,carpet,98.068462,76.372468,99.558586,99.869597
14,grid,80.837483,24.711663,96.741855,98.846573
14,hazelnut,96.336577,39.023788,75.5,86.371076
14,leather,98.839512,55.894589,100.0,100.0
14,metal_nut,33.196518,13.57135,63.440865,89.70477
14,pill,89.053942,34.892359,88.761592,97.52152
14,screw,97.98281,16.481758,80.077881,92.781007
14,tile,80.364075,61.567578,97.655118,99.093395
14,transistor,56.252671,7.852768,74.29167,74.55498
14,toothbrush,95.882448,54.399153,98.611104,99.481916
14,wood,87.724008,50.127049,95.263159,98.483038
14,zipper,90.184207,39.509463,90.178573,97.411174
15,bottle,93.183349,64.802618,97.936511,99.425066
15,cable,78.213891,28.565968,85.888308,91.379964
15,capsule,93.071002,35.074246,94.575185,98.910183
15,carpet,98.211173,78.509796,99.317813,99.812973
15,grid,80.44395,26.428086,95.488721,98.548615
15,hazelnut,96.260805,37.463474,75.17857,86.606067
15,leather,99.220151,58.85774,100.0,100.0
15,metal_nut,28.260756,12.045808,60.752684,89.335251
15,pill,91.852238,41.000736,88.516092,97.476363
15,screw,97.949789,16.780679,79.032594,92.136723
15,tile,81.936039,65.422119,97.871578,99.192631
15,transistor,58.964637,8.612651,75.916672,76.751077
15,toothbrush,97.185702,55.317219,100.0,100.0
15,wood,86.771939,54.277201,94.47369,98.283297
15,zipper,87.29702,39.711758,92.305672,97.965473
