epoch,class,pixel_auroc,pixel_ap
10,bottle,91.575711,59.312597
10,cable,73.753287,23.956421
10,capsule,94.410146,36.281764
10,carpet,98.83457,76.357107
10,grid,82.972731,25.579997
10,hazelnut,94.487847,26.288966
10,leather,98.770238,53.55099
10,metal_nut,47.053871,13.812042
10,pill,91.107428,35.048338
10,screw,97.235403,16.295317
10,tile,80.911799,62.434268
10,transistor,60.15897,9.351453
10,toothbrush,96.725436,51.767986
10,wood,91.178036,57.862398
10,zipper,92.985418,39.856302
11,bottle,87.587173,59.55339
11,cable,75.570189,24.723318
11,capsule,89.436345,36.791899
11,carpet,96.483889,73.891666
11,grid,73.762493,25.297017
11,hazelnut,95.218513,31.47618
11,leather,99.054778,57.078062
11,metal_nut,28.310058,11.235734
11,pill,89.792466,33.177326
11,screw,97.517467,14.11581
11,tile,81.546263,64.630374
11,transistor,57.14754,8.433944
11,toothbrush,93.061246,48.656349
11,wood,82.47909,51.757753
11,zipper,81.324438,25.213879
12,bottle,89.906455,64.435156
12,cable,76.33807,27.465418
12,capsule,89.237859,35.546507
12,carpet,97.164743,76.210476
12,grid,74.237064,25.350451
12,hazelnut,95.836599,33.192941
12,leather,97.61133,56.068573
12,metal_nut,26.533587,12.682481
12,pill,90.839107,41.777156
12,screw,97.706834,14.494163
12,tile,83.347964,64.974701
12,transistor,58.590741,8.339173
12,toothbrush,94.598378,52.512675
12,wood,83.807335,51.808901
12,zipper,85.161191,32.345786
13,bottle,89.64361,59.726784
13,cable,74.559893,25.17086
13,capsule,93.32241,27.975801
13,carpet,97.703926,75.20858
13,grid,76.716567,24.523809
13,hazelnut,96.386555,43.292478
13,leather,98.319476,56.137466
13,metal_nut,36.968988,13.577208
13,pill,85.60634,31.039463
13,screw,97.897702,18.747991
13,tile,79.624173,60.079977
13,transistor,54.4856,7.326331
13,toothbrush,95.855069,54.124897
13,wood,87.744282,54.658609
13,zipper,91.114908,39.263281
14,bottle,91.409659,63.170999
14,cable,78.031014,26.868907
14,capsule,90.222872,31.909872
14,carpet,98.068462,76.372468
14,grid,80.837483,24.711663
14,hazelnut,96.336577,39.023788
14,leather,98.839512,55.894589
14,metal_nut,33.196518,13.57135
14,pill,89.053942,34.892359
14,screw,97.98281,16.481758
14,tile,80.364075,61.567578
14,transistor,56.252671,7.852768
14,toothbrush,95.882448,54.399153
14,wood,87.724008,50.127049
14,zipper,90.184207,39.509463
15,bottle,93.183349,64.802618
15,cable,78.213891,28.565968
15,capsule,93.071002,35.074246
15,carpet,98.211173,78.509796
15,grid,80.44395,26.428086
15,hazelnut,96.260805,37.463474
15,leather,99.220151,58.85774
15,metal_nut,28.260756,12.045808
15,pill,91.852238,41.000736
15,screw,97.949789,16.780679
15,tile,81.936039,65.422119
15,transistor,58.964637,8.612651
15,toothbrush,97.185702,55.317219
15,wood,86.771939,54.277201
15,zipper,87.29702,39.711758
