epoch,class,pixel_auroc,pixel_ap,image_auroc,image_ap
10,candle,96.770446,28.308659,90.23,91.257966
10,pcb3,84.936572,7.995241,74.910885,76.471448
10,capsules,95.182323,28.004706,85.016662,92.678267
10,pipe_fryum,95.788151,24.296717,95.039999,98.12454
10,pcb4,94.385134,19.878672,83.58416,78.837508
10,macaroni2,94.195005,0.250221,58.740002,58.341271
10,pcb2,89.080499,7.250221,78.639996,82.319713
10,chewinggum,98.500404,76.836353,97.760004,99.059814
10,macaroni1,92.177624,0.916628,81.710005,83.576655
10,cashew,97.10487,46.136557,78.819996,88.147712
10,fryum,93.612733,31.618928,86.080003,92.911959
10,pcb1,87.107309,5.876712,91.159999,90.297407
11,candle,92.433576,16.560705,88.600004,90.338343
11,pcb3,81.175632,4.801553,76.331681,78.411758
11,capsules,94.023343,21.765424,79.450005,89.199597
11,pipe_fryum,97.237677,18.215066,98.24,99.184686
11,pcb4,93.494263,14.50173,79.861385,78.841817
11,macaroni2,93.751553,0.22571,61.269999,63.042468
11,pcb2,84.276075,5.709074,74.620003,76.224422
11,chewinggum,97.76346,66.314216,96.439999,98.545033
11,macaroni1,89.274463,0.49563,77.310002,79.06971
11,cashew,92.917629,16.393001,64.840001,82.048011
11,fryum,93.249053,23.637321,85.440004,93.263274
11,pcb1,81.128091,3.5069,85.81,87.222475
12,candle,91.275073,15.496706,87.21,87.591898
12,pcb3,81.47094,6.072024,72.03961,75.263983
12,capsules,94.232215,24.773436,80.683327,88.867015
12,pipe_fryum,96.226907,17.194498,98.720002,99.218827
12,pcb4,93.855084,15.231165,85.455441,85.576773
12,macaroni2,93.997229,0.251199,64.849997,65.030301
12,pcb2,85.133255,4.281076,75.429994,78.914022
12,chewinggum,97.812439,61.73932,96.380007,98.360306
12,macaroni1,89.74902,0.526289,76.320004,78.686988
12,cashew,93.646371,20.967094,55.339998,72.2449
12,fryum,93.119784,25.270096,84.120005,92.043859
12,pcb1,84.908468,3.373213,90.189999,88.947165
13,candle,93.112016,15.164948,93.819994,94.537306
13,pcb3,80.937246,5.641347,59.782183,67.805022
13,capsules,92.373124,9.887841,84.016663,91.064394
13,pipe_fryum,93.645105,14.872108,97.140002,98.660529
13,pcb4,92.320951,15.347964,72.910893,73.261583
13,macaroni2,95.298696,0.407661,65.829992,65.019083
13,pcb2,79.528793,5.013896,76.670003,81.490219
13,chewinggum,98.105364,75.342951,96.98,98.729044
13,macaroni1,95.901981,2.041023,80.000001,81.688178
13,cashew,95.778282,35.172716,77.399999,85.242766
13,fryum,92.609708,24.016766,88.0,94.01871
13,pcb1,85.78631,3.756512,88.949996,88.541436
14,candle,92.74707,19.027574,91.540003,91.282111
14,pcb3,80.244673,4.993127,70.772278,73.404539
14,capsules,95.426273,17.731316,84.100002,91.102678
14,pipe_fryum,89.704553,13.446477,97.559994,98.923594
14,pcb4,91.98717,15.286281,89.465356,89.33174
14,macaroni2,93.95396,0.271349,63.429999,65.48599
14,pcb2,76.726076,2.963826,69.940001,73.610103
14,chewinggum,97.755152,71.601694,97.100008,98.756295
14,macaroni1,95.015862,1.25088,78.869998,80.408335
14,cashew,89.670956,17.296069,55.599999,73.266935
14,fryum,90.75361,24.910539,87.519997,93.804228
14,pcb1,85.425958,4.544534,91.409999,90.7511
15,candle,96.379079,27.445868,93.489999,93.732989
15,pcb3,81.944904,4.31544,72.544551,73.209631
15,capsules,95.727666,20.607831,81.299996,89.254898
15,pipe_fryum,93.30952,16.538934,97.780001,98.926246
15,pcb4,93.108353,16.93797,90.564358,90.584326
15,macaroni2,94.166893,0.278426,61.050004,64.381343
15,pcb2,85.303675,4.135355,72.170007,76.960361
15,chewinggum,98.118831,74.876891,95.76,98.021567
15,macaroni1,95.626289,1.469471,77.600002,78.148597
15,cashew,94.908173,22.833842,55.680001,72.607553
15,fryum,93.534312,24.59037,87.980002,93.941391
15,pcb1,90.700659,6.60341,91.649997,91.05953
