epoch,class,pixel_auroc,pixel_ap
10,candle,96.770446,28.308659
10,pcb3,84.936572,7.995241
10,capsules,95.182323,28.004706
10,pipe_fryum,95.788151,24.296717
10,pcb4,94.385134,19.878672
10,macaroni2,94.195005,0.250221
10,pcb2,89.080499,7.250221
10,chewinggum,98.500404,76.836353
10,macaroni1,92.177624,0.916628
10,cashew,97.10487,46.136557
10,fryum,93.612733,31.618928
10,pcb1,87.107309,5.876712
11,candle,92.433576,16.560705
11,pcb3,81.175632,4.801553
11,capsules,94.023343,21.765424
11,pipe_fryum,97.237677,18.215066
11,pcb4,93.494263,14.50173
11,macaroni2,93.751553,0.22571
11,pcb2,84.276075,5.709074
11,chewinggum,97.76346,66.314216
11,macaroni1,89.274463,0.49563
11,cashew,92.917629,16.393001
11,fryum,93.249053,23.637321
11,pcb1,81.128091,3.5069
12,candle,91.275073,15.496706
12,pcb3,81.47094,6.072024
12,capsules,94.232215,24.773436
12,pipe_fryum,96.226907,17.194498
12,pcb4,93.855084,15.231165
12,macaroni2,93.997229,0.251199
12,pcb2,85.133255,4.281076
12,chewinggum,97.812439,61.73932
12,macaroni1,89.74902,0.526289
12,cashew,93.646371,20.967094
12,fryum,93.119784,25.270096
12,pcb1,84.908468,3.373213
13,candle,93.112016,15.164948
13,pcb3,80.937246,5.641347
13,capsules,92.373124,9.887841
13,pipe_fryum,93.645105,14.872108
13,pcb4,92.320951,15.347964
13,macaroni2,95.298696,0.407661
13,pcb2,79.528793,5.013896
13,chewinggum,98.105364,75.342951
13,macaroni1,95.901981,2.041023
13,cashew,95.778282,35.172716
13,fryum,92.609708,24.016766
13,pcb1,85.78631,3.756512
14,candle,92.74707,19.027574
14,pcb3,80.244673,4.993127
14,capsules,95.426273,17.731316
14,pipe_fryum,89.704553,13.446477
14,pcb4,91.98717,15.286281
14,macaroni2,93.95396,0.271349
14,pcb2,76.726076,2.963826
14,chewinggum,97.755152,71.601694
14,macaroni1,95.015862,1.25088
14,cashew,89.670956,17.296069
14,fryum,90.75361,24.910539
14,pcb1,85.425958,4.544534
15,candle,96.379079,27.445868
15,pcb3,81.944904,4.31544
15,capsules,95.727666,20.607831
15,pipe_fryum,93.30952,16.538934
15,pcb4,93.108353,16.93797
15,macaroni2,94.166893,0.278426
15,pcb2,85.303675,4.135355
15,chewinggum,98.118831,74.876891
15,macaroni1,95.626289,1.469471
15,cashew,94.908173,22.833842
15,fryum,93.534312,24.59037
15,pcb1,90.700659,6.60341
