condition,macro_pAP,macro_pAUROC,mean_loss
native,0.5699400925375667,0.9707623684180294,0.4945596257183056
positive_alpha_0,0.5699400925375667,0.9707623684180294,0.4945596257183056
positive_alpha_0.125,0.6002304032300099,0.9886508811244864,0.44159641885709094
positive_alpha_0.25,0.6158246330733695,0.9928031760389301,0.4020279512658698
positive_alpha_0.5,0.6270798043132193,0.995661259402916,0.4224628592242918
positive_alpha_1,0.5814147146141443,0.9961507820968909,0.6329811616863895
signed_alpha_0,0.5699400925375667,0.9707623684180294,0.4945596257183056
signed_alpha_0.125,0.6148526382438316,0.9906914825834346,0.4363521975876144
signed_alpha_0.25,0.626144040476265,0.9951651626361896,0.3922941140913417
signed_alpha_0.5,0.6238582170855611,0.9960806086698292,0.4079824769508193
signed_alpha_1,0.5695812928141647,0.995146018024692,0.6060505280529256
