class,condition,pAP,pAUROC,loss,images,pixels
candle,native,0.5018832185269125,0.9903713315794395,0.4435807155072689,200,53664800
candle,positive_alpha_0,0.5018832185269125,0.9903713315794395,0.4435807155072689,200,53664800
candle,signed_alpha_0,0.5018832185269125,0.9903713315794395,0.4435807155072689,200,53664800
candle,positive_alpha_0.125,0.5462376702874703,0.9967328244650622,0.39897535249590876,200,53664800
candle,signed_alpha_0.125,0.5720469157048585,0.9969188574099122,0.39714380018413065,200,53664800
candle,positive_alpha_0.25,0.5730464887708602,0.9974082813325558,0.3709569776058197,200,53664800
candle,signed_alpha_0.25,0.5958796703475799,0.997458454297227,0.36888463839888574,200,53664800
candle,positive_alpha_0.5,0.596441217320608,0.99772921678559,0.37438156887888907,200,53664800
candle,signed_alpha_0.5,0.6057266242209294,0.9971278638663696,0.37211927756667135,200,53664800
candle,positive_alpha_1,0.5319912520108281,0.9978361583500922,0.5025335811078548,200,53664800
candle,signed_alpha_1,0.5289327445381496,0.9968960648942892,0.4966828452050686,200,53664800
capsules,native,0.7553772262426603,0.9864547480692382,0.5080386855639517,160,42931840
capsules,positive_alpha_0,0.7553772262426603,0.9864547480692382,0.5080386855639517,160,42931840
capsules,signed_alpha_0,0.7553772262426603,0.9864547480692382,0.5080386855639517,160,42931840
capsules,positive_alpha_0.125,0.7824042024708283,0.9943955790379438,0.45667920960113406,160,42931840
capsules,signed_alpha_0.125,0.7985115631196225,0.9965883974958031,0.45399341569282115,160,42931840
capsules,positive_alpha_0.25,0.799100878895699,0.9971202144034413,0.40671609290875493,160,42931840
capsules,signed_alpha_0.25,0.8140274355571272,0.9981632375488589,0.4024228484835476,160,42931840
capsules,positive_alpha_0.5,0.8145812930977872,0.9981972871004385,0.38566961167380215,160,42931840
capsules,signed_alpha_0.5,0.8200080694475438,0.9983559337017877,0.378217520006001,160,42931840
capsules,positive_alpha_1,0.7763057612784331,0.9983009300631164,0.629274139367044,160,42931840
capsules,signed_alpha_1,0.7773798204113601,0.9980591895393156,0.6150288721546531,160,42931840
cashew,native,0.9462302788208623,0.9979280831739195,0.6018261840442817,150,40248600
cashew,positive_alpha_0,0.9462302788208623,0.9979280831739195,0.6018261840442817,150,40248600
cashew,signed_alpha_0,0.9462302788208623,0.9979280831739195,0.6018261840442817,150,40248600
cashew,positive_alpha_0.125,0.9608256508588476,0.9989411875046059,0.5516089083254337,150,40248600
cashew,signed_alpha_0.125,0.9678153026844697,0.99916265519826,0.5488916061073542,150,40248600
cashew,positive_alpha_0.25,0.9681713933430582,0.9992559830164809,0.47878062874078753,150,40248600
cashew,signed_alpha_0.25,0.9719952809295868,0.9994141998039971,0.4751764640212059,150,40248600
cashew,positive_alpha_0.5,0.972220969226407,0.9994446355201042,0.4717242282629013,150,40248600
cashew,signed_alpha_0.5,0.9537735795023372,0.9991180851012997,0.4671133993069331,150,40248600
cashew,positive_alpha_1,0.9357095121672316,0.9990933697150589,0.7168293235699336,150,40248600
cashew,signed_alpha_1,0.8823457637462879,0.9961392061684222,0.7062999920050304,150,40248600
