reference=phase1_v2_attn_tau8/adapter_13.pth epoch=13 tau=8.0 use_ss2d=False
candidate=phase1_v3_attn_tau8_ss2d_g02/adapter_11.pth epoch=11 tau=8.0 use_ss2d=True gamma_max=0.2
max_entropy=log(3)=1.0986
dataset,class,stage,n,ref_H_N,ref_H_A,cand_H_N,cand_H_A,L1_N,L1_A,query_cos,ss2d_ratio,gamma,ref_w_N,ref_w_A,cand_w_N,cand_w_A
Retina,Retina,1,8,0.8492,0.7840,0.7673,0.6939,0.1388,0.0570,-0.0270,0.8166,0.0237,[0.0595/0.3558/0.5848],[0.0361/0.3450/0.6189],[0.0196/0.4252/0.5552],[0.0076/0.3587/0.6337]
Retina,Retina,2,8,0.7318,0.7362,0.5161,0.6455,0.2675,0.0512,-0.0917,1.0456,-0.0276,[0.0272/0.3075/0.6653],[0.0287/0.3069/0.6644],[0.0027/0.1982/0.7991],[0.0031/0.3181/0.6787]
Retina,Retina,3,8,0.8651,0.8465,0.7881,0.7119,0.4102,0.1316,0.1161,1.1539,0.0324,[0.0688/0.3465/0.5847],[0.0579/0.3574/0.5846],[0.0263/0.5516/0.4221],[0.0054/0.4233/0.5713]
Colon_Kvasir,Colon_Kvasir,1,8,0.8303,0.8652,0.7148,0.7037,0.3032,0.1398,-0.0271,0.8489,0.0237,[0.0392/0.4631/0.4977],[0.0628/0.3763/0.5610],[0.0166/0.3340/0.6493],[0.0098/0.3593/0.6309]
Colon_Kvasir,Colon_Kvasir,2,8,0.8798,0.9722,0.6037,0.7044,0.5241,0.2565,-0.0928,1.3952,-0.0276,[0.0645/0.4532/0.4823],[0.1308/0.3640/0.5053],[0.0081/0.2476/0.7443],[0.0105/0.3560/0.6335]
Colon_Kvasir,Colon_Kvasir,3,8,0.8500,0.9416,0.7873,0.7175,0.1502,0.2050,0.1070,1.2829,0.0324,[0.0553/0.4293/0.5154],[0.1111/0.3733/0.5156],[0.0233/0.4997/0.4770],[0.0086/0.3985/0.5929]
Liver,Liver,1,8,0.8398,0.7741,0.7660,0.6926,0.1426,0.0518,-0.0268,0.8096,0.0237,[0.0558/0.3537/0.5905],[0.0333/0.3419/0.6248],[0.0192/0.4250/0.5558],[0.0074/0.3580/0.6346]
Liver,Liver,2,8,0.7341,0.7385,0.5124,0.6435,0.2747,0.0525,-0.0919,1.0325,-0.0276,[0.0277/0.3083/0.6639],[0.0293/0.3078/0.6630],[0.0026/0.1961/0.8013],[0.0030/0.3166/0.6804]
Liver,Liver,3,8,0.7820,0.7619,0.7862,0.7109,0.4564,0.1779,0.1141,1.1683,0.0324,[0.0401/0.3243/0.6356],[0.0310/0.3337/0.6353],[0.0258/0.5525/0.4217],[0.0052/0.4227/0.5721]
Colon_clinicDB,Colon_clinicDB,1,8,0.8270,0.8618,0.7133,0.7025,0.3033,0.1375,-0.0271,0.8381,0.0237,[0.0378/0.4636/0.4986],[0.0610/0.3760/0.5630],[0.0163/0.3334/0.6503],[0.0096/0.3587/0.6317]
Colon_clinicDB,Colon_clinicDB,2,8,0.9417,1.0120,0.6269,0.7194,0.5504,0.3279,-0.0942,1.6967,-0.0276,[0.1119/0.4334/0.4547],[0.1729/0.3614/0.4657],[0.0105/0.2596/0.7299],[0.0134/0.3629/0.6237]
Colon_clinicDB,Colon_clinicDB,3,8,0.8739,0.9645,0.7903,0.7200,0.1508,0.2321,0.1066,1.3153,0.0324,[0.0662/0.4291/0.5047],[0.1251/0.3748/0.5000],[0.0243/0.4990/0.4767],[0.0091/0.3996/0.5913]
