2026-07-14 05:14:41,831 phase2c_train.py 387: config={'condition': 'P_LoRA_only', 'save_path': 'runs/phase2c_4090/PL_lora_only_seed42_bs8', 'dataset': 'VisA', 'epochs': 15, 'seed': 42, 'n_groups': 3, 'dfg_mode': 'attn', 'dfg_attn_dim': 256, 'dfg_attn_tau': 8.0, 'use_ss2d_dfg': True, 'dfg_gamma_max': 0.2, 'dfg_ss2d_fusion': 'weight_residual', 'dfg_beta': 0.1, 'dfg_beta_schedule': 'warmup010', 'dfg_beta_target': 0.1, 'activation_delay_epochs': 0, 'text_adapt_weight': 0.2, 'use_hybrid_soft_prompt': True, 'hybrid_alpha_max': 0.2, 'alpha_schedule': [0.0, 0.0, 0.0, 0.05, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'soft_prompt_ctx_len': 4, 'soft_prompt_lr': 5e-05, 'soft_prompt_freeze_epochs': 3, 'lambda_kg': 0.01, 'lambda_k': 0.002, 'image_lr': 0.001, 'text_lr': 0.0005, 'lr_gamma': 0.9, 'grad_clip_norm': 1.0, 'non_finite_loss_abort_threshold': 20, 'batch_size': 8, 'num_workers': 10, 'img_size': 518, 'amp': True, 'grad_checkpointing': True, 'score_rule': 'cls_only', 'parent_condition': 'A_prime', 'pcgrad_enabled': True, 'pcgrad_groups': ['shared_image_lora'], 'pcgrad_variant': 'symmetric_module_scoped_lora_only', 'pcgrad_epsilon': 1e-12, 'precision': 'bf16', 'bf16': True, 'diagnostic_batch_size': 1, 'pcgrad_scale_factor': 1.0, 'training_commit_sha': '9173e67a7a095800a417859565ef3e479b799c0a'}
2026-07-14 05:14:41,831 phase2c_train.py 390: PCGrad precision mode: native BF16
2026-07-14 05:14:41,913 clip.py 106: Loading pretrained ViT-L-14-336 from OpenAI.
2026-07-14 05:14:50,658 model.py 418: Resizing position embedding grid-size from (24, 24) to (37, 37)
2026-07-14 05:26:38,331 phase2c_train.py 593: epoch=1 alpha=0.0 beta=0.0 mean_loss=1.387453187720567 validation_macro={'epoch': 1, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.99576687812805, 'pixel_ap': 24.61715303361416, 'image_auc': 81.84027721484502, 'image_ap': 86.22708668311436} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 05:38:22,627 phase2c_train.py 593: epoch=2 alpha=0.0 beta=0.0 mean_loss=1.2170387761933463 validation_macro={'epoch': 2, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.09696161746979, 'pixel_ap': 28.4256628404061, 'image_auc': 89.95139002799988, 'image_ap': 92.56352086861928} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 05:50:14,688 phase2c_train.py 593: epoch=3 alpha=0.0 beta=0.0 mean_loss=1.1531015725179752 validation_macro={'epoch': 3, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.14060666163762, 'pixel_ap': 30.196762457489967, 'image_auc': 93.85416756073634, 'image_ap': 95.80142547686894} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 06:03:12,144 phase2c_train.py 593: epoch=4 alpha=0.05 beta=0.05 mean_loss=1.0036228956989428 validation_macro={'epoch': 4, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.46296149492264, 'pixel_ap': 31.12261692682902, 'image_auc': 95.0347234805425, 'image_ap': 96.39757970968883} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 06:16:08,043 phase2c_train.py 593: epoch=5 alpha=0.1 beta=0.05 mean_loss=0.9631384428470365 validation_macro={'epoch': 5, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.7190677523613, 'pixel_ap': 31.794653087854385, 'image_auc': 95.63194811344147, 'image_ap': 96.95211946964264} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 06:28:59,009 phase2c_train.py 593: epoch=6 alpha=0.2 beta=0.05 mean_loss=0.944528702217313 validation_macro={'epoch': 6, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.5022980372111, 'pixel_ap': 33.54803025722504, 'image_auc': 95.9236149986585, 'image_ap': 96.98724846045177} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 06:42:04,264 phase2c_train.py 593: epoch=7 alpha=0.2 beta=0.1 mean_loss=0.9233667133590593 validation_macro={'epoch': 7, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.03825509548187, 'pixel_ap': 37.9407932360967, 'image_auc': 96.29166672627132, 'image_ap': 97.22656905651093} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 06:55:08,785 phase2c_train.py 593: epoch=8 alpha=0.2 beta=0.1 mean_loss=0.895853211802821 validation_macro={'epoch': 8, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.06598860025406, 'pixel_ap': 40.83822872489691, 'image_auc': 97.05555935700734, 'image_ap': 97.81066079934438} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 07:08:14,197 phase2c_train.py 593: epoch=9 alpha=0.2 beta=0.1 mean_loss=0.8873400361307205 validation_macro={'epoch': 9, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.14717811346054, 'pixel_ap': 43.74723508954048, 'image_auc': 96.54166748126347, 'image_ap': 97.56918052832286} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 07:21:23,692 phase2c_train.py 593: epoch=10 alpha=0.2 beta=0.1 mean_loss=0.8547713876045244 validation_macro={'epoch': 10, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.39404014746349, 'pixel_ap': 46.24084513634443, 'image_auc': 97.10416843493779, 'image_ap': 97.78289198875427} non_finite_loss_skips=0 non_finite_grad_skips=0
2026-07-14 07:34:19,338 phase2c_train.py 593: epoch=11 alpha=0.2 beta=0.1 mean_loss=0.8509262132754524 validation_macro={'epoch': 11, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.15165839592616, 'pixel_ap': 46.91275594135126, 'image_auc': 97.53472705682118, 'image_ap': 98.355437318484} non_finite_loss_skips=0 non_finite_grad_skips=0
