2026-07-12 09:11:39,986 phase2c_train.py 312: config={'condition': 'B', 'save_path': 'runs/phase2c_bf16/B_alpha015_seed42', 'dataset': 'VisA', 'epochs': 15, 'seed': 42, 'n_groups': 3, 'dfg_mode': 'attn', 'dfg_attn_dim': 256, 'dfg_attn_tau': 8.0, 'use_ss2d_dfg': True, 'dfg_gamma_max': 0.2, 'dfg_ss2d_fusion': 'weight_residual', 'dfg_beta': 0.1, 'dfg_beta_schedule': 'warmup010', 'dfg_beta_target': 0.1, 'text_adapt_weight': 0.2, 'use_hybrid_soft_prompt': True, 'hybrid_alpha_max': 0.15, 'alpha_schedule': [0.0, 0.0, 0.0, 0.0375, 0.075, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15], 'soft_prompt_ctx_len': 4, 'soft_prompt_lr': 5e-05, 'soft_prompt_freeze_epochs': 3, 'lambda_kg': 0.01, 'lambda_k': 0.002, 'image_lr': 0.001, 'text_lr': 0.0005, 'lr_gamma': 0.9, 'grad_clip_norm': 1.0, 'non_finite_loss_abort_threshold': 20, 'batch_size': 6, 'num_workers': 6, 'img_size': 518, 'amp': True, 'grad_checkpointing': True, 'score_rule': 'cls_only', 'bf16': True, 'diagnostic_batch_size': 1}
2026-07-12 09:11:40,061 clip.py 106: Loading pretrained ViT-L-14-336 from OpenAI.
2026-07-12 09:11:43,005 model.py 418: Resizing position embedding grid-size from (24, 24) to (37, 37)
2026-07-12 09:21:40,899 phase2c_train.py 403: epoch=1 alpha=0.0 beta=0.0 mean_loss=1.3626780703818508 validation_macro={'epoch': 1, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.02934217453003, 'pixel_ap': 26.787802204489708, 'image_auc': 84.1875006755193, 'image_ap': 88.0997767051061}
2026-07-12 09:31:37,503 phase2c_train.py 403: epoch=2 alpha=0.0 beta=0.0 mean_loss=1.1790064397980184 validation_macro={'epoch': 2, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 93.77498527367909, 'pixel_ap': 28.4103296076258, 'image_auc': 89.27778055270512, 'image_ap': 92.54538615544637}
2026-07-12 09:41:33,792 phase2c_train.py 403: epoch=3 alpha=0.0 beta=0.0 mean_loss=1.1497651383951049 validation_macro={'epoch': 3, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.79267994562785, 'pixel_ap': 30.95464843014876, 'image_auc': 91.78472459316254, 'image_ap': 94.32414621114731}
2026-07-12 09:51:42,287 phase2c_train.py 403: epoch=4 alpha=0.0375 beta=0.05 mean_loss=1.0028563674964708 validation_macro={'epoch': 4, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.55053359270096, 'pixel_ap': 31.477873275677364, 'image_auc': 95.18750011920929, 'image_ap': 96.67811840772629}
2026-07-12 10:01:51,739 phase2c_train.py 403: epoch=5 alpha=0.075 beta=0.05 mean_loss=0.9409433580599854 validation_macro={'epoch': 5, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.62283356984456, 'pixel_ap': 36.278246715664864, 'image_auc': 94.2916676402092, 'image_ap': 95.71884522835414}
2026-07-12 10:12:00,185 phase2c_train.py 403: epoch=6 alpha=0.15 beta=0.05 mean_loss=0.9455996683724611 validation_macro={'epoch': 6, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.4404712120692, 'pixel_ap': 41.323367630441986, 'image_auc': 96.17361476023991, 'image_ap': 97.3374992609024}
2026-07-12 10:22:11,167 phase2c_train.py 403: epoch=7 alpha=0.15 beta=0.1 mean_loss=0.8987925675501048 validation_macro={'epoch': 7, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.19413763284683, 'pixel_ap': 43.27729965249697, 'image_auc': 96.90278023481369, 'image_ap': 97.77881453434627}
2026-07-12 10:32:21,188 phase2c_train.py 403: epoch=8 alpha=0.15 beta=0.1 mean_loss=0.8852334707253532 validation_macro={'epoch': 8, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.22774716218312, 'pixel_ap': 42.04798551897208, 'image_auc': 97.22916930913925, 'image_ap': 97.93785115083058}
2026-07-12 10:42:31,235 phase2c_train.py 403: epoch=9 alpha=0.15 beta=0.1 mean_loss=0.8794812579674705 validation_macro={'epoch': 9, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.53395211696625, 'pixel_ap': 48.801200898985066, 'image_auc': 97.0000018676122, 'image_ap': 97.78991490602493}
2026-07-12 10:52:41,345 phase2c_train.py 403: epoch=10 alpha=0.15 beta=0.1 mean_loss=0.8568137499494124 validation_macro={'epoch': 10, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.5898786187172, 'pixel_ap': 49.63167166958252, 'image_auc': 97.41666962703069, 'image_ap': 98.03237915039062}
2026-07-12 11:02:51,305 phase2c_train.py 403: epoch=11 alpha=0.15 beta=0.1 mean_loss=0.8250625997678631 validation_macro={'epoch': 11, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.10979255040486, 'pixel_ap': 51.29385311156511, 'image_auc': 97.40972767273585, 'image_ap': 98.10510228077571}
