2026-07-12 14:34:42,962 phase2c_train.py 312: config={'condition': 'C', 'save_path': 'runs/phase2c_bf16/C_alpha020_delayed_seed42', 'dataset': 'VisA', 'epochs': 15, 'seed': 42, 'n_groups': 3, 'dfg_mode': 'attn', 'dfg_attn_dim': 256, 'dfg_attn_tau': 8.0, 'use_ss2d_dfg': True, 'dfg_gamma_max': 0.2, 'dfg_ss2d_fusion': 'weight_residual', 'dfg_beta': 0.1, 'dfg_beta_schedule': 'warmup010', 'dfg_beta_target': 0.1, 'activation_delay_epochs': 2, 'text_adapt_weight': 0.2, 'use_hybrid_soft_prompt': True, 'hybrid_alpha_max': 0.2, 'alpha_schedule': [0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'soft_prompt_ctx_len': 4, 'soft_prompt_lr': 5e-05, 'soft_prompt_freeze_epochs': 5, 'lambda_kg': 0.01, 'lambda_k': 0.002, 'image_lr': 0.001, 'text_lr': 0.0005, 'lr_gamma': 0.9, 'grad_clip_norm': 1.0, 'non_finite_loss_abort_threshold': 20, 'batch_size': 6, 'num_workers': 6, 'img_size': 518, 'amp': True, 'grad_checkpointing': True, 'score_rule': 'cls_only', 'bf16': True, 'diagnostic_batch_size': 1}
2026-07-12 14:34:43,037 clip.py 106: Loading pretrained ViT-L-14-336 from OpenAI.
2026-07-12 14:34:46,120 model.py 418: Resizing position embedding grid-size from (24, 24) to (37, 37)
2026-07-12 14:44:55,478 phase2c_train.py 405: epoch=1 alpha=0.0 beta=0.0 mean_loss=1.3626780703818508 validation_macro={'epoch': 1, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.02934217453003, 'pixel_ap': 26.787802204489708, 'image_auc': 84.1875006755193, 'image_ap': 88.0997767051061}
2026-07-12 14:54:50,611 phase2c_train.py 405: epoch=2 alpha=0.0 beta=0.0 mean_loss=1.1790064397980184 validation_macro={'epoch': 2, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 93.77498527367909, 'pixel_ap': 28.4103296076258, 'image_auc': 89.27778055270512, 'image_ap': 92.54538615544637}
2026-07-12 15:04:45,874 phase2c_train.py 405: epoch=3 alpha=0.0 beta=0.0 mean_loss=1.1497651383951049 validation_macro={'epoch': 3, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.79267994562785, 'pixel_ap': 30.95464843014876, 'image_auc': 91.78472459316254, 'image_ap': 94.32414621114731}
2026-07-12 15:14:40,743 phase2c_train.py 405: epoch=4 alpha=0.0 beta=0.0 mean_loss=1.0234918711919685 validation_macro={'epoch': 4, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.81550753116608, 'pixel_ap': 30.8695654074351, 'image_auc': 94.66666926940282, 'image_ap': 96.40992482503255}
2026-07-12 15:24:35,563 phase2c_train.py 405: epoch=5 alpha=0.0 beta=0.0 mean_loss=0.9614762224540578 validation_macro={'epoch': 5, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 93.93464177846909, 'pixel_ap': 31.965452680985134, 'image_auc': 95.52083810170491, 'image_ap': 96.8544214963913}
2026-07-12 15:34:41,651 phase2c_train.py 405: epoch=6 alpha=0.05 beta=0.05 mean_loss=0.9361179279208596 validation_macro={'epoch': 6, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.10771880547206, 'pixel_ap': 37.17331091562907, 'image_auc': 96.22222383817036, 'image_ap': 97.40921805302303}
2026-07-12 15:44:49,539 phase2c_train.py 405: epoch=7 alpha=0.1 beta=0.05 mean_loss=0.9079629147753996 validation_macro={'epoch': 7, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.35791426897049, 'pixel_ap': 38.490196193257965, 'image_auc': 96.48611297210057, 'image_ap': 97.46663520733516}
2026-07-12 15:54:57,142 phase2c_train.py 405: epoch=8 alpha=0.2 beta=0.05 mean_loss=0.8909772479822892 validation_macro={'epoch': 8, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.83831383784612, 'pixel_ap': 43.79285921653112, 'image_auc': 96.65972342093785, 'image_ap': 97.60083456834157}
2026-07-12 16:05:05,935 phase2c_train.py 405: epoch=9 alpha=0.2 beta=0.1 mean_loss=0.8835633994180025 validation_macro={'epoch': 9, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.3205759326617, 'pixel_ap': 44.54395845532417, 'image_auc': 96.71528140703838, 'image_ap': 97.49357104301453}
2026-07-12 16:15:14,174 phase2c_train.py 405: epoch=10 alpha=0.2 beta=0.1 mean_loss=0.8698113072908461 validation_macro={'epoch': 10, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.51727225383122, 'pixel_ap': 50.217979649702706, 'image_auc': 96.88194841146469, 'image_ap': 97.77873456478119}
2026-07-12 16:25:22,313 phase2c_train.py 405: epoch=11 alpha=0.2 beta=0.1 mean_loss=0.8312080332358404 validation_macro={'epoch': 11, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.25994902849197, 'pixel_ap': 51.623303443193436, 'image_auc': 97.45833575725555, 'image_ap': 98.12964846690495}
