epoch,batch,parameter_group,pre_projection_cls_grad_norm,pre_projection_seg_grad_norm,pre_projection_cosine,post_projection_cls_grad_norm,post_projection_seg_grad_norm,post_projection_cosine,final_combined_grad_norm,projection_applied,number_of_parameters,number_of_valid_gradient_tensors
1,0,shared_image_lora,0.010501254349946976,7.41850963095203e-05,0.42571210861206055,0.010501254349946976,7.41850963095203e-05,0.42571210861206055,0.010533049702644348,False,27,27
1,0,m_i_w,0.00863333884626627,4.112641545361839e-05,0.3430866599082947,0.00863333884626627,4.112641545361839e-05,0.3430866599082947,0.008647534996271133,False,3,3
1,0,hard_text_adapter,0.29701608419418335,0.03673708438873291,0.1632312536239624,0.29701608419418335,0.03673708438873291,0.1632312536239624,0.3051726818084717,False,15,15
1,0,soft_prompt,,,,,,,,False,0,0
1,1,shared_image_lora,0.026771361008286476,2.5925230147549883e-05,0.14252561330795288,0.026771361008286476,2.5925230147549883e-05,0.14252561330795288,0.026775067672133446,False,27,27
1,1,m_i_w,0.01583941839635372,2.2406602511182427e-05,0.10521673411130905,0.01583941839635372,2.2406602511182427e-05,0.10521673411130905,0.015841791406273842,False,3,3
1,1,hard_text_adapter,0.3156180679798126,0.02120330184698105,0.2124282568693161,0.3156180679798126,0.02120330184698105,0.2124282568693161,0.3207920789718628,False,15,15
1,1,soft_prompt,,,,,,,,False,0,0
1,2,shared_image_lora,0.010491781868040562,6.58261001262872e-07,0.19026869535446167,0.010491781868040562,6.58261001262872e-07,0.19026869535446167,0.010491907596588135,False,27,27
1,2,m_i_w,0.010168262757360935,4.058869649270491e-07,-0.07487283647060394,0.010160764679312706,4.0474708384863334e-07,0.010568251833319664,0.010160768404603004,True,3,3
1,2,hard_text_adapter,0.22824229300022125,5.990974386804737e-06,-0.14716599881649017,0.22575898468494415,5.925743153056828e-06,0.14317570626735687,0.2257598489522934,True,15,15
1,2,soft_prompt,,,,,,,,False,0,0
2,0,shared_image_lora,0.028792627155780792,3.081666000070982e-05,0.5506934523582458,0.028792627155780792,3.081666000070982e-05,0.5506934523582458,0.02880961075425148,False,27,27
2,0,m_i_w,0.025340460240840912,1.2681775842793286e-05,0.15519064664840698,0.025340460240840912,1.2681775842793286e-05,0.15519064664840698,0.025342430919408798,False,3,3
2,0,hard_text_adapter,0.3445848524570465,0.007719564251601696,0.29752346873283386,0.3445848524570465,0.007719564251601696,0.29752346873283386,0.3469598889350891,False,15,15
2,0,soft_prompt,,,,,,,,False,0,0
2,1,shared_image_lora,0.022802196443080902,1.3030233276367653e-05,0.3481424152851105,0.022802196443080902,1.3030233276367653e-05,0.3481424152851105,0.022806737571954727,False,27,27
2,1,m_i_w,0.029702311381697655,1.285441430809442e-05,0.15124718844890594,0.029702311381697655,1.285441430809442e-05,0.15124718844890594,0.02970425970852375,False,3,3
2,1,hard_text_adapter,0.1933840662240982,0.007852510549128056,-0.27695515751838684,0.18581943213939667,0.007545343600213528,0.2769552171230316,0.18804895877838135,True,15,15
2,1,soft_prompt,,,,,,,,False,0,0
2,2,shared_image_lora,0.032993145287036896,7.429972015415842e-07,0.3136081397533417,0.032993145287036896,7.429972015415842e-07,0.3136081397533417,0.032993383705616,False,27,27
