2026-07-12 19:01:44,121 phase2c_train.py 319: config={'condition': 'P', 'save_path': 'runs/phase2c_bf16/P_pcgrad_seed42', 'dataset': 'VisA', 'epochs': 15, 'seed': 42, 'n_groups': 3, 'dfg_mode': 'attn', 'dfg_attn_dim': 256, 'dfg_attn_tau': 8.0, 'use_ss2d_dfg': True, 'dfg_gamma_max': 0.2, 'dfg_ss2d_fusion': 'weight_residual', 'dfg_beta': 0.1, 'dfg_beta_schedule': 'warmup010', 'dfg_beta_target': 0.1, 'activation_delay_epochs': 0, 'text_adapt_weight': 0.2, 'use_hybrid_soft_prompt': True, 'hybrid_alpha_max': 0.2, 'alpha_schedule': [0.0, 0.0, 0.0, 0.05, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'soft_prompt_ctx_len': 4, 'soft_prompt_lr': 5e-05, 'soft_prompt_freeze_epochs': 3, 'lambda_kg': 0.01, 'lambda_k': 0.002, 'image_lr': 0.001, 'text_lr': 0.0005, 'lr_gamma': 0.9, 'grad_clip_norm': 1.0, 'non_finite_loss_abort_threshold': 20, 'batch_size': 6, 'num_workers': 6, 'img_size': 518, 'amp': True, 'grad_checkpointing': True, 'score_rule': 'cls_only', 'parent_condition': 'A_prime', 'pcgrad_enabled': True, 'pcgrad_groups': ['shared_image_lora', 'm_i_w', 'hard_text_adapter', 'soft_prompt'], 'pcgrad_variant': 'deterministic_symmetric_two_task', 'pcgrad_epsilon': 1e-12, 'precision': 'bf16', 'bf16': True, 'diagnostic_batch_size': 1, 'training_commit_sha': '94b4e707f8fe8f4adf80fc212155a6cfa660e97a'}
2026-07-12 19:01:44,219 clip.py 106: Loading pretrained ViT-L-14-336 from OpenAI.
2026-07-12 19:01:47,292 model.py 418: Resizing position embedding grid-size from (24, 24) to (37, 37)
2026-07-12 19:26:55,700 phase2c_train.py 420: epoch=1 alpha=0.0 beta=0.0 mean_loss=1.416080203848314 validation_macro={'epoch': 1, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.4988643527031, 'pixel_ap': 24.70116534580787, 'image_auc': 84.27777985731761, 'image_ap': 87.55397746960323}
2026-07-12 19:52:04,244 phase2c_train.py 420: epoch=2 alpha=0.0 beta=0.0 mean_loss=1.3016915861710545 validation_macro={'epoch': 2, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.4345623254776, 'pixel_ap': 23.734836652874947, 'image_auc': 84.99305446942647, 'image_ap': 89.53159004449844}
2026-07-12 20:17:15,491 phase2c_train.py 420: epoch=3 alpha=0.0 beta=0.0 mean_loss=1.2969590668859778 validation_macro={'epoch': 3, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.6285530924797, 'pixel_ap': 23.180871782824397, 'image_auc': 86.7708350221316, 'image_ap': 90.16966223716736}
2026-07-12 20:42:46,233 phase2c_train.py 420: epoch=4 alpha=0.05 beta=0.05 mean_loss=1.2313357447257915 validation_macro={'epoch': 4, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 94.45870767037074, 'pixel_ap': 24.25845644126336, 'image_auc': 92.81250089406967, 'image_ap': 94.84853396813075}
2026-07-12 21:07:58,676 phase2c_train.py 420: epoch=5 alpha=0.1 beta=0.05 mean_loss=1.140454816158255 validation_macro={'epoch': 5, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.5228050549825, 'pixel_ap': 30.665230937302113, 'image_auc': 92.63194451729457, 'image_ap': 94.34486975272496}
2026-07-12 21:33:12,087 phase2c_train.py 420: epoch=6 alpha=0.2 beta=0.05 mean_loss=1.0079896161300501 validation_macro={'epoch': 6, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.69953978061676, 'pixel_ap': 34.861937537789345, 'image_auc': 94.68750109275182, 'image_ap': 96.06663286685944}
2026-07-12 21:58:24,277 phase2c_train.py 420: epoch=7 alpha=0.2 beta=0.1 mean_loss=0.9484595012912288 validation_macro={'epoch': 7, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.18633836507797, 'pixel_ap': 38.961151614785194, 'image_auc': 95.84722270568211, 'image_ap': 97.01454043388367}
2026-07-12 22:23:35,226 phase2c_train.py 420: epoch=8 alpha=0.2 beta=0.1 mean_loss=0.9187862525555501 validation_macro={'epoch': 8, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 95.25153934955597, 'pixel_ap': 40.58257223417362, 'image_auc': 96.50000284115474, 'image_ap': 97.59469379981358}
2026-07-12 22:48:46,354 phase2c_train.py 420: epoch=9 alpha=0.2 beta=0.1 mean_loss=0.8994908654566042 validation_macro={'epoch': 9, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 97.04005817572276, 'pixel_ap': 46.56985700130463, 'image_auc': 95.24305661519368, 'image_ap': 95.76137512922287}
2026-07-12 23:13:57,884 phase2c_train.py 420: epoch=10 alpha=0.2 beta=0.1 mean_loss=0.8854935818889974 validation_macro={'epoch': 10, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.98495815197627, 'pixel_ap': 47.337724516789116, 'image_auc': 95.84028124809265, 'image_ap': 96.12657477458318}
2026-07-12 23:39:11,670 phase2c_train.py 420: epoch=11 alpha=0.2 beta=0.1 mean_loss=0.8592699847625613 validation_macro={'epoch': 11, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.58904274304707, 'pixel_ap': 49.58602307985226, 'image_auc': 96.88194791475932, 'image_ap': 97.81260838111241}
2026-07-13 00:04:27,263 phase2c_train.py 420: epoch=12 alpha=0.2 beta=0.1 mean_loss=0.8351982790706067 validation_macro={'epoch': 12, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 96.99320495128632, 'pixel_ap': 50.62402685483297, 'image_auc': 96.11805578072865, 'image_ap': 96.62954360246658}
2026-07-13 00:29:36,042 phase2c_train.py 420: epoch=13 alpha=0.2 beta=0.1 mean_loss=0.8352819281053379 validation_macro={'epoch': 13, 'scope': 'macro', 'class_name': '__macro__', 'n': 432, 'pixel_auc': 97.16956317424774, 'pixel_ap': 51.76595586041609, 'image_auc': 96.38194640477498, 'image_ap': 96.79793516794841}
