class_name,n,c_minus_a_pixel_auc,c_minus_a_pixel_ap,c_minus_a_image_auc,c_minus_a_image_ap
candle,40,3.19100022315979,0.3374427556991577,-0.7500052452087402,-0.5355775356292725
capsules,32,0.044858455657958984,2.0340144634246826,0.0,0.0
cashew,30,0.3706395626068115,0.5202591419219971,0.49999356269836426,0.33187270164489746
chewinggum,30,0.7775664329528809,0.035309791564941406,0.0,0.0
fryum,30,-1.1319875717163086,-19.65937614440918,-0.9999990463256836,-0.29546022415161133
macaroni1,40,0.7538259029388428,-2.671363949775696,-1.7499923706054688,-1.4375865459442139
macaroni2,40,5.565881729125977,2.6924580335617065,-5.999994277954102,-7.95014500617981
pcb1,40,3.8017570972442627,2.9309362173080444,0.2499997615814209,0.19762516021728516
pcb2,40,1.335763931274414,-3.7532344460487366,-0.25000572204589844,-0.1065969467163086
pcb3,40,0.05678534507751465,3.0822664499282837,1.0000050067901611,0.9557962417602539
pcb4,40,0.888824462890625,3.739088773727417,-0.4999995231628418,-0.4545450210571289
pipe_fryum,30,0.053495168685913086,1.1262238025665283,0.0,0.0
