checkpoint_name,checkpoint_path,lambda_b,epoch,scope,class_name,n,pixel_auc,pixel_ap,image_auc,image_ap
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,candle,40,93.37215423583984,40.50204157829285,98.50000143051147,98.66601228713989
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,capsules,32,99.95676279067993,91.23480319976807,99.58333969116211,99.76190328598022
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,cashew,30,98.77944588661194,95.07837891578674,93.00000071525574,96.6461718082428
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,chewinggum,30,99.33971166610718,80.66286444664001,100.00001192092896,100.0
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,fryum,30,99.39582347869873,80.41976690292358,99.00001287460327,99.54545497894287
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,macaroni1,40,96.86158299446106,41.81524217128754,97.25000858306885,97.37982749938965
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,macaroni2,40,92.68905520439148,7.254163175821304,95.00000476837158,95.64219117164612
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,pcb1,40,94.11408305168152,28.236228227615356,99.50000047683716,99.54545497894287
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,pcb2,40,90.75555801391602,26.992234587669373,94.50000524520874,95.14099359512329
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,pcb3,40,84.13717746734619,36.90779209136963,99.25000667572021,99.24874305725098
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,pcb4,40,97.53854870796204,42.00822114944458,100.0,100.0
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,category,pipe_fryum,30,99.89228844642639,94.47023868560791,100.00001192092896,100.0
AB25,runs/phase2d_ab_interpolation_seed42/checkpoints/AB25_lambdaB0p25.pth,0.25,13,macro,__macro__,432,95.56934932867686,55.465164594352245,97.96528369188309,98.46472938855489
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,candle,40,93.78361701965332,41.4374440908432,98.00000190734863,98.29710125923157
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,capsules,32,99.9616801738739,91.8769896030426,99.58333969116211,99.76190328598022
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,cashew,30,98.99374842643738,95.2379047870636,93.00000071525574,96.6461718082428
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,chewinggum,30,99.52903389930725,80.57440519332886,100.00001192092896,100.0
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,fryum,30,99.34801459312439,79.12124991416931,99.00001287460327,99.54545497894287
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,macaroni1,40,97.93030619621277,40.566352009773254,96.750009059906,96.90760374069214
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,macaroni2,40,95.09352445602417,8.165620267391205,95.00000476837158,95.6489086151123
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,pcb1,40,94.67334747314453,28.591397404670715,99.50000047683716,99.54545497894287
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,pcb2,40,90.85371494293213,25.479906797409058,94.50000524520874,95.14099359512329
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,pcb3,40,84.51899886131287,37.42407560348511,99.00000095367432,99.03229475021362
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,pcb4,40,97.67582416534424,41.71757996082306,100.0,100.0
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,category,pipe_fryum,30,99.90853071212769,94.80636715888977,100.00001192092896,100.0
AB50,runs/phase2d_ab_interpolation_seed42/checkpoints/AB50_lambdaB0p50.pth,0.5,13,macro,__macro__,432,96.02252840995789,55.41660773257414,97.86111662785213,98.37715725104015
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,candle,40,94.30495500564575,42.428967356681824,98.00000190734863,98.29710125923157
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,capsules,32,99.96223449707031,92.28436946868896,100.0,100.0
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,cashew,30,99.1381824016571,95.2539324760437,93.99999380111694,97.20172882080078
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,chewinggum,30,99.58573579788208,80.39556741714478,100.00001192092896,100.0
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,fryum,30,99.30495023727417,77.51998901367188,99.00001287460327,99.54545497894287
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,macaroni1,40,98.34182858467102,40.29472470283508,96.24999761581421,96.55977487564087
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,macaroni2,40,95.69706320762634,8.851582556962967,95.00000476837158,95.6489086151123
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,pcb1,40,94.79397535324097,28.598546981811523,99.50000047683716,99.54545497894287
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,pcb2,40,90.84018468856812,23.61243963241577,95.00000476837158,96.21028900146484
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,pcb3,40,84.46193933486938,37.43814527988434,99.25000667572021,99.24874305725098
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,pcb4,40,97.5706934928894,41.58643186092377,99.75000619888306,99.76190328598022
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,category,pipe_fryum,30,99.91816282272339,95.28549909591675,100.00001192092896,100.0
AB75,runs/phase2d_ab_interpolation_seed42/checkpoints/AB75_lambdaB0p75.pth,0.75,13,macro,__macro__,432,96.1599921186765,55.295849653581776,97.97917107741038,98.50161323944728
