dataset,epoch,metric_thresholds,pixel_stride,max_samples,max_samples_per_label,pixel_auc,pixel_ap,image_auc,image_ap
Brain,7,None,4,None,None,94.51,31.96,75.03,92.31
Brain,8,None,4,None,None,94.87,30.14,72.05,91.23
Brain,9,None,4,None,None,94.30,29.05,74.25,92.50
Brain,10,None,4,None,None,94.05,28.03,75.87,92.84
Brain,11,None,4,None,None,93.24,26.82,75.09,92.86
Brain,12,None,4,None,None,93.43,27.42,72.58,91.66
Brain,13,None,4,None,None,93.62,26.22,75.52,92.94
Brain,14,None,4,None,None,94.03,27.84,76.11,92.77
Brain,15,None,4,None,None,94.14,26.35,78.07,93.56
Brain,16,None,4,None,None,93.76,26.38,75.45,92.36
Brain,17,None,4,None,None,93.81,26.07,78.52,93.78
Brain,18,None,4,None,None,93.27,23.78,76.05,92.58
Brain,19,None,4,None,None,93.55,23.79,74.81,92.13
Brain,20,None,4,None,None,93.38,23.58,74.49,91.92
Liver,7,None,4,None,None,96.00,4.89,61.28,48.41
Liver,8,None,4,None,None,95.05,4.85,58.20,47.51
Liver,9,None,4,None,None,95.33,4.83,60.40,48.28
Liver,10,None,4,None,None,95.31,4.39,59.87,46.95
Liver,11,None,4,None,None,89.81,3.76,58.88,47.64
Liver,12,None,4,None,None,93.86,4.66,58.68,47.18
Liver,13,None,4,None,None,95.70,5.36,60.60,48.57
Liver,14,None,4,None,None,95.83,4.70,60.72,47.91
Liver,15,None,4,None,None,95.62,4.95,61.27,49.09
Liver,16,None,4,None,None,96.07,5.39,61.83,48.43
Liver,17,None,4,None,None,95.88,4.74,59.74,46.95
Liver,18,None,4,None,None,95.77,4.80,60.01,47.09
Liver,19,None,4,None,None,96.26,5.80,58.91,47.71
Liver,20,None,4,None,None,96.41,5.87,58.75,47.08
Retina,7,None,4,None,None,91.87,34.65,75.20,72.43
Retina,8,None,4,None,None,92.38,38.01,75.73,70.63
Retina,9,None,4,None,None,93.29,41.42,76.20,71.70
Retina,10,None,4,None,None,93.27,41.14,79.67,77.04
Retina,11,None,4,None,None,92.81,38.64,79.63,76.27
Retina,12,None,4,None,None,93.19,42.19,80.35,77.35
Retina,13,None,4,None,None,93.34,39.99,78.29,74.60
Retina,14,None,4,None,None,94.01,43.07,78.72,75.84
Retina,15,None,4,None,None,93.61,41.35,77.58,75.12
Retina,16,None,4,None,None,93.62,40.05,77.80,75.22
Retina,17,None,4,None,None,93.73,40.52,77.77,75.86
Retina,18,None,4,None,None,93.25,38.68,78.15,75.73
Retina,19,None,4,None,None,94.09,44.43,78.20,75.93
Retina,20,None,4,None,None,93.81,42.58,77.42,75.01
Colon_clinicDB,7,None,4,None,None,84.48,42.05,0.00,0.00
Colon_clinicDB,8,None,4,None,None,85.23,42.38,0.00,0.00
Colon_clinicDB,9,None,4,None,None,84.25,43.06,0.00,0.00
Colon_clinicDB,10,None,4,None,None,83.63,43.25,0.00,0.00
Colon_clinicDB,11,None,4,None,None,83.28,39.13,0.00,0.00
Colon_clinicDB,12,None,4,None,None,83.41,39.80,0.00,0.00
Colon_clinicDB,13,None,4,None,None,84.54,42.69,0.00,0.00
Colon_clinicDB,14,None,4,None,None,84.00,42.05,0.00,0.00
Colon_clinicDB,15,None,4,None,None,84.05,41.07,0.00,0.00
Colon_clinicDB,16,None,4,None,None,83.92,41.21,0.00,0.00
Colon_clinicDB,17,None,4,None,None,83.40,39.94,0.00,0.00
Colon_clinicDB,18,None,4,None,None,83.44,39.79,0.00,0.00
Colon_clinicDB,19,None,4,None,None,83.50,38.41,0.00,0.00
Colon_clinicDB,20,None,4,None,None,83.23,38.28,0.00,0.00
Colon_colonDB,7,None,4,None,None,79.43,23.96,0.00,0.00
Colon_colonDB,8,None,4,None,None,80.15,23.54,0.00,0.00
Colon_colonDB,9,None,4,None,None,80.06,24.57,0.00,0.00
Colon_colonDB,10,None,4,None,None,80.36,25.17,0.00,0.00
Colon_colonDB,11,None,4,None,None,79.69,24.47,0.00,0.00
Colon_colonDB,12,None,4,None,None,80.80,24.20,0.00,0.00
Colon_colonDB,13,None,4,None,None,81.54,25.76,0.00,0.00
Colon_colonDB,14,None,4,None,None,81.50,25.29,0.00,0.00
Colon_colonDB,15,None,4,None,None,81.64,25.10,0.00,0.00
Colon_colonDB,16,None,4,None,None,82.23,25.96,0.00,0.00
Colon_colonDB,17,None,4,None,None,81.17,23.91,0.00,0.00
Colon_colonDB,18,None,4,None,None,80.94,23.93,0.00,0.00
Colon_colonDB,19,None,4,None,None,81.49,24.14,0.00,0.00
Colon_colonDB,20,None,4,None,None,81.39,24.31,0.00,0.00
Colon_Kvasir,7,None,4,None,None,81.91,46.51,0.00,0.00
Colon_Kvasir,8,None,4,None,None,83.53,49.05,0.00,0.00
Colon_Kvasir,9,None,4,None,None,83.86,50.40,0.00,0.00
Colon_Kvasir,10,None,4,None,None,82.64,48.50,0.00,0.00
Colon_Kvasir,11,None,4,None,None,83.39,49.36,0.00,0.00
Colon_Kvasir,12,None,4,None,None,84.25,51.27,0.00,0.00
Colon_Kvasir,13,None,4,None,None,84.78,52.32,0.00,0.00
Colon_Kvasir,14,None,4,None,None,84.30,51.81,0.00,0.00
Colon_Kvasir,15,None,4,None,None,84.05,50.78,0.00,0.00
Colon_Kvasir,16,None,4,None,None,84.10,49.99,0.00,0.00
Colon_Kvasir,17,None,4,None,None,83.62,49.83,0.00,0.00
Colon_Kvasir,18,None,4,None,None,84.06,50.42,0.00,0.00
Colon_Kvasir,19,None,4,None,None,84.69,51.61,0.00,0.00
Colon_Kvasir,20,None,4,None,None,84.28,50.51,0.00,0.00

means:
epoch,metric_thresholds,pixel_stride,max_samples,max_samples_per_label,n,mean_pixel_auc,mean_pixel_ap
10,None,4,None,None,6,88.21,31.75
11,None,4,None,None,6,87.04,30.36
12,None,4,None,None,6,88.16,31.59
13,None,4,None,None,6,88.92,32.06
14,None,4,None,None,6,88.94,32.46
15,None,4,None,None,6,88.85,31.60
16,None,4,None,None,6,88.95,31.50
17,None,4,None,None,6,88.60,30.83
18,None,4,None,None,6,88.45,30.23
19,None,4,None,None,6,88.93,31.36
20,None,4,None,None,6,88.75,30.86
7,None,4,None,None,6,88.03,30.67
8,None,4,None,None,6,88.54,31.33
9,None,4,None,None,6,88.52,32.22
