dataset,epoch,metric_thresholds,pixel_stride,max_samples,max_samples_per_label,pixel_auc,pixel_ap,image_auc,image_ap
Brain,7,None,4,None,None,94.67,32.08,81.72,94.80
Brain,8,None,4,None,None,94.33,31.36,77.98,93.80
Brain,9,None,4,None,None,93.62,24.69,77.84,93.93
Brain,10,None,4,None,None,93.46,24.09,82.93,95.14
Brain,11,None,4,None,None,93.52,24.23,78.31,93.76
Brain,12,None,4,None,None,92.26,20.00,82.14,94.92
Brain,13,None,4,None,None,92.69,23.05,78.33,93.67
Brain,14,None,4,None,None,93.36,23.98,76.01,92.93
Brain,15,None,4,None,None,92.62,21.27,78.13,93.37
Retina,7,None,4,None,None,93.34,43.12,80.12,76.50
Retina,8,None,4,None,None,92.50,43.93,80.10,77.36
Retina,9,None,4,None,None,93.33,49.64,81.98,80.40
Retina,10,None,4,None,None,93.24,49.28,82.05,79.63
Retina,11,None,4,None,None,92.96,47.65,80.47,78.95
Retina,12,None,4,None,None,93.14,45.76,80.41,77.89
Retina,13,None,4,None,None,92.57,43.68,81.08,79.01
Retina,14,None,4,None,None,93.43,47.97,80.53,78.22
Retina,15,None,4,None,None,93.41,47.44,80.72,78.97
Colon_clinicDB,7,None,4,None,None,88.77,50.01,0.00,0.00
Colon_clinicDB,8,None,4,None,None,87.43,45.66,0.00,0.00
Colon_clinicDB,9,None,4,None,None,88.76,48.10,0.00,0.00
Colon_clinicDB,10,None,4,None,None,89.55,49.35,0.00,0.00
Colon_clinicDB,11,None,4,None,None,88.08,45.97,0.00,0.00
Colon_clinicDB,12,None,4,None,None,88.50,45.80,0.00,0.00
Colon_clinicDB,13,None,4,None,None,88.51,45.50,0.00,0.00
Colon_clinicDB,14,None,4,None,None,88.08,46.41,0.00,0.00
Colon_clinicDB,15,None,4,None,None,88.13,45.64,0.00,0.00
Colon_colonDB,7,None,4,None,None,85.08,34.09,0.00,0.00
Colon_colonDB,8,None,4,None,None,84.24,31.19,0.00,0.00
Colon_colonDB,9,None,4,None,None,85.69,32.52,0.00,0.00
Colon_colonDB,10,None,4,None,None,85.42,32.24,0.00,0.00
Colon_colonDB,11,None,4,None,None,84.63,30.74,0.00,0.00
Colon_colonDB,12,None,4,None,None,83.53,28.75,0.00,0.00
Colon_colonDB,13,None,4,None,None,84.17,29.93,0.00,0.00
Colon_colonDB,14,None,4,None,None,84.81,31.64,0.00,0.00
Colon_colonDB,15,None,4,None,None,84.91,31.79,0.00,0.00
Colon_Kvasir,7,None,4,None,None,84.53,51.95,0.00,0.00
Colon_Kvasir,8,None,4,None,None,83.91,49.30,0.00,0.00
Colon_Kvasir,9,None,4,None,None,85.02,51.13,0.00,0.00
Colon_Kvasir,10,None,4,None,None,86.41,54.08,0.00,0.00
Colon_Kvasir,11,None,4,None,None,85.94,52.58,0.00,0.00
Colon_Kvasir,12,None,4,None,None,85.69,53.30,0.00,0.00
Colon_Kvasir,13,None,4,None,None,85.96,53.07,0.00,0.00
Colon_Kvasir,14,None,4,None,None,86.04,53.53,0.00,0.00
Colon_Kvasir,15,None,4,None,None,85.98,53.81,0.00,0.00
