dataset,epoch,metric_thresholds,pixel_stride,max_samples,max_samples_per_label,pixel_auc,pixel_ap,image_auc,image_ap
Brain,7,None,4,None,None,94.95,45.63,81.53,94.74
Brain,8,None,4,None,None,94.71,37.73,80.28,94.07
Brain,9,None,4,None,None,94.36,35.05,80.27,94.17
Brain,10,None,4,None,None,94.83,34.79,81.65,94.40
Brain,11,None,4,None,None,94.58,34.58,81.83,94.61
Brain,12,None,4,None,None,94.57,32.03,79.33,93.81
Brain,13,None,4,None,None,94.66,32.68,80.31,93.91
Brain,14,None,4,None,None,94.30,28.94,79.54,93.61
Brain,15,None,4,None,None,94.51,32.07,81.58,94.37
Liver,7,None,4,None,None,96.07,5.24,64.48,52.11
Liver,8,None,4,None,None,96.64,6.68,61.11,49.35
Liver,9,None,4,None,None,96.37,6.28,60.91,51.33
Liver,10,None,4,None,None,97.33,8.17,61.58,49.03
Liver,11,None,4,None,None,96.88,7.14,60.36,47.73
Liver,12,None,4,None,None,96.99,7.44,59.12,46.69
Liver,13,None,4,None,None,96.89,7.01,60.30,47.03
Liver,14,None,4,None,None,97.19,7.88,61.01,47.84
Liver,15,None,4,None,None,97.26,7.99,60.99,49.16
Retina,7,None,4,None,None,91.88,39.51,73.78,69.83
Retina,8,None,4,None,None,92.47,38.22,73.65,67.78
Retina,9,None,4,None,None,91.05,32.97,72.32,67.29
Retina,10,None,4,None,None,92.95,40.62,75.60,70.17
Retina,11,None,4,None,None,92.37,36.09,75.54,69.09
Retina,12,None,4,None,None,91.35,33.09,71.49,65.02
Retina,13,None,4,None,None,91.67,33.57,77.14,70.28
Retina,14,None,4,None,None,92.86,36.67,75.51,68.83
Retina,15,None,4,None,None,92.03,34.91,76.12,70.04
Colon_clinicDB,7,None,4,None,None,87.95,50.06,0.00,0.00
Colon_clinicDB,8,None,4,None,None,87.09,49.71,0.00,0.00
Colon_clinicDB,9,None,4,None,None,87.21,46.46,0.00,0.00
Colon_clinicDB,10,None,4,None,None,85.96,48.41,0.00,0.00
Colon_clinicDB,11,None,4,None,None,85.68,47.00,0.00,0.00
Colon_clinicDB,12,None,4,None,None,85.30,46.23,0.00,0.00
Colon_clinicDB,13,None,4,None,None,85.10,45.89,0.00,0.00
Colon_clinicDB,14,None,4,None,None,84.33,43.16,0.00,0.00
Colon_clinicDB,15,None,4,None,None,83.78,42.23,0.00,0.00
Colon_colonDB,7,None,4,None,None,84.02,32.44,0.00,0.00
Colon_colonDB,8,None,4,None,None,83.79,31.76,0.00,0.00
Colon_colonDB,9,None,4,None,None,82.27,29.47,0.00,0.00
Colon_colonDB,10,None,4,None,None,83.13,30.02,0.00,0.00
Colon_colonDB,11,None,4,None,None,82.32,29.95,0.00,0.00
Colon_colonDB,12,None,4,None,None,82.31,29.57,0.00,0.00
Colon_colonDB,13,None,4,None,None,83.48,31.70,0.00,0.00
Colon_colonDB,14,None,4,None,None,82.45,30.04,0.00,0.00
Colon_colonDB,15,None,4,None,None,82.31,30.55,0.00,0.00
Colon_Kvasir,7,None,4,None,None,86.77,54.69,0.00,0.00
Colon_Kvasir,8,None,4,None,None,86.89,55.89,0.00,0.00
Colon_Kvasir,9,None,4,None,None,84.00,51.80,0.00,0.00
Colon_Kvasir,10,None,4,None,None,85.97,54.08,0.00,0.00
Colon_Kvasir,11,None,4,None,None,85.18,53.05,0.00,0.00
Colon_Kvasir,12,None,4,None,None,85.04,51.66,0.00,0.00
Colon_Kvasir,13,None,4,None,None,84.37,50.91,0.00,0.00
Colon_Kvasir,14,None,4,None,None,83.76,50.45,0.00,0.00
Colon_Kvasir,15,None,4,None,None,83.63,50.35,0.00,0.00

means:
epoch,metric_thresholds,pixel_stride,max_samples,max_samples_per_label,n,mean_pixel_auc,mean_pixel_ap
10,None,4,None,None,6,90.03,36.02
11,None,4,None,None,6,89.50,34.63
12,None,4,None,None,6,89.26,33.34
13,None,4,None,None,6,89.36,33.63
14,None,4,None,None,6,89.15,32.86
15,None,4,None,None,6,88.92,33.02
7,None,4,None,None,6,90.27,37.93
8,None,4,None,None,6,90.27,36.66
9,None,4,None,None,6,89.21,33.67
