epoch,total,task,cls,seg,center,router_teacher,router_teacher_weighted,router_teacher_scheduled_weight,router_teacher_effective_weight,vae_rec,vae_kl_raw,vae_kl_effective,kg,orth,balance,concept_key_diversity_raw,concept_key_diversity_weighted,dynamic_mean_anchor_raw,dynamic_mean_anchor_weighted,route_raw,route_weight,route_weighted,factor_role_raw,factor_role_weight,factor_role_weighted,actual_local_raw,actual_local_weight,actual_local_weighted,dynamic_mean_anchor_weight,expert,advantage,etf,expert_anchor,expert_radius,expert_weight,advantage_weight,etf_weight,balance_weight,expert_delta_norm,loss_component_sum,loss_component_residual,expert_assigned_normal,expert_assigned_abnormal,selected_expert_loss,nonselected_expert_loss,expert_advantage_margin_satisfied_fraction,expert_assigned_raw,expert_assigned_weight,expert_assigned_weighted,expert_advantage_raw,expert_advantage_weight,expert_advantage_weighted,expert_etf_raw,expert_etf_weight,expert_etf_weighted,expert_balance_dense_raw,expert_balance_prediction_raw,expert_balance_weight,expert_balance_weighted,expert_anchor_raw,expert_anchor_weight,expert_anchor_weighted,expert_radius_raw,expert_radius_weight,expert_radius_weighted,legacy_pre_expert_orth_raw,legacy_pre_expert_orth_weight,legacy_pre_expert_orth_weighted,delta_t_diversity_raw,delta_t_diversity_weight,delta_t_diversity_weighted,functional_factor_diversity_raw,functional_factor_diversity_weight,functional_factor_diversity_weighted,cluster_resp_raw,cluster_resp_weight,cluster_resp_weighted,cluster_target_entropy,cluster_router_entropy,task_rolling_median,weight_center,weight_center_factor_aware,weight_center_detach_assignment,weight_center_margin,weight_router_teacher,weight_router_teacher_temperature,weight_router_teacher_start_epoch,weight_router_teacher_warmup_epochs,weight_teacher_confidence_gate,weight_teacher_entropy_threshold,weight_teacher_prob_std_threshold,weight_router_teacher_mode,weight_vae_rec,weight_vae_kl_zero_epochs,weight_vae_kl_warmup_epochs,weight_vae_kl_free_bits,weight_vae_class_ratio,weight_orth,weight_delta_t_diversity,weight_functional_factor_diversity,weight_balance,weight_concept_key_diversity,weight_concept_key_cosine_margin,weight_concept_key_diversity_start_epoch,weight_concept_key_diversity_warmup_epochs,weight_kg,weight_k,weight_dynamic_mean_anchor,weight_dynamic_mean_anchor_min_cosine,weight_dynamic_mean_anchor_start_epoch,weight_dynamic_mean_anchor_warmup_epochs,weight_cluster_responsibility,weight_cluster_temperature,weight_cluster_loss_weight
1,2.056824168957129,1.3117499494310003,0.6844759571756289,0.6272739931169095,1.0042147620147737,0.0,0.0,0.0,0.0,0.009775413301220693,0.13269337602338782,0.13269337602338782,0.06722079568079894,0.2904403306900073,0.015802416508045137,0.0,0.0,0.0,0.0,1.1741427297839184,0.023563731461763382,0.0276671839717717,1.443778370586132,0.28360477089881897,0.4094624336128264,1.4437781796408289,0.21270453929901123,0.3070981725482646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056824168957129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015802416508045137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2904403306900073,0.0010000000474974513,0.00029044034119207133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3117499494310003,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
2,1.880899148432333,1.1482412967551758,0.6584596853913476,0.4897816114396436,0.9896487636934487,0.0,0.0,0.0,0.0,0.0011237696414963306,0.10756349227254199,0.10756349227254199,0.06890321758151,0.01466181075607946,0.03741864103541316,0.0006503123847580908,0.0,0.0,0.0,1.0684440058762006,0.023563731461763382,0.025176527631657748,1.4251977126049673,0.28360477089881897,0.40419287056600434,1.4251976801302197,0.21270453929901123,0.30314601628501187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.880899148432333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03741864103541316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01466181075607946,0.0010000000474974513,1.4661811447136839e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3117499494310003,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
3,1.7197817879264603,1.0202680249163445,0.5396693891998136,0.48059863525474655,0.9808065204241009,0.0,0.0,0.0,0.0,0.0008604782053022185,0.05577935474157113,0.05577935474157113,0.061752979442904546,0.008404760018949959,0.0480111417852542,0.008789919036768797,0.0,0.0,0.0,1.023869872010493,0.023563731461763382,0.02412619473279956,1.3605862898030232,0.28360477089881897,0.3858687635454083,1.36058609247317,0.21270453929901123,0.289402838071016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7197817879264603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0480111417852542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008404760018949959,0.0010000000474974513,8.40476042637624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229995623093088,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
4,1.6113711444180283,0.9456859380420328,0.4985170533034561,0.4471688847764844,0.9844107275534073,0.0,0.0,0.0,0.0,0.0007417744483441635,0.018094339048719096,0.018094339048719096,0.1628924470625742,0.018534187503448953,0.051277948254814146,0.016008968790691556,0.0,0.0,0.0,0.9974850708141468,0.023563731461763382,0.02350447033975656,1.2931592389114073,0.28360477089881897,0.3667461299054014,1.293882752556104,0.21270453929901123,0.2752147351271143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6113711444180283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051277948254814146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018534187503448953,0.0010000000474974513,1.853418838144956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1482412967551758,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
5,1.5750738902846273,0.9056168579867766,0.4810176008104396,0.4245992577863059,0.9815044635208969,0.0,0.0,0.0,0.0,0.0006807451861448307,0.0034982825213290274,0.0034982825213290274,0.32198748863702786,0.07509240417618039,0.053936646956602365,0.02153384573085649,0.0,6.137235505939156e-05,0.0,0.9824129244059352,0.023563731461763382,0.02314931433130948,1.300209270388904,0.28360477089881897,0.3687455525284722,1.3028903926859905,0.21270453929901123,0.2771307008092751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750738902846273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053936646956602365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07509240417618039,0.0010000000474974513,7.509240773182174e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842546608357602,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
6,1.5215600223093535,0.8676622918118602,0.4689731267276569,0.39868916440875746,0.981799501384661,0.0,0.0,0.0,0.0,0.000633699247761303,0.0004891619761711354,0.0004891619761711354,0.5104931689157848,0.13173530489606067,0.052550486776595254,0.031426305442386816,0.0,0.015542200580425065,0.0,0.965096741004965,0.023563731461763382,0.022741280412551267,1.267136614142336,0.28360477089881897,0.3593659893088811,1.2746155051340906,0.21270453929901123,0.27111650374279167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5215600223093535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052550486776595254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13173530489606067,0.0010000000474974513,0.00013173531109584964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202680249163445,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
7,1.5283707022239608,0.8632573060188219,0.46632968991388335,0.39692761580856945,0.9810537649017037,0.0,0.0,0.0,0.0,0.0005992523968901664,6.8097148748816e-05,6.8097148748816e-05,0.5800339103461856,0.11955157626044628,0.05236920636323014,0.034857862864196246,0.0,0.034333423047113704,0.0,0.9618400465714281,0.023563731461763382,0.02266454056877157,1.288718115202251,0.28360477089881897,0.3654866055430636,1.298668579525912,0.21270453929901123,0.27623270201188455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5283707022239608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05236920636323014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11955157626044628,0.0010000000474974513,0.00011955158195895475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9456859380420328,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
8,1.4897755519741118,0.8264642789008769,0.45443056249486197,0.37203371546866165,0.9819496229056623,0.0,0.0,0.0,0.0,0.0005730358285723456,9.407360833844688e-06,9.407360833844688e-06,0.6397401243586104,0.12437762207007871,0.052911851661939735,0.039742773857095195,0.0,0.055063148863978895,0.0,0.9518078859485376,0.023563731461763382,0.022428145427101746,1.2848977094671665,0.28360477089881897,0.3644031202276554,1.2961041548500005,0.21270453929901123,0.2756872370945842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4897755519741118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052911851661939735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12437762207007871,0.0010000000474974513,0.00012437762800074476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9056168579867766,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
9,1.489286706147924,0.8136096740835911,0.4428410845757854,0.3707685896559902,0.9811638693474267,0.0,0.0,0.0,0.0,0.0005482651188708567,2.277437787051558e-06,2.277437787051558e-06,0.691509553065022,0.1309718905838687,0.05338166160276375,0.03969330175725483,0.0,0.07787499687600809,0.0,0.9488956692260686,0.023563731461763382,0.022359522749651757,1.3094053193633888,0.28360477089881897,0.37135359601917933,1.3216173834717513,0.21270453929901123,0.28111401670048086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489286706147924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05338166160276375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309718905838687,0.0010000000474974513,0.00013097189664317314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676622918118602,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
10,1.4623817206945384,0.7860220786973241,0.43188855554443284,0.35413352368015255,0.9817598414410054,0.0,0.0,0.0,0.0,0.0005314114084128061,1.199591722232561e-06,1.199591722232561e-06,0.7134312003657952,0.13585359555609683,0.05168055675951393,0.043521796834761074,0.0,0.08953567245883813,0.0,0.9367337755369545,0.023563731461763382,0.02207294315234116,1.3111101455108163,0.28360477089881897,0.37183709307216734,1.3237787646943209,0.21270453929901123,0.2815737522759769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4623817206945384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168055675951393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13585359555609683,0.0010000000474974513,0.00013585360207465485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632573060188219,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
