epoch,support_aware_combined_score,support_aware_image_macro,support_aware_pixel_macro,legacy_combined_score,valid_image_datasets,excluded_image_datasets,valid_pixel_datasets,is_selected
8,65.432074,68.581667,62.559067,31.47871,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
9,64.328958,67.041667,61.827242,31.006314,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
10,63.268636,66.0,60.754358,30.386527,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
11,64.554407,67.465,61.884567,30.970756,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
12,65.496924,69.285,62.101592,31.564514,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,1
13,63.335658,65.321667,61.46685,30.403381,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
14,63.369804,64.308333,62.458275,30.362001,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
15,63.525652,66.258333,61.00945,30.347127,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
16,62.390241,64.368333,60.5301,29.831147,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
17,63.07397,65.1,61.170242,30.245897,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
18,63.234872,65.21,61.375875,30.326423,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
19,62.930571,65.478333,60.57365,30.178629,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
20,63.113384,65.75,60.680075,30.335899,Brain|Liver|Retina,Colon_Kvasir|Colon_clinicDB|Colon_colonDB,Brain|Colon_Kvasir|Colon_clinicDB|Colon_colonDB|Liver|Retina,0
