class,n_images,n_pixels,baseline_ap,baseline_auroc,rank_selected_positive_fraction,rank_pos_cap_capture20,rank_rpos_capture20,rank_rneg_capture20,rank_oracle_positive_delta,rank_oracle_positive_delta_pp,rank_oracle_negative_delta,rank_oracle_negative_delta_pp,rank_oracle_both_delta,rank_oracle_both_delta_pp,rank_top_1pct_positive_C_AP_recall,rank_top_1pct_negative_R_neg_recall,rank_top_5pct_positive_C_AP_recall,rank_top_5pct_negative_R_neg_recall,rank_top_10pct_positive_C_AP_recall,rank_top_10pct_negative_R_neg_recall,conf_selected_positive_fraction,conf_pos_cap_capture20,conf_rpos_capture20,conf_rneg_capture20,conf_oracle_positive_delta,conf_oracle_positive_delta_pp,conf_oracle_negative_delta,conf_oracle_negative_delta_pp,conf_oracle_both_delta,conf_oracle_both_delta_pp,conf_top_1pct_positive_C_AP_recall,conf_top_1pct_negative_R_neg_recall,conf_top_5pct_positive_C_AP_recall,conf_top_5pct_negative_R_neg_recall,conf_top_10pct_positive_C_AP_recall,conf_top_10pct_negative_R_neg_recall,logit_selected_positive_fraction,logit_pos_cap_capture20,logit_rpos_capture20,logit_rneg_capture20,logit_oracle_positive_delta,logit_oracle_positive_delta_pp,logit_oracle_negative_delta,logit_oracle_negative_delta_pp,logit_oracle_both_delta,logit_oracle_both_delta_pp,logit_top_1pct_positive_C_AP_recall,logit_top_1pct_negative_R_neg_recall,logit_top_5pct_positive_C_AP_recall,logit_top_5pct_negative_R_neg_recall,logit_top_10pct_positive_C_AP_recall,logit_top_10pct_negative_R_neg_recall,jaccard_rank_conf,jaccard_rank_logit,jaccard_conf_logit,rank_conf_rank_only_n_pixels,rank_conf_rank_only_selected_positive_fraction,rank_conf_rank_only_positive_C_AP_mass,rank_conf_rank_only_positive_R_pos_mass,rank_conf_rank_only_negative_R_neg_mass,rank_conf_conf_only_n_pixels,rank_conf_conf_only_selected_positive_fraction,rank_conf_conf_only_positive_C_AP_mass,rank_conf_conf_only_positive_R_pos_mass,rank_conf_conf_only_negative_R_neg_mass,rank_conf_intersection_n_pixels,rank_conf_intersection_selected_positive_fraction,rank_conf_intersection_positive_C_AP_mass,rank_conf_intersection_positive_R_pos_mass,rank_conf_intersection_negative_R_neg_mass,union_actual_coverage,union_oracle_delta,union_oracle_delta_pp,rank_matched_union_budget_delta,rank_matched_union_budget_delta_pp,conf_matched_union_budget_delta,conf_matched_union_budget_delta_pp
candle,200,53664800,0.5140714646932013,0.9806885859154054,0.00011758172955084152,0.0317646964783262,0.09750505223733048,0.2033905176299421,0.025616880386767238,2.561688038676724,0.0013812648885680456,0.13812648885680456,0.02692224136391208,2.692224136391208,0.1184573002754821,0.07641769433295455,0.10471204188481675,0.14163916268474688,0.10858481466170594,0.19006986832422007,0.006542649930680819,0.9337779716306756,0.2273928135981753,0.5600507442485967,0.4537493622567492,45.37493622567492,0.4543093235663572,45.43093235663572,0.4543093235663572,45.43093235663572,0.0,1.0,0.3543675943786167,1.0,0.677139313766019,1.0,0.006481716134225787,0.9170656832585583,0.24881443131251432,0.5191864184430728,0.4457149240555274,44.57149240555274,0.41723408475690094,41.72340847569009,0.45004249709845956,45.00424970984596,0.0,0.979666855126576,0.3389363461008542,0.9250219807942344,0.6010748243075651,0.8862361416503584,0.1265364506170993,0.12723149055206245,0.6055309573341235,8321834,2.5475153674057907e-05,0.005995359606299936,0.07703202222965583,0.09490013217182727,8321834,0.008312110046895912,0.9080086347586495,0.20691978359050062,0.4515603587904818,2411126,0.00043548118182127357,0.025769336872026264,0.02047303000767466,0.1084903854581148,0.19004187102160075,0.4412535633944237,44.12535633944237,0.02560162642571706,2.560162642571706,0.453309840525721,45.3309840525721
capsules,160,42931840,0.69808838171653,0.9850620409264671,0.0003497404257539393,0.05155398619278229,0.32489297682394036,0.17094474478393623,0.024608257984842674,2.4608257984842674,0.005658008582410834,0.5658008582410834,0.030105734957655783,3.0105734957655783,0.39014373716632444,0.10618685127577075,0.2159978085193809,0.1148632351263876,0.13833721408026298,0.13635776143643819,0.016567889939028937,0.915430067898124,0.17206930969220427,0.5118362375285795,0.27637897333409345,27.637897333409345,0.2765732680499464,27.657326804994643,0.2765732680499464,27.657326804994643,0.0,1.0,0.48568689220654704,1.0,0.7428434461032736,1.0,0.016312950947362143,0.9105998021203063,0.34495530637898386,0.5021201544220575,0.2763034094864927,27.63034094864927,0.25641805337651125,25.641805337651125,0.28194580960408244,28.194580960408246,0.0,0.9566609560626281,0.5889604163813176,0.9461672366371678,0.7678400219148062,0.9159485745631205,0.08727654154510621,0.08085441492356046,0.663904366612223,7207899,0.00020033577052064685,0.03252495053056101,0.3178579027024991,0.09898591569360031,7207899,0.01952011258759314,0.8964010322359027,0.16503423557076297,0.4398774084382437,1378469,0.0011309648602906557,0.019029035662221284,0.007035074121441264,0.07195882909033594,0.19384051557072793,0.2843033750012327,28.430337500123272,0.02940917942298138,2.940917942298138,0.27653679806267795,27.653679806267796
cashew,150,40248600,0.7653446443746631,0.9929981644396279,0.002116471131915147,0.09711970931356158,0.18045573703692122,0.1346548496415955,0.029090090276389424,2.9090090276389424,0.004148844066426571,0.41488440664265713,0.03263221921287862,3.263221921287862,0.21712268314210062,0.04263044816624995,0.2205843410715862,0.1702329863758328,0.21396416276811722,0.22816402377658754,0.05606344071595037,0.9831930519994041,0.8194092050394527,0.9312787495094363,0.23071151543142476,23.071151543142477,0.23128561829929017,23.12856182992902,0.23128561829929017,23.12856182992902,0.5898058252427184,1.0,0.9179539235590078,1.0,0.958976961779504,1.0,0.055349627067773785,0.9470629216768328,0.7529231902178152,0.866595912219272,0.22247879263930692,22.24787926393069,0.20989973299776965,20.989973299776963,0.22854433773323324,22.854433773323322,0.43887908208296555,0.9757912326770615,0.8004678259334451,0.916067812760551,0.8741062759290317,0.8708834803978847,0.13173757003133404,0.1386509190717791,0.6178905932267519,6175698,6.671310676137337e-05,0.003744023157303738,0.04532196715521007,0.015444821082873128,6175698,0.07038394688341301,0.8898173658431462,0.6842754351577417,0.8120687209507139,1874022,0.008871293933582424,0.09337568615625784,0.13513376988171116,0.11921002855872236,0.18796753178992562,0.22772974540348434,22.772974540348436,0.0312363824247065,3.12363824247065,0.23101468384692225,23.101468384692225
chewinggum,150,40248600,0.8701852033118965,0.9919468773416473,0.0004156666318828481,0.10633605658695992,0.4963657219205689,0.20462083263817724,0.01509733660761714,1.509733660761714,0.001709345469870005,0.1709345469870005,0.016594979437235202,1.6594979437235202,0.6168059832820062,0.0868135547482097,0.2918609766827981,0.24631121612180706,0.14699282854503057,0.26170950883179267,0.027944201785900628,0.9214834840048377,0.2754360925128815,0.5257101963212337,0.1196221912843114,11.96221912843114,0.1198389532124875,11.983895321248749,0.1198389532124875,11.983895321248749,0.0,1.0,0.7938407391113066,1.0,0.8969158343965858,1.0,0.027669906530910393,0.9160414062152467,0.36601818138693404,0.49659345962474055,0.11906520993291758,11.906520993291759,0.10746628158368488,10.746628158368488,0.12069190803034058,12.069190803034058,0.23405191377034756,0.9914970490787429,0.7900571931368235,0.8988034377676698,0.8882044964582692,0.8700425173382587,0.14799111324142572,0.15930691197782118,0.5947794021429628,5974291,0.0002447152306441049,0.048959319077512976,0.4224374464383035,0.09133256147474472,5974291,0.037336480596609704,0.8641067464953909,0.2015078170306161,0.41242192515780124,2075429,0.0009077641297293235,0.05737673750944697,0.07392827548226541,0.11328827116343247,0.18552461452075353,0.1226587691476434,12.26587691476434,0.016003167948395736,1.6003167948395736,0.11967946402186747,11.967946402186747
fryum,150,40248600,0.3870974992524583,0.955077579618725,0.003876780807282738,0.04571300595265303,0.13530740785455653,0.0884480078197314,0.04925607276531363,4.9256072765313625,0.0035188590373271267,0.35188590373271267,0.0524700645421593,5.24700645421593,0.4528403578743128,0.004242008087281605,0.26364126333944166,0.021407434007139202,0.20172686996733824,0.06940681957594075,0.1098347520162192,0.9293380489402405,0.6840237227763248,0.8744436437098592,0.5695936170929661,56.95936170929661,0.5797974484143898,57.979744841438986,0.5797974484143898,57.979744841438986,0.0,1.0,0.06120513096906328,1.0,0.5305975056322694,1.0,0.09699828068553937,0.7880300347616528,0.4774209234739331,0.7996043085849578,0.4863166996409445,48.63166996409445,0.49117295551390594,49.1172955513906,0.5437905634381481,54.37905634381481,0.012719629190471057,0.9883726253147174,0.060924867953002046,0.9589348367230471,0.1752740678459399,0.8712550469317605,0.07026998998165852,0.10052805309405426,0.6221792872742662,6992690,0.0016667405533492834,0.019068295071975508,0.09555110791980884,0.029502963296869723,6992690,0.12364154567126528,0.9026933380595629,0.6442674228415771,0.8154985991869975,1057030,0.018497109826589597,0.026644710880677522,0.03975629993474769,0.05894504452286167,0.19772590847880422,0.5391040552099227,53.91040552099226,0.05206629497630122,5.2066294976301215,0.5791142956717475,57.91142956717476
macaroni1,200,53664800,0.21152247554014864,0.9496254402361601,0.00011487977221567955,0.07998028994835085,0.2636958484444321,0.195907173528406,0.10467801776033436,10.467801776033436,0.0006545672990548312,0.06545672990548312,0.10532740983240896,10.532740983240895,0.26666666666666666,0.15731824163861208,0.32028836251287335,0.20372296599522047,0.2586295723853684,0.19650463972679857,0.0016026333835214145,0.8559433794535158,0.2931378175680866,0.7440591694941285,0.6748921170158182,67.48921170158182,0.6758815077770692,67.58815077770693,0.6758815077770692,67.58815077770693,0.0,1.0,0.0,1.0,0.0,1.0,0.0016645920603449561,0.8998378127993841,0.5659508024951339,0.6899676291477052,0.7096440667882418,70.96440667882418,0.508833049280887,50.883304928088705,0.7131541674228132,71.31541674228133,0.0,0.9463663240464234,0.30484037075180226,0.9557143762559325,0.48377125193199383,0.929227482691899,0.10842978815207759,0.11215796909022435,0.6808664363956157,8633102,6.52141026481559e-05,0.03675046258121974,0.19067673658862608,0.0515376107487868,8633102,0.0019148389535997607,0.8127135520863847,0.2201187057122805,0.5996896067145092,2099858,0.0003190691942026556,0.043229827367131116,0.07301911185580603,0.14436956277961924,0.19147167230661438,0.6336109313709657,63.36109313709657,0.10126879152294854,10.126879152294855,0.6703236134105088,67.03236134105089
macaroni2,200,53664800,0.08947778409927289,0.8961400469347792,0.000261624006797752,0.19654479766176855,0.46647636948050597,0.18375768422594463,0.25337785826359743,25.33778582635974,0.0005952206024665008,0.05952206024665008,0.25407466028303477,25.407466028303478,0.6815286624203821,0.1359889802643842,0.5255102040816326,0.21498946674634486,0.5335035098915124,0.20568195501363115,0.0010486389588706191,0.6910698243373394,0.15302000970506435,0.6947229562465258,0.6292344278698349,62.923442786983486,0.630649186311403,63.0649186311403,0.630649186311403,63.0649186311403,0.0,1.0,0.0,1.0,0.0,1.0,0.0012306018097523888,0.82820687489002,0.5502768829311411,0.6663028169459758,0.7543336595762443,75.43336595762443,0.4918004821679609,49.18004821679609,0.7632932984771076,76.32932984771075,0.0,0.9874406328519344,0.03826530612244898,0.9825890964887788,0.26228462029355454,0.9613868926883078,0.10237126252330467,0.10339966692277053,0.743162491511938,8739536,0.0002472671318019629,0.15138486298328807,0.4271065304959893,0.05416609062569289,8739536,0.0012137944165456838,0.645909889658859,0.1136501707205477,0.5651313626462741,1993424,0.00032456717687757346,0.045159934678480486,0.03936983898451669,0.12959159360025174,0.1902330577957991,0.6593347784228496,65.93347784228496,0.24681189763674832,24.681189763674833,0.6217302202782308,62.17302202782308
pcb1,200,53664800,0.20359251758914776,0.7892035777461162,0.004945140949001953,0.2619722498537084,0.38043177645348186,0.17917423894894696,0.26485847222514813,26.485847222514813,0.003411958074425153,0.3411958074425153,0.26829365434472435,26.829365434472436,0.4236,0.09851371059386052,0.43523481878550285,0.12967445002175426,0.41467317385390834,0.17245641332191827,0.012045325800152055,0.39908756066556056,0.06840408224318935,0.5231035725615295,0.31783632105962323,31.783632105962322,0.3271898831224632,32.718988312246324,0.3271898831224632,32.718988312246324,0.0,1.0,0.0,1.0,0.0,1.0,0.010895410026684158,0.34129386980412846,0.06916866135226728,0.5122873733915329,0.2725840577381634,27.258405773816342,0.23695627823621973,23.695627823621972,0.30448873472789695,30.448873472789696,0.0,0.9934082063244526,0.004560364829186335,0.9786561187864646,0.02320185614849188,0.9452698810423996,0.09784047437768564,0.09007348451113353,0.724666763508467,8819899,0.005344052125766973,0.234700675206986,0.37344970776322856,0.0861645546558163,8819899,0.013984287121655248,0.37181598601883814,0.061422013552935965,0.4300938882683989,1913061,0.003106017006253329,0.027271574646722432,0.006982068690253389,0.09300968429313065,0.190999798750764,0.39465735031411886,39.46573503141189,0.26245953231558905,26.245953231558904,0.3206226199368226,32.06226199368226
pcb2,200,53664800,0.21507973835273084,0.8377243671601683,0.0011671523978473786,0.14236745334128906,0.31349402778222174,0.1932192788002958,0.17514109117551954,17.514109117551953,0.003362030030969576,0.3362030030969576,0.17867825470056534,17.867825470056534,0.1388638412984671,0.08298353064196885,0.22095959595959597,0.1470808683730833,0.2856240981240981,0.21295019805269194,0.007084252619966906,0.6011525363570571,0.04062203449586929,0.42592076371627074,0.4718568063760957,47.18568063760957,0.4731798281756966,47.31798281756966,0.4731798281756966,47.31798281756966,0.0,1.0,0.0,1.0,0.0,1.0,0.007049965713093126,0.6016988157779589,0.0660951307692901,0.42319253036407983,0.47457552628677224,47.45755262867723,0.42441995962948675,42.441995962948674,0.48336430825005017,48.33643082500502,0.0,0.9935840460096351,0.0,0.9811524604912356,0.0,0.9503767510619668,0.1292085941584674,0.12083679712668714,0.7209814200498691,8276743,0.0014070752227053564,0.13333699543903688,0.3125198565495413,0.09848897531265156,8276743,0.009080141790073704,0.5921220784548049,0.03964786326318888,0.3311904602286265,2456217,0.00035868166371293744,0.009030457902252213,0.0009741712326804099,0.09473030348764426,0.18814151920812153,0.5259666334459296,52.59666334459296,0.1716642027304601,17.16642027304601,0.47231720246007325,47.23172024600733
pcb3,201,53933124,0.48476338048955153,0.9001001686990684,0.0012108514016200618,0.1840482061276115,0.4726564595694671,0.19069276290364048,0.12160804401190234,12.160804401190234,0.0021621823197552348,0.21621823197552348,0.12366455614375876,12.366455614375877,0.4166054371785452,0.030401266982792753,0.5285210232284622,0.06697758801124967,0.5886201573182386,0.1454461299958548,0.010810054117946994,0.7239840560524955,0.1105641600963374,0.3940634942215801,0.37302309815943563,37.302309815943566,0.37442094438733836,37.44209443873384,0.37442094438733836,37.44209443873384,0.0,1.0,0.0,1.0,0.0,1.0,0.01069296466689071,0.7066176866368892,0.09925958052525752,0.3870396575031674,0.36411761662386816,36.411761662386816,0.3262362264219107,32.623622642191066,0.3668600453952661,36.686004539526614,0.0,0.9974478178191761,0.0,0.9947532487810681,0.0,0.9799576557100662,0.11900968090620631,0.1321879297874232,0.7285320339593757,8492252,0.0010933495614590806,0.1319856362451047,0.44530410187578395,0.11333533648270411,8492252,0.01328599292625796,0.6719214861699887,0.08321180240265424,0.31670606780064375,2294373,0.0016457655315853176,0.05206256988250677,0.027352357693683153,0.07735742642093638,0.19054989286361385,0.37661821670492673,37.66182167049267,0.12007651275927617,12.007651275927616,0.37217544362749316,37.217544362749315
pcb4,201,53933124,0.4524533063150986,0.9820309367426474,0.0010066169909494398,0.051601110864424954,0.18070327327272712,0.054317144901944364,0.044934939466466484,4.493493946646648,0.0008707918442839024,0.08707918442839024,0.04570126210094455,4.570126210094455,0.41762883694733877,0.004152808418349254,0.34989578051940734,0.024176286887259202,0.25066193453889923,0.06779055849487785,0.03273109058672198,0.9902129949606602,0.9332822700240144,0.9931435529131323,0.5421878515167704,54.21878515167704,0.5440174983565211,54.40174983565211,0.5440174983565211,54.40174983565211,0.44776119402985076,1.0,0.8895273505717988,1.0,0.9447636752858994,1.0,0.03051705236809475,0.9308550986822953,0.7855965190017095,0.942641035268495,0.5159554458518666,51.59554458518666,0.4632753577226103,46.32753577226103,0.5310656158214869,53.10656158214869,0.20360461841734723,0.9810594607508277,0.5679680018027153,0.9767147484831494,0.749929581432032,0.949877477947617,0.07540466909544227,0.09228277467292274,0.7185069897727197,9273963,8.529255508136058e-05,0.003947972269610875,0.026961493260662814,0.0016502895287195238,9273963,0.03698429678876226,0.9425598563658463,0.7795404900119501,0.9404766975399075,1512662,0.006655154951998529,0.04765313859481407,0.15374178001206432,0.05266685537322485,0.19672572647562564,0.5226536756409936,52.265367564099364,0.04526421708992301,4.5264217089923005,0.5434877588550875,54.34877588550875
pipe_fryum,150,40248600,0.5380374207213229,0.9550947170178653,0.0087374467683348,0.24194085502845222,0.4522949658587646,0.21796328930460734,0.14617353669590938,14.617353669590937,0.010699202747267211,1.0699202747267211,0.154171149576668,15.4171149576668,0.7776009548438433,0.06424797463895737,0.4946878357407186,0.19114879484728023,0.4688127971986232,0.22623635082775626,0.05733006862350492,0.8294542870986694,0.35811156813869677,0.7059057033436716,0.38317684648136563,38.31768464813656,0.391903442636634,39.1903442636634,0.391903442636634,39.1903442636634,0.0,1.0,0.0,1.0,0.18197011599450866,1.0,0.05050163235491421,0.6344535554401622,0.16921120061690426,0.6365304475110689,0.2942636916988668,29.42636916988668,0.30200425048293456,30.200425048293454,0.34213834878043403,34.2138348780434,0.0,0.9672822422382127,0.0001193744777366599,0.9031157852362501,0.0366287976761306,0.8644560458914105,0.13387868456482477,0.13167957564335586,0.6171734120210991,6148836,0.003303389454524401,0.08437541651198262,0.3399284734684028,0.06631277526906859,6148836,0.06691819394760244,0.6718888485822,0.2457450757483349,0.5542551893081329,1900884,0.026315124962911992,0.15756543851646965,0.11236649239036184,0.1516505140355388,0.1884319703045572,0.3807388564036318,38.07388564036318,0.14826334813644027,14.826334813644026,0.3882724917251812,38.82724917251812
