class,n_images,bridge_pairs,aligned_rescue_opportunity,aligned_damage_risk,shifted_rescue_opportunity,shifted_damage_risk,aligned_rescued,aligned_missed,aligned_preserved,aligned_broken,aligned_net,shifted_rescued,shifted_missed,shifted_preserved,shifted_broken,shifted_net,aligned_break_correlation,changed_aligned,changed_shifted,native_AP_delta,deployed_AP_delta,aligned_minus_shifted_AP_before,aligned_minus_shifted_AP_after,cell_count,cell_pair_gap_p95,normal_fpr95_delta_aligned,normal_fpr99_delta_aligned
candle,200,77,0.5294117647058824,0.20930232558139536,0.47058823529411764,0.5348837209302325,18,16,34,9,9,16,18,20,23,-7,0.9486832980505139,46948,50736,-6.873445670585454e-05,2.5770112527245814e-05,0.006557627506344588,-0.0052073412036213185,3812,1.8104087209701503,1.993858171463886e-05,4.3715806264069124e-05
capsules,160,124,0.26666666666666666,0.16455696202531644,0.3111111111111111,0.4936708860759494,12,33,66,13,-1,14,31,40,39,-25,1.0,37983,40614,-0.0002718372475151165,9.728335512004804e-05,0.018690298456888632,-0.0029833425848148076,3002,2.3183343410491926,1.4410439120864094e-05,-2.0683949255377934e-05
cashew,150,318,0.5,0.125,0.42,0.5952380952380952,75,75,147,21,54,63,87,68,100,-37,0.9486832980505139,34353,38186,0.0013846813706679395,0.0005989539536926936,0.0024757037308339447,0.00047723428612311825,2769,2.9588994598388667,0.00011828982871453508,4.673454480404356e-05
chewinggum,150,146,0.3157894736842105,0.1348314606741573,0.631578947368421,0.42696629213483145,18,39,77,12,6,36,21,51,38,-2,1.0,34623,37978,0.00032111951963398333,5.741429929151387e-06,0.006521192985900037,-0.0002565769821155639,2974,4.594350130558013,-0.00025394672112818983,-0.0001712854608607508
fryum,150,456,0.7488151658767772,0.05714285714285714,0.38388625592417064,0.5959183673469388,158,53,231,14,144,81,130,99,146,-65,0.316227766016838,34299,38102,0.0009080530637987083,0.0003360323670573706,0.0015264614660388531,0.00019892348177052988,2619,2.1567447090148923,-5.038684575364716e-05,-3.5181347922661615e-05
macaroni1,200,92,0.5714285714285714,0.19298245614035087,0.5142857142857142,0.42105263157894735,20,15,46,11,9,18,17,33,24,-6,0.7999999999999999,46366,50966,0.0007540783955921615,0.0001217806819679701,0.002558004248507828,8.174747664194126e-05,3452,2.681100482940674,0.0003670935138116588,-6.298355719205895e-06
macaroni2,200,115,0.47368421052631576,0.14285714285714285,0.5263157894736842,0.4805194805194805,18,20,66,11,7,20,18,40,37,-17,1.0,46788,51046,0.0007173008683247217,0.00029569774956629546,0.0020113787842767072,-0.0007396817508760894,3296,2.7594029188156126,9.898480940951498e-05,1.9006872288718918e-06
pcb1,200,450,0.42105263157894735,0.12903225806451613,0.4444444444444444,0.4731182795698925,72,99,243,36,36,76,95,147,132,-56,0.39999999999999997,46236,50735,-0.00023820971222027199,0.00013358533154786412,0.008537005606026105,-0.0005483433065029686,3727,2.9576209640502915,0.00010010286072062446,-3.152904697306322e-05
pcb2,200,190,0.3170731707317073,0.17592592592592593,0.4146341463414634,0.5833333333333334,26,56,89,19,7,34,48,45,63,-29,0.7999999999999999,46031,50684,3.135230392348198e-05,3.5282257542262885e-05,0.004868547179284477,-0.0036216856555076615,3784,2.4157811760902406,3.6746619758200316e-05,3.2498024776016904e-05
pcb3,201,116,0.09803921568627451,0.2923076923076923,0.35294117647058826,0.6153846153846154,5,46,46,19,-14,18,33,25,40,-22,1.0,43601,50960,-9.632041160112514e-06,5.690526084140002e-05,0.0033727614601930522,-0.004176784758722352,3802,2.140461134910582,0.00012066098307926543,5.4168294544456805e-05
pcb4,201,179,0.2619047619047619,0.14736842105263157,0.32142857142857145,0.6526315789473685,22,62,81,14,8,27,57,33,62,-35,0.9486832980505139,45374,51063,5.5452443015135966e-05,-2.1532904893373228e-05,0.0008454286192862148,0.00022207169956123263,3737,1.9974252700805646,4.24342906853864e-06,5.542287357341441e-05
pipe_fryum,150,522,0.7115384615384616,0.0732484076433121,0.6298076923076923,0.4554140127388535,148,60,291,23,125,131,77,171,143,-12,0.9486832980505139,35182,38031,0.0021026186270229896,0.00031944972828956697,0.006321617113128619,0.0008240373770382892,2761,2.4178958892822244,-0.00016934750525484515,0.00011568104232196827
