class,n_images,aligned_selected,aligned_same_label,aligned_mixed,aligned_AN,aligned_NA,aligned_action_mass,shifted_selected,shifted_action_mass,native_ap_C0,native_ap_P5,native_ap_P5_SHIFT,deployed_ap_C0,deployed_ap_P5,deployed_ap_P5_SHIFT,profile
candle,200,7263,7254,9,5,4,165.8161106109619,19305,1273.9064106941223,0.6474043559292992,0.6474023459297855,0.6466375310676972,0.5140705681441263,0.5140758997600348,0.5134119862359923,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
capsules,160,7747,7730,17,11,6,381.59435653686523,16600,1475.5955460071564,0.6753570624577996,0.67535544149643,0.6743055764188075,0.6980906202921944,0.6980889157369999,0.6979318813191538,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
cashew,150,6303,6256,47,42,5,117.0195426940918,15124,1478.5406067371368,0.6590869692228131,0.6591099158449041,0.65729853089531,0.7653452415481137,0.7653687595945577,0.7652726757723742,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
chewinggum,150,6223,6204,19,14,5,225.7721176147461,13222,2120.2341861724854,0.856151129210634,0.8561331056837416,0.8539854906005427,0.8701848049344268,0.8701825681059513,0.8701034043030297,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
fryum,150,7239,7153,86,81,5,241.06452751159668,16289,1315.6088380813599,0.47043055372937376,0.4704202886402538,0.46953056013163746,0.38709925977075693,0.3870624459765303,0.38704570240910763,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
macaroni1,200,8900,8868,32,22,10,152.87063026428223,21126,1485.2166290283203,0.5367274613304783,0.5367288308834858,0.5361503160167888,0.21152289040581307,0.21151268786576108,0.2115592667579813,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;SPATIAL_LEAKAGE;MIXED
macaroni2,200,8347,8327,20,12,8,239.79018211364746,21208,1812.9882245063782,0.41290859731903296,0.4129061485210453,0.41204087884523855,0.08947744440280758,0.08949269378056883,0.08941079710735685,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;SPATIAL_LEAKAGE;MIXED
pcb1,200,11792,11715,77,55,22,479.7508363723755,20656,1783.5716404914856,0.3560809128682993,0.3560664652440557,0.35611442015702127,0.2035975823109824,0.2035830211852954,0.20359276364760792,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;SPATIAL_LEAKAGE;MIXED
pcb2,200,9815,9790,25,14,11,377.46629333496094,20524,1559.7287454605103,0.407626894759955,0.4076150210542204,0.40674487122331043,0.21507955347945074,0.215071187656593,0.21496655074125973,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;SPATIAL_LEAKAGE;MIXED
pcb3,201,8107,8099,8,5,3,167.72089862823486,21150,1968.3523344993591,0.5170928749340777,0.5170892111064417,0.515764535529364,0.484764762887959,0.4847659633503005,0.48464428229796236,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
pcb4,201,9635,9605,30,19,11,408.6900358200073,21321,1656.7205214500427,0.489224918685683,0.48922020910667097,0.48909594429558007,0.45245300297812396,0.4524528173628948,0.45251549085955517,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
pipe_fryum,150,7666,7565,101,98,3,228.50096225738525,14951,1402.8886985778809,0.6102372177430007,0.6103573978812589,0.6092493802308484,0.5380375890934237,0.538058484256688,0.5389108896309542,LEVERAGE_LIMITED;SAME_LABEL_DOMINATED;MIXED
