class,images,positive_mass_fraction_aligned,positive_mass_fraction_shifted,negative_risk_fraction_aligned,negative_risk_fraction_shifted,S6_auc_aligned,S6_auc_shifted,S6_auc_delta
candle,200,0.034587796154605326,0.18301678296847934,0.05342616819562111,0.23461500643523384,0.48957936261690527,0.5820674492450207,-0.09248808662811547
capsules,160,0.05974646380294678,0.1720878092250954,0.053052579221558066,0.18069458681623252,0.4397036825984757,0.6402604529054379,-0.20055677030696217
cashew,150,0.08461690582135768,0.25958415163977,0.06324136037198336,0.31909408773015,0.45682553043664154,0.5165422943709549,-0.059716763934313355
chewinggum,150,0.06351450878998915,0.2562060985490375,0.06150286650106074,0.22072726760181385,0.4737796847432637,0.5946055458214351,-0.12082586107817139
fryum,150,0.071606654303964,0.1659047881609217,0.042468535605342535,0.21544546619113075,0.3883656279586338,0.5136998211539336,-0.12533419319529987
macaroni1,200,0.1281625566602023,0.27595584261372264,0.04259077894167041,0.2493071935963701,0.5166769893631346,0.5754087254318047,-0.058731736068670104
macaroni2,200,0.093230592503525,0.33901680804813183,0.04564076030884499,0.33210234857907395,0.6417058159310787,0.642074932836541,-0.0003691169054623744
pcb1,200,0.10157059999241277,0.2493724303962952,0.09783203967095012,0.21551883309278405,0.47126151739746985,0.5722325916024752,-0.10097107420500534
pcb2,200,0.04261268543713937,0.16732900130797038,0.0734461653246945,0.2284315869491495,0.551004561868595,0.5535985003323511,-0.002593938463756107
pcb3,201,0.020923009063531253,0.13356828139862068,0.035239678456307724,0.23145725715151821,0.4844164896441848,0.5562812874826859,-0.07186479783850108
pcb4,201,0.027360781319076315,0.09370606186087688,0.02491047534660029,0.14011699599040275,0.5071452950154545,0.5198922220925256,-0.012746927077071146
pipe_fryum,150,0.1741638453210436,0.2872807197604679,0.06059455324502271,0.30936108645651733,0.46337325460694473,0.5451841268547204,-0.08181087224777567
