family,fold,historical_config,reconciled_config,changed,reason,historical_gate_count,reconciled_gate_count,historical_direction_count,reconciled_direction_count,historical_worst_rank,reconciled_worst_rank,historical_mean_rank,reconciled_mean_rank
PCRR,FOLD_0,pcrr_witness_local_mean_median,pcrr_witness_local_mean_median,False,ordinal_rank_counterfactual,1,1,31,31,0.23629019952244443,0.4285714285714286,0.5050225311901363,0.5357142857142857
PCRR,FOLD_1,pcrr_pooled_peer_pairs_mean_mean,pcrr_pooled_peer_pairs_mean_mean,False,ordinal_rank_counterfactual,3,3,37,37,0.026757578939037747,0.2857142857142857,0.6867988817664621,0.6071428571428571
PCRR,FOLD_2,pcrr_pooled_peer_pairs_mean_mean,pcrr_pooled_peer_pairs_mean_mean,False,ordinal_rank_counterfactual,2,2,33,33,0.0,0.0,0.7298884884376193,0.6428571428571429
PCRR,FOLD_3,pcrr_pooled_peer_pairs_mean_mean,pcrr_pooled_peer_pairs_mean_mean,False,ordinal_rank_counterfactual,2,2,33,33,0.20136612773819168,0.4285714285714286,0.791366952824288,0.8214285714285714
PCRR,FOLD_4,pcrr_witness_local_mean_median,pcrr_witness_local_mean_median,False,ordinal_rank_counterfactual,2,2,35,35,0.295660852558293,0.4285714285714286,0.6663633474365803,0.6071428571428572
CSRC,FOLD_0,csrc_spearman_average_tie_adjacent_max,csrc_spearman_average_tie_adjacent_max,False,ordinal_rank_counterfactual,1,1,20,20,0.10894149245809163,0.2857142857142857,0.2668245932117975,0.3571428571428571
CSRC,FOLD_1,csrc_spearman_average_tie_all_three_max,csrc_spearman_average_tie_adjacent_mean,True,ordinal_rank_counterfactual,1,1,23,23,0.05388344967134308,0.1428571428571429,0.27680653770756103,0.6785714285714286
CSRC,FOLD_2,csrc_spearman_average_tie_adjacent_max,csrc_spearman_average_tie_adjacent_max,False,ordinal_rank_counterfactual,1,1,22,22,0.1093428402234819,0.1428571428571429,0.22407738299392796,0.25
CSRC,FOLD_3,csrc_spearman_average_tie_adjacent_max,csrc_spearman_average_tie_adjacent_max,False,ordinal_rank_counterfactual,1,1,20,20,0.0453080399043925,0.2857142857142857,0.2117147914811966,0.3571428571428571
CSRC,FOLD_4,csrc_spearman_average_tie_adjacent_max,csrc_spearman_average_tie_adjacent_max,False,ordinal_rank_counterfactual,1,1,23,23,0.008099785263106679,0.2857142857142857,0.39485685992024233,0.4642857142857142
ASR,FOLD_0,asr_energy_95_mean,asr_energy_95_mean,False,ordinal_rank_counterfactual,1,1,27,27,0.0,0.0,0.5542224942325688,0.5
ASR,FOLD_1,asr_energy_95_median,asr_energy_95_median,False,ordinal_rank_counterfactual,1,1,30,30,0.3906177294667326,0.19999999999999996,0.6628526915076575,0.55
ASR,FOLD_2,asr_energy_99_median,asr_energy_95_median,True,ordinal_rank_counterfactual,1,1,26,26,0.27534823875928377,0.19999999999999996,0.5573907946107391,0.55
ASR,FOLD_3,asr_energy_95_median,asr_energy_95_median,False,ordinal_rank_counterfactual,1,1,28,28,0.4908609780712684,0.19999999999999996,0.7216706911652,0.55
ASR,FOLD_4,asr_energy_95_median,asr_energy_95_median,False,ordinal_rank_counterfactual,1,1,29,29,0.20599754010014384,0.19999999999999996,0.7414485891038974,0.7
PGM,FOLD_0,pgm_max_whitened_mean,pgm_max_whitened_mean,False,ordinal_rank_counterfactual,1,1,34,34,0.9762770045002793,0.6666666666666667,0.9896496364804331,0.8333333333333334
PGM,FOLD_1,pgm_sum_whitened_mean,pgm_sum_whitened_mean,False,ordinal_rank_counterfactual,3,3,40,40,0.3894399104718192,0.6666666666666667,0.833096047950553,0.8333333333333335
PGM,FOLD_2,pgm_max_whitened_mean,pgm_max_whitened_mean,False,ordinal_rank_counterfactual,2,2,37,37,0.6027493328453679,0.6666666666666667,0.9006286497766628,0.8333333333333335
PGM,FOLD_3,pgm_sum_whitened_mean,pgm_sum_whitened_mean,False,ordinal_rank_counterfactual,2,2,35,35,0.3873151134619471,0.33333333333333337,0.8336349893013303,0.7500000000000001
PGM,FOLD_4,pgm_max_whitened_mean,pgm_max_whitened_mean,False,ordinal_rank_counterfactual,3,3,38,38,0.8792191258568356,0.6666666666666667,0.9698047814642089,0.9166666666666667
