class,outer_fold,family,config_id,matched_win,b1_matched_win,delta_vs_b1,aligned_minus_shifted,C_AP_delta,R_pos_delta,R_neg_delta,pixel_auroc,pixel_ap
carpet,FOLD_0,PCRR,pcrr_witness_local_mean_median,0.8323388323388323,0.8438828438828438,-0.011544011544011523,0.3484068484068484,-0.00985637398931137,0.016482163913924486,-0.03569806303431962,0.9619570368509145,0.31740407684860816
bottle,FOLD_0,PCRR,pcrr_witness_local_mean_median,0.6782998300516712,0.5238099325356634,0.15448989751600772,0.23468748390640826,0.017440385051885676,0.026562365350641087,-0.029395246430079743,0.8851521039007586,0.3186340454839074
cable,FOLD_0,PCRR,pcrr_witness_local_mean_median,0.5369485879992278,0.3202644892242637,0.21668409877496414,0.09162181452536028,0.01869645862669829,0.02687406878109263,-0.008442725216472002,0.7311082384872257,0.06369153473147439
grid,FOLD_1,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.8099504079347305,0.8395456726923692,-0.02959526475763874,0.36170212765957455,-0.01003908429002063,-0.02782771368150487,-0.02318418806216705,0.9717587306421407,0.3658131612190495
capsule,FOLD_1,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.7570584199693915,0.7256319594701567,0.03142646049923481,0.3748746635706369,-0.0012362632852055688,0.02568628931100285,-0.010417272355929676,0.926950090493875,0.05940394797105227
hazelnut,FOLD_1,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.4842957631277605,0.5327989530508752,-0.0485031899231147,0.07647636185179124,-0.004009644498818339,-0.0006886705014442288,-0.010513987282186546,0.9048549629882114,0.11786734380196966
leather,FOLD_2,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.8170090778786431,0.8115145723841376,0.005494505494505475,0.26708074534161486,-0.007184823993203356,-0.015882987581679518,-0.05085065224721058,0.989763882224375,0.3815582324044005
metal_nut,FOLD_2,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.6545702093674796,0.7071099697889475,-0.05253976042146791,0.2229026258197943,0.01588806417873452,0.06293000540225126,-0.008701441476230698,0.7366495213664804,0.2643588014594648
pill,FOLD_2,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.6899401865844819,0.537298644681195,0.15264154190328683,0.19069372089506315,0.012685679476197566,0.03094344062754823,-0.002387533744608407,0.8348530241826412,0.1188363689867321
tile,FOLD_3,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.5415545353807187,0.5763250215751659,-0.034770486194447114,0.04133750708533557,-0.0016481847838099722,0.015842041898436385,-0.009046846271863463,0.82290750328784,0.4154208836142947
screw,FOLD_3,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.7581699346405228,0.5535947712418301,0.20457516339869275,0.27385620915032677,0.0011447125651108114,0.01120305494205033,-0.00696905628890318,0.9255629857304777,0.017002807575726538
transistor,FOLD_3,PCRR,pcrr_pooled_peer_pairs_mean_mean,0.500020734921,0.47885226557286814,0.021168469348131824,0.05594281685786778,-0.002415398588415312,0.008247361605439976,-0.004218655790050728,0.6287855635748822,0.10018198493427186
wood,FOLD_4,PCRR,pcrr_witness_local_mean_median,0.6710363277949873,0.6733032948465221,-0.0022669670515347295,0.2302098000563222,-0.0005820956877401473,0.011548365685807131,-0.016185151775875137,0.9116536748896248,0.3368005481640005
toothbrush,FOLD_4,PCRR,pcrr_witness_local_mean_median,0.6629896443043674,0.7442593426384512,-0.08126969833408382,0.24020711391265193,-0.0008356317486756283,-0.0009550195917318871,-0.004547649802422737,0.8609142108029515,0.06225450931543024
zipper,FOLD_4,PCRR,pcrr_witness_local_mean_median,0.6179619021845354,0.5514260370153203,0.06653586516921506,0.11401530527866732,-0.04251353361013522,0.015329307927552695,-0.06070922063370115,0.8771433554058549,0.29279872817384767
carpet,FOLD_0,CSRC,csrc_spearman_average_tie_adjacent_max,0.4609024609024609,0.8438828438828438,-0.38298038298038295,-0.015171015171015156,-0.06519260465317173,-0.05246251975118878,-0.0621078320939235,0.47932442283269394,0.016207359484943024
bottle,FOLD_0,CSRC,csrc_spearman_average_tie_adjacent_max,0.522934441144662,0.5238099325356634,-0.0008754913910014039,0.016900417145898072,-0.01065317912369278,0.009680885942219834,-0.04118914782404899,0.5596127790869778,0.06907773416193441
cable,FOLD_0,CSRC,csrc_spearman_average_tie_adjacent_max,0.517540591374922,0.3202644892242637,0.19727610215065833,0.0390179962203,0.014175439050069285,0.03988056406881178,-0.01540469306694173,0.5298859312474218,0.03193438464374136
grid,FOLD_1,CSRC,csrc_spearman_average_tie_all_three_max,0.49736042233242683,0.8395456726923692,-0.3421852503599424,-0.026075827867541146,-0.03787292155973248,-0.06227360079133093,-0.040336962817021066,0.4999481316421115,0.007228175698769565
capsule,FOLD_1,CSRC,csrc_spearman_average_tie_all_three_max,0.523035516386089,0.7256319594701567,-0.20259644308406766,0.04575439337168191,-0.029918098726589175,-0.03419245060822693,-0.017043720152401725,0.5741586479460731,0.011456906785033034
hazelnut,FOLD_1,CSRC,csrc_spearman_average_tie_all_three_max,0.507933911336496,0.5327989530508752,-0.0248650417143792,-0.027482414526419086,-0.009589854589652466,-0.017486204034976086,-0.02115303434481875,0.5347418496242918,0.024377956410311732
leather,FOLD_2,CSRC,csrc_spearman_average_tie_adjacent_max,0.46488294314381273,0.8115145723841376,-0.34663162924032487,-0.01098901098901095,-0.029979567649956365,-0.046284337464378496,-0.12744524294471749,0.4988133533422168,0.006865105414634158
metal_nut,FOLD_2,CSRC,csrc_spearman_average_tie_adjacent_max,0.45871451157146326,0.7071099697889475,-0.2483954582174842,-0.024801808556659366,-0.021942092908092133,0.024904742019080172,-0.006764068242610971,0.5141323920188228,0.12619101138122413
pill,FOLD_2,CSRC,csrc_spearman_average_tie_adjacent_max,0.5124554788984319,0.537298644681195,-0.024843165782763132,0.012916986071348446,-0.00862022377311062,0.011670654316331606,-0.021768832072172808,0.459154061435146,0.030595454336412822
tile,FOLD_3,CSRC,csrc_spearman_average_tie_adjacent_max,0.5212126009181574,0.5763250215751659,-0.0551124206570085,0.040709401665755984,-0.006386138004293232,0.02188958619285416,-0.014605612320914996,0.55007521323925,0.08423057951826574
