class,candidate,matched_pairs_n,matched_pair_win_rate,triage_budget_k,triage_actual_fraction,selected_positive_count,selected_positive_fraction,positive_C_AP_mass_capture,positive_R_pos_mass_capture,negative_R_neg_mass_capture,oracle_triage_delta_AP,oracle_triage_delta_AP_pp,fraction_A1_positive_oracle_recovered,extreme_C_AP_recall_top1pct,extreme_C_AP_recall_top5pct,extreme_C_AP_recall_top10pct,shifted_matched_pair_win_rate,shifted_positive_C_AP_capture,corr_D_rank,corr_D_logit,corr_G_rescue,spearman_vs_C_AP,spearman_vs_R_pos,m1_delta_H,m2_rho_wide_gain_surroundedness
candle,E_multistage,1262,0.7258320126782885,1073296,0.02,802,0.0007472309595861719,0.018904679830422,0.007819717336989315,0.042827037985076755,0.015875238843932382,1.5875238843932382,0.6197178815002377,0.0,0.01074676219344172,0.0454733360892931,0.38114104595879555,0.000977134342290326,0.2201547246564647,0.5889217024413902,-0.2621386515566023,-0.9179564732768066,-0.9179540476791994,-0.015847860538827252,0.13404782089945064
candle,E_valid_ms,1262,0.16085578446909668,1073296,0.02,4,3.7268377036716803e-06,0.00011229971953935127,0.00038221620459879353,0.019580227534740147,9.176436459257253e-05,0.009176436459257253,0.0035821834355745643,0.0,0.0011022320198401765,0.0005511919525974921,0.36608557844690964,0.0013247252117397363,-0.3410987902712123,-0.2637883328770803,0.49175600403086805,0.6695590798586736,0.6695652930596395,,0.13404782089945064
capsules,E_multistage,3003,0.7665667665667666,858637,0.02000000465854713,1616,0.0018820526019726613,0.02164512551900323,0.0991451440275222,0.03851154922518685,0.011625184998475535,1.1625184998475535,0.472409912381283,0.028747433264887063,0.06697712642103822,0.043487193535132175,0.350982350982351,0.006837533441033685,-0.10217563117494009,0.7492760107266547,0.5417775022193726,-0.7247723862073885,-0.7247735544129582,0.058097531073381226,-0.07343374162350022
capsules,E_valid_ms,3003,0.09423909423909424,858637,0.02000000465854713,18,2.0963457200190534e-05,0.0002866679966127202,6.252883781097023e-05,0.017589534398923527,0.00015752569807769845,0.015752569807769845,0.0064013347947963475,0.0,0.0,0.0009587727708533077,0.5138195138195139,0.0068645953818283634,0.3041121057552181,-0.6352780478219267,-0.25806883047103074,0.6103143725240657,0.610315957091796,,-0.07343374162350022
cashew,E_multistage,17037,0.6487057580559957,804972,0.02,10183,0.01265012944549624,0.04950668730039527,0.052167191108110654,0.05387958466361927,0.015265817236248647,1.5265817236248647,0.5247772382693133,0.022506619593998235,0.05340277164798305,0.08394386088798658,0.7037623994834772,0.04716890941049288,-0.2700769365479278,0.0324125106887695,-0.08785373242654822,-0.7295047190053909,-0.7295049476290566,0.1083936488141185,-0.1293142638467447
cashew,E_valid_ms,17037,0.5341902917180255,804972,0.02,18,2.2361026222030083e-05,8.61355471051687e-05,6.140074112050573e-05,0.009873818398668176,2.7473058109461768e-05,0.0027473058109461768,0.0009444129546672429,0.0,0.0,4.413452202312649e-05,0.36725949404237834,0.007248921589698059,-0.06804515163768629,-0.05090530266056948,0.3261703506930027,0.3318398911352817,0.3318393767334709,,-0.1293142638467447
chewinggum,E_multistage,3346,0.7824267782426778,804972,0.02,1786,0.002218710712919207,0.054622088124296586,0.09252130224307885,0.042431054661942656,0.007785134212845324,0.7785134212845324,0.5156627566293679,0.05279366476022877,0.15477342718873735,0.07835804478859607,0.45188284518828453,0.0071416843883546095,0.1509042272986878,0.9238717290718416,0.1453562333335292,-0.7924089359307702,-0.7924085781173308,-0.04423191870890619,-0.05492641556084258
chewinggum,E_valid_ms,3346,0.5113568439928272,804972,0.02,133,0.00016522313819611117,0.004268400211717186,0.01856603840302311,0.019168702292639613,0.0006068664749629971,0.060686647496299706,0.04019692285702973,0.01847778266608007,0.011702595688517378,0.005851555281798583,0.43454871488344293,0.005788313992667628,0.1390066656822905,0.054942950447115974,0.2246829781539367,0.07899043016961663,0.0789887926205561,,-0.05492641556084258
fryum,E_multistage,31207,0.6437978658634281,804972,0.02,15331,0.019045382944996844,0.020636324729871154,0.03195277891076366,0.030980943873681523,0.023656998181942113,2.3656998181942113,0.480285919152724,0.004527325644065969,0.035377816104344074,0.049693324278584444,0.3907777101291377,0.0027589037148839455,-0.1380288128663832,0.5965661419972584,-0.17195166089841488,-0.7787852809404027,-0.7787853289082294,0.05545827743371323,0.02106882799992738
fryum,E_valid_ms,31207,0.3578363828628192,804972,0.02,38,4.7206610913174616e-05,4.9481881613633465e-05,4.4364342716743206e-05,0.011787485649633132,6.251529064577044e-05,0.006251529064577044,0.0012691895057007877,0.0,0.0,0.0,0.5022270644406703,0.00686518745807307,0.08712006046052329,0.07981548819886858,0.4308885163572796,0.21155967150073385,0.2115596818343244,,0.02106882799992738
macaroni1,E_multistage,1233,0.8069748580697486,1073296,0.02,823,0.0007667968575304483,0.053231496704340686,0.14197451502884575,0.060241742912392225,0.07281318369764062,7.281318369764062,0.6955919232665457,0.0,0.12358393408856849,0.13086038124678,0.291970802919708,0.0024947521460109024,0.0862986762042116,0.6822097134726529,-0.304173696324615,-0.5108606631238773,-0.5108396272837062,0.07492790839630392,0.39889788286906946
macaroni1,E_valid_ms,1233,0.38280616382806165,1073296,0.02,28,2.6087863925701763e-05,0.0016244050551128446,9.49049178998346e-05,0.038319665932532165,0.0028935864701840897,0.28935864701840897,0.027642732754159547,0.0,0.0,0.0,0.34630981346309814,0.001558601021945184,-0.011671978504367388,0.413521360455253,-0.06714702897373934,-0.3433741935110303,-0.34335397068111534,,0.39889788286906946
macaroni2,E_multistage,2808,0.813034188034188,1073296,0.02,1866,0.001738569788762839,0.13056200685442976,0.28913039561391596,0.05687127275074874,0.17615666159385218,17.615666159385217,0.6952330515422959,0.0,0.1377551020408163,0.26483726866624124,0.3041310541310541,0.008461184892766836,0.017343946372389847,0.8245103047284138,-0.0854413107871496,-0.33318983111008305,-0.3330718581212274,0.10042735042735051,0.5655305867698063
macaroni2,E_valid_ms,2808,0.5071225071225072,1073296,0.02,243,0.0002264053904980546,0.017023434891936952,0.050916262774849515,0.03443044079156394,0.028545440396905444,2.8545440396905444,0.11265956935830072,0.0,0.026785714285714284,0.1021059349074665,0.3579059829059829,0.0018889192367153535,-0.025991701348965023,-0.007615100686089998,0.08518111679041815,0.45207641132877724,0.4521296069481553,,0.5655305867698063
pcb1,E_multistage,53076,0.4097520536589042,1073296,0.02,7857,0.0073204409594370985,0.037071909463054824,0.025001629184752544,0.04130097960417392,0.04496710516923508,4.496710516923508,0.16977786208405637,0.0,0.0036802944235538844,0.013521081686534923,0.34326249152159166,0.0033223979161926096,0.022966396253626627,0.6985809187007589,-0.19060846935052303,-0.44890087555470715,-0.794209330648517,0.08207099253900063,0.15583140068743895
pcb1,E_valid_ms,53076,0.32329112970080637,1073296,0.02,35,3.2609829907127204e-05,0.00017424980747191872,0.00029954274418730485,0.02532975038097358,0.00029335502860533547,0.029335502860533547,0.0011075916361699893,0.0,0.0,0.0,0.5439181550983495,0.019364897356780247,-0.1211047012605422,-0.2268598353074392,0.2972744940699689,0.08333765080491021,0.26730774424944365,,0.15583140068743895
pcb2,E_multistage,12527,0.6131555839386924,1073296,0.02,1888,0.0017590673961330333,0.02120718110207742,0.033536641253855304,0.03864599528738862,0.033546537622792444,3.3546537622792445,0.19154007433454562,0.0,0.0,0.003246753246753247,0.4272371677177297,0.005031827205904436,0.172182823002899,0.795145460809569,-0.5095678947042267,-0.7382540655000088,-0.7809005009490858,0.07578958396101909,0.1000787938926217
pcb2,E_valid_ms,12527,0.3723956254490301,1073296,0.02,225,0.00020963462083153204,0.002549785777540033,0.006660441717582001,0.02186228881761384,0.004982261233034496,0.4982261233034496,0.028447129109418812,0.0063119927862939585,0.030663780663780664,0.015331890331890332,0.5023549133870839,0.0059229159551726,-0.05544882092555333,0.07238754673082577,0.2113729402325856,0.1124638841189135,0.10844769513413095,,0.1000787938926217
pcb3,E_multistage,13061,0.32654467498660134,1078663,0.020000009641570178,386,0.000357850412964939,0.005135665482945319,0.005045121081258491,0.031332798646331,0.003596464168063862,0.3596464168063862,0.02957422921555962,0.0,0.0,0.0,0.3461450118673915,0.011376842493524155,-0.05689866956088284,0.6968326403370766,-0.33823574474337664,-0.7155738076436332,-0.715632801851357,0.1458806310251286,0.10551575032288289
pcb3,E_valid_ms,13061,0.5158104279917312,1078663,0.020000009641570178,1,9.270736087174586e-07,1.4221032762344786e-05,5.534395603657436e-05,0.020188261862015187,9.884235882440251e-06,0.000988423588244025,8.127945780850513e-05,0.0,0.00014701558365186709,7.351319561861354e-05,0.5736926728428144,0.018929377877452563,0.009494172108338443,-0.09205920476131996,0.148673085276128,0.17089737745178074,0.17093124290260311,,0.10551575032288289
pcb4,E_multistage,10858,0.3752072204825935,1078663,0.020000009641570178,2251,0.002086842693222999,0.010116829140768694,0.022176368971499032,0.021086937889186246,0.009587461003206232,0.9587461003206232,0.21336316721559287,0.0,0.03650498563461214,0.03315306179933525,0.3409467673604715,0.0018750619921440279,-0.34189155667114846,-0.09125096820461431,-0.0777294814960923,-0.46919313969868515,-0.46919391644735264,0.1668815619819488,-0.16831715305464184
pcb4,E_valid_ms,10858,0.22342972923190274,1078663,0.020000009641570178,11,1.0197809695892044e-05,5.45812925809625e-05,0.0003083229446715164,0.004156192518558567,5.255627168027077e-05,0.005255627168027077,0.0011696081557980476,0.0025344973246972683,0.0006196833981184158,0.0003098416990592079,0.610241296739731,0.01567698236210508,-0.06081481385534262,-0.13327844083384346,0.20513513147848395,0.29700778734608496,0.2970077886692318,,-0.16831715305464184
pipe_fryum,E_multistage,70334,0.562174766115961,804972,0.02,23513,0.029209711642144073,0.0634345627687709,0.02644208641813993,0.061353948977161725,0.0418360087931382,4.18360087931382,0.2862078166732144,0.0,0.0,0.008873679393565587,0.5301276765149145,0.05907973003049702,0.03997828356749328,0.7041511129003725,-0.47697989321406503,-0.7968392486863908,-0.7968392669402283,0.0892990108858005,-0.16634230330160305
pipe_fryum,E_valid_ms,70334,0.4486876901640743,804972,0.02,0,0.0,0.0,0.0,0.024853379353697386,3.817819915763465e-08,3.817819915763465e-06,2.611840694328843e-07,0.0,0.0,0.0,0.4013848209969574,0.01589422391071713,-0.06258397713374736,-0.18243406235651122,0.6514218780552213,0.4777881163368381,0.4777881635199391,,-0.16634230330160305
