class,matched_pairs_n,matched_pair_win_rate,positive_C_AP_mass_capture,positive_R_pos_mass_capture,negative_R_neg_mass_capture,oracle_triage_delta_AP,valid_reference_coverage,peer_contamination_rate,shifted_matched_pair_win_rate
candle,1262,0.633122028526149,0.015012516693328223,0.006772020309165746,0.0414460965347167,0.012770661658770277,1.0,9.450328707085464e-05,0.44849445324881143
capsules,3003,0.8578088578088578,0.03759567230752371,0.24854474470795396,0.034911005394898595,0.01852820427034363,1.0,0.00021571402483564647,0.4435564435564436
cashew,17037,0.5575512120678523,0.049718892222357494,0.07274899159805549,0.06279443565978818,0.015192841383134148,1.0,3.5914292671049426e-05,0.5809708281974526
chewinggum,3346,0.8278541542139869,0.06355975957439215,0.13056102433746858,0.045953151795128204,0.009051123690634322,1.0,0.0004327976625273923,0.4468021518230723
fryum,31207,0.7750504694459577,0.02663315197560957,0.054146598159394065,0.02887969002818957,0.029929970323438915,1.0,2.617482347212077e-05,0.4200339667382318
macaroni1,1233,0.8929440389294404,0.0652625981215043,0.19933403983156628,0.0550779505044827,0.08731799655671085,1.0,0.0,0.4420113544201135
macaroni2,2808,0.8963675213675214,0.16929237838606437,0.37439105436933406,0.05177796354665572,0.22189232158217354,1.0,0.0,0.36324786324786323
pcb1,53076,0.636747305750245,0.0958399543205831,0.10045747441271052,0.038518003085606115,0.10654616747293999,1.0,0.0004528853177501826,0.3951315095334991
pcb2,12527,0.6666400574758522,0.03899121298171665,0.06347105468823715,0.03987786484310526,0.057230643366170925,1.0,0.00013148283418553688,0.4067214815997445
pcb3,13061,0.5442921675216292,0.02171442925167539,0.009393841815844194,0.03714700935934344,0.015098021504091896,1.0,0.00040293419680269217,0.3561748717556083
pcb4,10858,0.3885614293608399,0.012547986591013267,0.028294711879983215,0.024456458311325757,0.011794220598227656,1.0,0.00016898705886200845,0.32206667894639895
pipe_fryum,70334,0.7120027298319447,0.09977535169217881,0.06131698758240186,0.058110025617815995,0.06399333237805904,1.0,0.0001168736303871439,0.49897631302072964
