class,candidate,matched_pairs_n,matched_pair_win_rate,spearman_vs_C_AP,spearman_vs_R_pos,triage_budget_k,triage_actual_fraction,selected_positive_count,selected_positive_fraction,positive_C_AP_mass_capture,positive_R_pos_mass_capture,negative_R_neg_mass_capture,oracle_triage_delta_AP,oracle_triage_delta_AP_pp,fraction_A1_positive_oracle_recovered,extreme_C_AP_recall_top1pct,extreme_C_AP_recall_top5pct,extreme_C_AP_recall_top10pct,shifted_matched_pair_win_rate,shifted_positive_C_AP_capture,corr_D_rank,corr_D_logit,corr_G_rescue
candle,E_local,1262,0.7290015847860539,-0.8870761148027448,-0.8870751877295376,1073296,0.02,787,0.0007332553181974031,0.018569415100758643,0.007646881696252406,0.044878381021247526,0.015596356365599529,1.5596356365599529,0.6088312132517137,0.0,0.011573436208321852,0.045748932065591844,0.40332805071315375,0.0028656157202629905,0.22698215806455216,0.5580643808031674,-0.34402637608242576
candle,E_multistage,1262,0.7258320126782885,-0.9179564732768066,-0.9179540476791994,1073296,0.02,802,0.0007472309595861719,0.018904679830422,0.007819717336989315,0.042827037985076755,0.015875238843932382,1.5875238843932382,0.6197178815002377,0.0,0.01074676219344172,0.0454733360892931,0.38114104595879555,0.000977134342290326,0.2201547246564647,0.5889217024413902,-0.2621386515566023
candle,E_xstage,1262,0.48415213946117275,-0.7296655332015822,-0.7296625102828953,1073296,0.02,564,0.0005254841162177069,0.013095249282715854,0.006817558468122918,0.052919007551985364,0.011160088408316837,1.1160088408316837,0.43565368771764024,0.0,0.015431248277762469,0.02549262780763401,0.37480190174326466,0.004090843149499171,0.00023106344911325577,0.9755220571052615,-0.07959074732548975
candle,E_global,1262,0.6584786053882726,-0.8241430052623063,-0.824140251152653,1073296,0.02,668,0.0006223818965131706,0.015510906368427748,0.006641545214373791,0.04440095908849195,0.013165748545205358,1.3165748545205358,0.5139481602141653,0.0,0.01212455221824194,0.029350971475816452,0.3866877971473851,0.0018382244895797661,0.04486162106083323,0.848496583487656,-0.1733875637533902
capsules,E_local,3003,0.2713952713952714,-0.7435377809128179,-0.7435362191211469,858637,0.02000000465854713,340,0.00039597641378137676,0.0034059325141930505,0.0005032990558092148,0.037080507947307835,0.0022029363759707987,0.22029363759707987,0.0895202081076883,0.0,0.0,0.0044514450075332146,0.22111222111222112,0.0016820199441869984,-0.566982074878719,0.6329532170325392,0.16026550217518004
capsules,E_multistage,3003,0.7665667665667666,-0.7247723862073885,-0.7247735544129582,858637,0.02000000465854713,1616,0.0018820526019726613,0.02164512551900323,0.0991451440275222,0.03851154922518685,0.011625184998475535,1.1625184998475535,0.472409912381283,0.028747433264887063,0.06697712642103822,0.043487193535132175,0.350982350982351,0.006837533441033685,-0.10217563117494009,0.7492760107266547,0.5417775022193726
capsules,E_xstage,3003,0.7342657342657343,-0.9494009682981964,-0.9494018594380047,858637,0.02000000465854713,1675,0.0019507661561288415,0.021999984291340705,0.04507335244603531,0.048140235011220965,0.011906812882412576,1.1906812882412576,0.48385435855502307,0.0,0.041912066840158885,0.048760443774825364,0.20113220113220112,0.004433066372418021,-0.2969784318361521,0.9954041417446636,0.5669264380758892
capsules,E_global,3003,0.43656343656343655,-0.8616369490562912,-0.861636395297088,858637,0.02000000465854713,1149,0.001338167351278829,0.011291948086186766,0.0024138710848220844,0.0401300863891477,0.007031448753478831,0.7031448753478831,0.2857353315220368,0.0,0.00397205862210656,0.013080399945212984,0.24242424242424243,0.003184177874767245,-0.5282528447103151,0.7737367489370368,0.37235624642776727
cashew,E_local,17037,0.650760110348066,-0.5738096937221283,-0.5738098686991481,804972,0.02,9146,0.011361885879260396,0.045749567251447396,0.04420165719390387,0.04850879888777164,0.014096239643596853,1.4096239643596853,0.4845718768716876,0.0002206531332744925,0.05190219789919675,0.08623885603318916,0.7061102306744145,0.05139493406604017,-0.21407803587650256,-0.14010188889373806,0.017647396340452218
cashew,E_multistage,17037,0.6487057580559957,-0.7295047190053909,-0.7295049476290566,804972,0.02,10183,0.01265012944549624,0.04950668730039527,0.052167191108110654,0.05387958466361927,0.015265817236248647,1.5265817236248647,0.5247772382693133,0.022506619593998235,0.05340277164798305,0.08394386088798658,0.7037623994834772,0.04716890941049288,-0.2700769365479278,0.0324125106887695,-0.08785373242654822
cashew,E_xstage,17037,0.5260902741092915,-0.3965630168160116,-0.39656360249569084,804972,0.02,10206,0.012678701867891056,0.05343373565960026,0.05994792182020864,0.07026118422784866,0.016348655714141236,1.6348655714141236,0.5620008586707755,0.013901147396293027,0.07701474093035572,0.11009356518668903,0.572107765451664,0.035452713591572704,-0.0807628111413379,0.9587663885939223,0.12835881544471153
cashew,E_global,17037,0.6189469977108646,-0.638046954061276,-0.6380472553302569,804972,0.02,9721,0.012076196439130802,0.04775813152237321,0.04594710115920189,0.052061955127320154,0.014716902173641855,1.4716902173641855,0.5059077518775055,0.000441306266548985,0.055786035837231886,0.08665813399240886,0.8071843634442684,0.07279122045250765,-0.20205951768482971,0.181647353914917,-0.06073953434683021
chewinggum,E_local,3346,0.35355648535564854,-0.7326301840269426,-0.7326298182051454,804972,0.02,245,0.0003043584124665206,0.006828001736936474,0.005572004457948871,0.041872106216245486,0.0009811764952709634,0.09811764952709634,0.06499003902290455,0.0,0.020237571491421028,0.010559197500989924,0.4013747758517633,0.007154575243709662,-0.15004731359176118,0.3771139739103053,0.32841468554349534
chewinggum,E_multistage,3346,0.7824267782426778,-0.7924089359307702,-0.7924085781173308,804972,0.02,1786,0.002218710712919207,0.054622088124296586,0.09252130224307885,0.042431054661942656,0.007785134212845324,0.7785134212845324,0.5156627566293679,0.05279366476022877,0.15477342718873735,0.07835804478859607,0.45188284518828453,0.0071416843883546095,0.1509042272986878,0.9238717290718416,0.1453562333335292
chewinggum,E_xstage,3346,0.7331141661685595,-0.8723600103021633,-0.8723598962631441,804972,0.02,1664,0.0020671526463032254,0.05047639175990028,0.06434396127275037,0.054975406417235466,0.007199383105382484,0.7199383105382484,0.4768644491737795,0.006599208095028597,0.1438627364716234,0.07299045272559286,0.3081291093843395,0.0037957705875211038,0.14134735532040388,0.9744132373916564,0.23866261165153033
chewinggum,E_global,3346,0.34160191273161983,-0.757550352515806,-0.7575499203848038,804972,0.02,140,0.00017391909283801175,0.003709859800518042,0.0026790838951997907,0.045054052542851344,0.0005348739678238124,0.053487396782381236,0.03542836605722559,0.0,0.009766827980642323,0.005939548594306832,0.3374178123132098,0.0054605281968764866,0.08878607518177628,0.5160051438833951,0.4004937087408436
fryum,E_local,31207,0.4480405037331368,-0.7634755706688373,-0.7634756217397163,804972,0.02,8062,0.010015255189000363,0.010292502595745207,0.011689324568003588,0.02904460578542348,0.01223606646902653,1.223606646902653,0.2484174190526052,0.0,0.002802630160612267,0.015306837413360067,0.38110039414233987,0.004271889950576705,-0.20210396274630932,0.39308434847098783,-0.10139628589515344
fryum,E_multistage,31207,0.6437978658634281,-0.7787852809404027,-0.7787853289082294,804972,0.02,15331,0.019045382944996844,0.020636324729871154,0.03195277891076366,0.030980943873681523,0.023656998181942113,2.3656998181942113,0.480285919152724,0.004527325644065969,0.035377816104344074,0.049693324278584444,0.3907777101291377,0.0027589037148839455,-0.1380288128663832,0.5965661419972584,-0.17195166089841488
fryum,E_xstage,31207,0.4386515845803826,-0.7968267717654329,-0.7968267548887038,804972,0.02,10348,0.012855105519198183,0.013217406447774041,0.01466084575043636,0.03920851857836001,0.015593141075408934,1.5593141075408934,0.31657296653966494,0.0,0.00655384283712407,0.01353900548674665,0.29986861922004676,0.0016403242044431133,-0.2097732284522805,0.9556947702158973,0.19738028000601254
fryum,E_global,31207,0.40013458518922035,-0.7482852918111523,-0.7482852243827086,804972,0.02,5589,0.006943098641940341,0.006821350027782235,0.0061439619824339466,0.02785313360832345,0.008269130052956764,0.8269130052956764,0.16788041735190723,0.0,0.0028241888541554383,0.005131024372365769,0.348319287339379,0.0018174483181676324,-0.12502365960907083,0.5218219212328814,0.15943670476166616
macaroni1,E_local,1233,0.33901054339010545,-0.5186769021158345,-0.5186346639924476,1073296,0.02,127,0.00011832709709157586,0.007851101724623468,0.0016211777470561454,0.06759072369473004,0.012749960913651603,1.2749960913651603,0.121801703800346,0.0,0.0,0.0,0.2278994322789943,0.00330491003311179,0.02226555972311868,0.20569271443971257,-0.12697024392714626
macaroni1,E_multistage,1233,0.8069748580697486,-0.5108606631238773,-0.5108396272837062,1073296,0.02,823,0.0007667968575304483,0.053231496704340686,0.14197451502884575,0.060241742912392225,0.07281318369764062,7.281318369764062,0.6955919232665457,0.0,0.12358393408856849,0.13086038124678,0.291970802919708,0.0024947521460109024,0.0862986762042116,0.6822097134726529,-0.304173696324615
