class,n_images,n_pixels,selected_pixel_count,selected_positive_count,selected_positive_fraction,p0_original_final_consensus_ap,p0_original_final_consensus_auroc,p0_original_final_consensus_delta_ap,p0_original_final_consensus_delta_ap_pp,p0_original_final_consensus_delta_auroc,p0_original_final_consensus_positive_score_shift_mean,p0_original_final_consensus_normal_score_shift_mean,p1_stage8_ap,p1_stage8_auroc,p1_stage8_delta_ap,p1_stage8_delta_ap_pp,p1_stage8_delta_auroc,p1_stage8_positive_score_shift_mean,p1_stage8_normal_score_shift_mean,p1_stage16_ap,p1_stage16_auroc,p1_stage16_delta_ap,p1_stage16_delta_ap_pp,p1_stage16_delta_auroc,p1_stage16_positive_score_shift_mean,p1_stage16_normal_score_shift_mean,p1_stage24_ap,p1_stage24_auroc,p1_stage24_delta_ap,p1_stage24_delta_ap_pp,p1_stage24_delta_auroc,p1_stage24_positive_score_shift_mean,p1_stage24_normal_score_shift_mean,p2_global_max_stage_ap,p2_global_max_stage_auroc,p2_global_max_stage_delta_ap,p2_global_max_stage_delta_ap_pp,p2_global_max_stage_delta_auroc,p2_global_max_stage_positive_score_shift_mean,p2_global_max_stage_normal_score_shift_mean,p3_d_rank_selective_max_stage_ap,p3_d_rank_selective_max_stage_auroc,p3_d_rank_selective_max_stage_delta_ap,p3_d_rank_selective_max_stage_delta_ap_pp,p3_d_rank_selective_max_stage_delta_auroc,p3_d_rank_selective_max_stage_positive_score_shift_mean,p3_d_rank_selective_max_stage_normal_score_shift_mean
candle,200,53664800,10732960,1262,0.00011758172955084152,0.5140714646932013,0.9806885859154054,0.0,0.0,0.0,0.0,0.0,0.25095066171384955,0.981704573936426,-0.26312080297935175,-26.312080297935175,0.0010159880210205419,-0.22004784713039657,-0.00013913833076797003,0.4860133982848777,0.9845576116285032,-0.02805806640832359,-2.805806640832359,0.0038690257130977734,0.2674571141360595,0.0003981595105051766,0.44546453321726903,0.9710404369938006,-0.06860693147593228,-6.860693147593228,-0.009648148921604816,0.4093084618663765,0.0015148047532020895,0.4404878501332861,0.9771129961508911,-0.07358361455991519,-7.358361455991519,-0.003575589764514331,0.4326432006381531,0.001641320061475133,0.46595651220008355,0.9779469654461407,-0.04811495249311776,-4.8114952493117755,-0.0027416204692647383,0.0004132919647000078,4.015058569008714e-05
capsules,160,42931840,8586368,3003,0.0003497404257539393,0.69808838171653,0.9850620409264671,0.0,0.0,0.0,0.0,0.0,0.5427646541187189,0.9806989023366539,-0.1553237275978111,-15.53237275978111,-0.004363138589813187,-0.2896140672082114,-0.00018653221966167822,0.676985397201999,0.9898470460374316,-0.021102984514530965,-2.1102984514530965,0.004785005110964469,0.24379467244099087,0.00040478921708730843,0.599718962405704,0.9751486826080756,-0.09836941931082599,-9.836941931082599,-0.009913358318391463,0.4212884615976857,0.003008925328708021,0.6133284676950632,0.9819503390570851,-0.08475991402146676,-8.475991402146676,-0.003111701869382033,0.43182994969486477,0.0030303181337086966,0.5286011340076968,0.9807676797543403,-0.16948724770883317,-16.948724770883317,-0.004294361172126782,0.0031034754362601205,0.00023265004248793411
cashew,150,40248600,8049720,17037,0.002116471131915147,0.7653446443746631,0.9929981644396279,0.0,0.0,0.0,0.0,0.0,0.25376920892843924,0.9431803124748748,-0.5115754354462239,-51.157543544622385,-0.04981785196475308,-0.17307358566053158,-4.618944920730104e-05,0.7691561827437419,0.993454403690412,0.0038115383690787707,0.3811538369078771,0.00045623925078419614,0.18051643201441306,0.00016592793990290134,0.7328885948709933,0.9867031608763597,-0.03245604950366976,-3.245604950366976,-0.0062950035632681756,0.23786578992617521,0.0007806846879917592,0.7603615532883872,0.9909030116032448,-0.004983091086275926,-0.4983091086275926,-0.002095152836383063,0.29317219821366663,0.0008623261612946287,0.7012318318050526,0.9879909916373832,-0.06411281256961054,-6.411281256961054,-0.005007172802244608,0.00014978573089384758,6.710227983457413e-06
chewinggum,150,40248600,8049720,3346,0.0004156666318828481,0.8701852033118965,0.9919468773416473,0.0,0.0,0.0,0.0,0.0,0.8383100395108721,0.9950669392242478,-0.0318751638010244,-3.1875163801024398,0.0031200618826005,-0.40105925763636174,-0.00041717974016645574,0.8557479460632624,0.9839143701564147,-0.014437257248634094,-1.4437257248634094,-0.008032507185232629,0.10550960721465297,0.0004744422626311412,0.8393308664895596,0.9838073020201321,-0.03085433682233696,-3.085433682233696,-0.008139575321515213,0.20934626540125406,0.0023140215018844475,0.8570159327856178,0.9910847662795653,-0.013169270526278698,-1.3169270526278698,-0.0008621110620820049,0.2245161153712229,0.0023791106703140567,0.8539604759152022,0.9925687045708278,-0.01622472739669434,-1.6224727396694338,0.0006218272291804716,2.0123305606329045e-05,8.436407574484095e-05
fryum,150,40248600,8049720,31207,0.003876780807282738,0.3870974992524583,0.955077579618725,0.0,0.0,0.0,0.0,0.0,0.21894320789396837,0.928722779282005,-0.16815429135848992,-16.81542913584899,-0.026354800336719997,-0.037542018499876095,-0.0002203344560660403,0.41839286843778495,0.9591233180949175,0.03129536918532666,3.129536918532666,0.004045738476192495,0.046632872170677506,0.0003256076808669904,0.30625542067815403,0.9162534192756311,-0.08084207857430425,-8.084207857430425,-0.03882416034309388,0.22012078127887252,0.009462307159056438,0.32839963299315994,0.9283984448378149,-0.05869786625929835,-5.869786625929835,-0.026679134780910108,0.23505740184331775,0.009532441458611,0.3098901961658083,0.9350722514159945,-0.07720730308664997,-7.720730308664997,-0.020005328202730488,0.00021821438905165303,5.0271454985188496e-05
macaroni1,200,53664800,10732960,1233,0.00011487977221567955,0.21152247554014864,0.9496254402361601,0.0,0.0,0.0,0.0,0.0,0.19105384875946632,0.9775722132827336,-0.020468626780682314,-2.0468626780682313,0.027946773046573448,-0.003779258674451318,-1.108215940074606e-06,0.17701051878634202,0.9645904422035407,-0.03451195675380661,-3.451195675380661,0.014965001967380598,0.03899688382382202,2.0597320117010803e-05,0.13910406925915642,0.878434983891981,-0.07241840628099222,-7.241840628099222,-0.07119045634417909,0.15752501235902236,0.00018686349519907264,0.1396296901582154,0.9362450542825456,-0.07189278538193322,-7.189278538193323,-0.01338038595361457,0.15778417412081763,0.00018698959433971311,0.07011730280869957,0.9447419980897153,-0.14140517273144906,-14.140517273144907,-0.004883442146444872,1.6353088889268396e-06,2.8330943211777965e-06
macaroni2,200,53664800,10732960,2808,0.000261624006797752,0.08947778409927289,0.8961400469347792,0.0,0.0,0.0,0.0,0.0,0.0825447547714827,0.9847624162910142,-0.006933029327790191,-0.6933029327790191,0.08862236935623502,-0.00271999058105927,-2.4651748988261675e-06,0.08730750142240365,0.9239214167830466,-0.002170282676869237,-0.21702826768692368,0.0277813698482674,0.024258477260623152,2.8556668545988577e-05,0.03169591854120117,0.7855423390090465,-0.057781865558071716,-5.778186555807172,-0.11059770792573276,0.18116038369621104,0.0012974554292305483,0.033117435907444356,0.8712591313671271,-0.05636034819182853,-5.636034819182853,-0.02488091556765215,0.18175037733642796,0.0012989675280574325,0.005720692063843507,0.9050058443700124,-0.08375709203542937,-8.375709203542938,0.008865797435233191,8.183235435449363e-06,0.00010445528206090824
pcb1,200,53664800,10732960,53076,0.004945140949001953,0.20359251758914776,0.7892035777461162,0.0,0.0,0.0,0.0,0.0,0.1763777870741861,0.9494677355251199,-0.02721473051496165,-2.721473051496165,0.1602641577790037,-0.057960554968111005,-0.00010730842826051235,0.3029186597511554,0.9380629478077122,0.09932614216200764,9.932614216200763,0.148859370061596,0.07124683562045056,5.506887329160631e-05,0.08182209363406137,0.6915647898440882,-0.12177042395508639,-12.17704239550864,-0.09763878790202796,0.2132156825838865,0.010066739821881988,0.13425930210716824,0.7533187420750164,-0.06933321548197952,-6.933321548197951,-0.03588483567109979,0.22962353581206896,0.01006738808697485,0.06077683785071347,0.794887904446502,-0.1428156797384343,-14.281567973843428,0.005684326700385878,0.0029749110556752108,0.0010366841064753574
pcb2,200,53664800,10732960,12527,0.0011671523978473786,0.21507973835273084,0.8377243671601683,0.0,0.0,0.0,0.0,0.0,0.16764933089734155,0.9393765408960371,-0.04743040745538929,-4.743040745538929,0.10165217373586877,-0.0745544232829224,-0.00015262218612906883,0.2235381880154621,0.9354081685042674,0.008458449662731266,0.8458449662731266,0.09768380134409915,-0.0007464467992226364,-1.8499053368793793e-05,0.15023677455470336,0.7732876030801208,-0.06484296379802748,-6.484296379802748,-0.0644367640800475,0.4348384357985913,0.01018794740237296,0.1505381031327653,0.8281721119480021,-0.06454163521996553,-6.454163521996553,-0.009552255212166183,0.4348384863751454,0.010187950832390148,0.04507063475561084,0.829549405328368,-0.17000910359712,-17.000910359711998,-0.008174961831800331,0.003456206144181489,0.001010740739881357
pcb3,201,53933124,10786625,13061,0.0012108514016200618,0.48476338048955153,0.9001001686990684,0.0,0.0,0.0,0.0,0.0,0.27290034849658423,0.8821743570401929,-0.2118630319929673,-21.18630319929673,-0.017925811658875523,-0.20512305410819173,-0.00014103622608321357,0.47556005555495023,0.9407820502474347,-0.009203324934601298,-0.9203324934601298,0.04068188154836627,0.08243317023070852,0.00011884390494577745,0.3214385920935764,0.8986769484631655,-0.16332478839597514,-16.332478839597513,-0.0014232202359029111,0.5263126347686508,0.0216111311282397,0.37321016651865696,0.8965329365513419,-0.11155321397089457,-11.155321397089457,-0.0035672321477264735,0.5268746652638541,0.02161130504697885,0.2054458880345621,0.8989695038131666,-0.27931749245498944,-27.931749245498942,-0.0011306648859017443,0.0036356903910064486,0.001325655681730318
pcb4,201,53933124,10786625,10858,0.0010066169909494398,0.4524533063150986,0.9820309367426474,0.0,0.0,0.0,0.0,0.0,0.4048775226871108,0.9628642476476158,-0.04757578362798781,-4.757578362798781,-0.019166689095031608,-0.22333617143179801,-0.0008892087396614105,0.4068459319762037,0.9767345824605134,-0.04560737433889489,-4.560737433889489,-0.0052963542821340415,0.044669195857504326,0.000565237089056023,0.3328583481161186,0.9774771999005477,-0.11959495819898003,-11.959495819898002,-0.004553736842099698,0.5037185527533932,0.027478668652530555,0.3499396939846946,0.9776096229060188,-0.10251361233040401,-10.251361233040402,-0.004421313836628582,0.5050262746668553,0.027485351088720942,0.36078035943715164,0.9702637403363997,-0.09167294687794697,-9.167294687794698,-0.011767196406247682,0.002292319280810814,0.0005448069286934264
pipe_fryum,150,40248600,8049720,70334,0.0087374467683348,0.5380374207213229,0.9550947170178653,0.0,0.0,0.0,0.0,0.0,0.4846670417032294,0.9725804359508401,-0.053370379018093494,-5.3370379018093494,0.017485718932974792,-0.11067230657955737,-0.0001207706878812342,0.5632315738001528,0.9853850761620155,0.025194153078829884,2.5194153078829884,0.030290359144150236,0.09380768971237426,0.00015853864706056404,0.43022877426376016,0.8832830403502103,-0.10780864645756272,-10.780864645756271,-0.07181167666765498,0.17630177296800317,0.00170350762943172,0.49158343179977865,0.9200299882641448,-0.04645398892154423,-4.645398892154423,-0.035064728753720464,0.2091914353326615,0.0017506256004017392,0.4741027330731284,0.9459919143651073,-0.06393468764819449,-6.393468764819449,-0.00910280265275798,0.0009791693433400888,2.3444447359800962e-05
