class,n_images,n_pixels,baseline_ap,baseline_auroc,selected_pixel_count,selected_positive_count,selected_positive_fraction,selected_positive_G_rescue_mean,selected_positive_G_rescue_median,G_rescue_vs_C_AP,G_rescue_vs_R_pos,internal_stage_rescue_delta_AP,internal_stage_rescue_delta_pp,A1_positive_only_oracle_delta_AP,A1_positive_only_oracle_delta_pp,fraction_of_A1_oracle_recovered,normal_inflation_mean,harmful_normal_inflation_mean,normal_positive_inflation_fraction,harmful_normal_positive_inflation_fraction,score_matched_count,score_matched_high_G_rescue_mean,score_matched_low_G_rescue_mean,score_matched_mean_signed_difference,stage8_ap,stage8_auroc,stage8_delta_ap,stage8_delta_ap_pp,stage8_delta_auroc,stage8_pixel_winner_fraction,stage8_image_majority_fraction,stage16_ap,stage16_auroc,stage16_delta_ap,stage16_delta_ap_pp,stage16_delta_auroc,stage16_pixel_winner_fraction,stage16_image_majority_fraction,stage24_ap,stage24_auroc,stage24_delta_ap,stage24_delta_ap_pp,stage24_delta_auroc,stage24_pixel_winner_fraction,stage24_image_majority_fraction
candle,200,53664800,0.5140714646932013,0.9806885859154054,10732960,1262,0.00011758172955084152,-0.03855836018919945,-0.05230361223220825,0.2869323186056809,0.2869379938995049,0.002476885473005286,0.24768854730052858,0.025616880386767238,2.561688038676724,0.09668958263492365,0.0016413200613940651,0.0017871635788841139,0.9999967159421509,0.9999964241290911,1262,-0.03855836049029264,,nan,0.25095066171384955,0.981704573936426,-0.26312080297935175,-26.312080297935175,0.0010159880210205419,0.624405705229794,0.64,0.4860133982848777,0.9845576116285032,-0.02805806640832359,-2.805806640832359,0.0038690257130977734,0.20443740095087162,0.16,0.44546453321726903,0.9710404369938006,-0.06860693147593228,-6.860693147593228,-0.009648148921604816,0.17115689381933438,0.2
capsules,160,42931840,0.69808838171653,0.9850620409264671,8586368,3003,0.0003497404257539393,-0.06490058451890945,-0.04342466592788696,-0.5273468549240866,-0.527350815348655,0.0051671912573272305,0.516719125732723,0.024608257984842674,2.4608257984842674,0.20997793750821103,0.0030303181338078786,0.004571068961350353,0.9999991585998793,1.0,3003,-0.06490058096853289,,nan,0.5427646541187189,0.9806989023366539,-0.1553237275978111,-15.53237275978111,-0.004363138589813187,0.36663336663336665,0.13636363636363635,0.676985397201999,0.9898470460374316,-0.021102984514530965,-2.1102984514530965,0.004785005110964469,0.5337995337995338,0.6363636363636364,0.599718962405704,0.9751486826080756,-0.09836941931082599,-9.836941931082599,-0.009913358318391463,0.09956709956709957,0.22727272727272727
cashew,150,40248600,0.7653446443746631,0.9929981644396279,8049720,17037,0.002116471131915147,0.08833253383636475,0.09369748830795288,0.07707676365772281,0.0770764411543981,0.013500798808421144,1.3500798808421144,0.029090090276389424,2.9090090276389424,0.4641030220308008,0.0008623261612918482,0.0014455972505623904,0.9999996482009524,1.0,17037,0.08833252990400454,,nan,0.25376920892843924,0.9431803124748748,-0.5115754354462239,-51.157543544622385,-0.04981785196475308,0.9278041908786758,0.6666666666666666,0.7691561827437419,0.993454403690412,0.0038115383690787707,0.3811538369078771,0.00045623925078419614,0.030052239243998358,0.2857142857142857,0.7328885948709933,0.9867031608763597,-0.03245604950366976,-3.245604950366976,-0.0062950035632681756,0.04214356987732582,0.047619047619047616
chewinggum,150,40248600,0.8701852033118965,0.9919468773416473,8049720,3346,0.0004156666318828481,-0.047082141041755676,-0.01697215437889099,-0.20662839646547862,-0.20662968901447304,0.0017325723836718598,0.17325723836718598,0.01509733660761714,1.509733660761714,0.11476013476428126,0.002379110670266783,0.002394766073115364,0.9999967767175261,0.9999969064138116,3346,-0.0470821452279755,,nan,0.8383100395108721,0.9950669392242478,-0.0318751638010244,-3.1875163801024398,0.0031200618826005,0.8843395098625224,0.8611111111111112,0.8557479460632624,0.9839143701564147,-0.014437257248634094,-1.4437257248634094,-0.008032507185232629,0.0657501494321578,0.027777777777777776,0.8393308664895596,0.9838073020201321,-0.03085433682233696,-3.085433682233696,-0.008139575321515213,0.049910340705319786,0.1111111111111111
fryum,150,40248600,0.3870974992524583,0.955077579618725,8049720,31207,0.003876780807282738,0.07186337560415268,0.07872682809829712,0.0988297746180195,0.09882970948693492,0.006825012833989508,0.6825012833989508,0.04925607276531363,4.9256072765313625,0.13856185543878186,0.009532441458793518,0.015164992668595856,0.9999999745682419,1.0,31207,0.07186338115908134,,nan,0.21894320789396837,0.928722779282005,-0.16815429135848992,-16.81542913584899,-0.026354800336719997,0.7412759957701798,0.9032258064516129,0.41839286843778495,0.9591233180949175,0.03129536918532666,3.129536918532666,0.004045738476192495,0.25250745025154614,0.0967741935483871,0.30625542067815403,0.9162534192756311,-0.08084207857430425,-8.084207857430425,-0.03882416034309388,0.0062165539782741055,0.0
macaroni1,200,53664800,0.21152247554014864,0.9496254402361601,10732960,1233,0.00011487977221567955,-0.007438508793711662,-0.01289290189743042,0.48082126250230917,0.4808001370389602,0.0026339608769004597,0.26339608769004597,0.10467801776033436,10.467801776033436,0.025162502436099306,0.00018698959434887327,0.00032887738817342883,0.9999991238762874,0.9999996721429827,1233,-0.007438508408493079,,nan,0.19105384875946632,0.9775722132827336,-0.020468626780682314,-2.0468626780682313,0.027946773046573448,0.9124087591240876,0.9032258064516129,0.17701051878634202,0.9645904422035407,-0.03451195675380661,-3.451195675380661,0.014965001967380598,0.08759124087591241,0.0967741935483871,0.13910406925915642,0.878434983891981,-0.07241840628099222,-7.241840628099222,-0.07119045634417909,0.0,0.0
macaroni2,200,53664800,0.08947778409927289,0.8961400469347792,10732960,2808,0.000261624006797752,-0.012028191238641739,-0.010645687580108643,0.32299067074081245,0.323023354267249,0.001625607145888469,0.1625607145888469,0.25337785826359743,25.33778582635974,0.006415742705494399,0.0012989675281746065,0.0024216295545865215,0.9999988070637112,0.9999997915038732,2603,-0.012656195137164613,,nan,0.0825447547714827,0.9847624162910142,-0.006933029327790191,-0.6933029327790191,0.08862236935623502,0.9715099715099715,0.9444444444444444,0.08730750142240365,0.9239214167830466,-0.002170282676869237,-0.21702826768692368,0.0277813698482674,0.019230769230769232,0.05555555555555555,0.03169591854120117,0.7855423390090465,-0.057781865558071716,-5.778186555807172,-0.11059770792573276,0.009259259259259259,0.0
pcb1,200,53664800,0.20359251758914776,0.7892035777461162,10732960,53076,0.004945140949001953,0.022954164072871208,0.0049270689487457275,0.14542531397343378,0.30910767807787226,0.012410717880245337,1.2410717880245337,0.26485847222514813,26.485847222514813,0.04685792293514161,0.01006738808686024,0.011398220264524691,0.9999876438788403,0.9999860104935288,53076,0.022954163632231888,,nan,0.1763777870741861,0.9494677355251199,-0.02721473051496165,-2.721473051496165,0.1602641577790037,0.6006858090285628,0.24242424242424243,0.3029186597511554,0.9380629478077122,0.09932614216200764,9.932614216200763,0.148859370061596,0.376516693043937,0.42424242424242425,0.08182209363406137,0.6915647898440882,-0.12177042395508639,-12.17704239550864,-0.09763878790202796,0.022797497927500188,0.3333333333333333
pcb2,200,53664800,0.21507973835273084,0.8377243671601683,10732960,12527,0.0011671523978473786,0.009911321103572845,0.011448442935943604,0.5782481266805087,0.6190727757628501,0.007615110390791685,0.7615110390791685,0.17514109117551954,17.514109117551953,0.043479861520105065,0.010187950831910948,0.010675008027131032,0.9999977592680455,0.999997652144968,12527,0.009911321995120728,,nan,0.16764933089734155,0.9393765408960371,-0.04743040745538929,-4.743040745538929,0.10165217373586877,0.4255607886964157,0.45454545454545453,0.2235381880154621,0.9354081685042674,0.008458449662731266,0.8458449662731266,0.09768380134409915,0.47249940129320667,0.36363636363636365,0.15023677455470336,0.7732876030801208,-0.06484296379802748,-6.484296379802748,-0.0644367640800475,0.10193981001037758,0.18181818181818182
pcb3,201,53933124,0.48476338048955153,0.9001001686990684,10786625,13061,0.0012108514016200618,0.08286653459072113,0.09481930732727051,0.3549637517607696,0.35497720562650137,0.015413863757508584,1.5413863757508584,0.12160804401190234,12.160804401190234,0.12675036329011227,0.021611305047080163,0.021875729388274763,0.9999999628232721,0.9999999623683976,10646,0.06529394852561922,,nan,0.27290034849658423,0.8821743570401929,-0.2118630319929673,-21.18630319929673,-0.017925811658875523,0.11308475614424623,0.17647058823529413,0.47556005555495023,0.9407820502474347,-0.009203324934601298,-0.9203324934601298,0.04068188154836627,0.303269274940663,0.29411764705882354,0.3214385920935764,0.8986769484631655,-0.16332478839597514,-16.332478839597513,-0.0014232202359029111,0.5836459689150907,0.5294117647058824
