class_name,n_images,n_positive_pixels,n_negative_pixels,pixel_ap,pixel_auroc,mean_positive_C_AP,harmful_normal_fraction,mean_positive_pairwise_risk,mean_negative_pairwise_risk,D_logit_positive_r_pos_spearman,D_logit_positive_c_ap_spearman,D_logit_negative_r_neg_all_spearman,D_logit_negative_r_neg_hard_spearman,D_logit_damage_capture_auc,D_logit_capture_at_20,D_logit_oracle_ap_gain_at_20,D_logit_score_matched_residual,D_rank_positive_r_pos_spearman,D_rank_positive_c_ap_spearman,D_rank_negative_r_neg_all_spearman,D_rank_negative_r_neg_hard_spearman,D_rank_damage_capture_auc,D_rank_capture_at_20,D_rank_oracle_ap_gain_at_20,D_rank_score_matched_residual,U_conf_positive_r_pos_spearman,U_conf_positive_c_ap_spearman,U_conf_negative_r_neg_all_spearman,U_conf_negative_r_neg_hard_spearman,U_conf_damage_capture_auc,U_conf_capture_at_20,U_conf_oracle_ap_gain_at_20,U_conf_score_matched_residual,D_logit_shifted_damage_capture_auc,D_logit_aligned_minus_shifted_capture_auc,D_rank_shifted_damage_capture_auc,D_rank_aligned_minus_shifted_capture_auc,D_logit_class_status,D_rank_class_status,stage_D_logit_p95,stage_D_rank_p95,stage_D_rank_zero_fraction
candle,4,505,1072791,0.1350196748593916,0.995906876235321,0.8649803251406084,0.22421795112002244,0.004093123764678921,0.004093123764678921,0.6024856918899855,0.5901672406838793,0.6596549148843934,0.4836382132711983,0.51427583159532,0.21303222681962922,0.8641411218848922,0.5450017156252461,0.7948633199317757,0.7868134354218622,-0.012422011730963833,-0.25662677454088,0.518156412403417,0.21389908062555252,0.0282420906491343,0.43048110961306657,-0.9997654963712334,-0.9925900022707634,0.7256688023659303,0.6499928188464755,0.47765255932124506,0.1770485989236071,0.8611075319287957,-0.3943618781359661,0.5061488353441932,0.008126996251126783,0.4854696068740799,0.032686805529337115,supported,supported,3.750884473323822,0.3210042491555214,0.0
capsules,4,483,1072813,0.6247897158491367,0.9998021184912259,0.37521028415086344,0.0013562475473358358,0.00019788150877409554,0.0001978815087740956,0.7170040305985744,0.7138345084680683,0.05578927149125941,-0.39720390934436167,0.5760517758900999,0.2379385727398057,0.3547588289325272,0.34454487657409366,0.45636758052465515,0.4567400741305412,-0.06270493782957161,-0.47182818382421277,0.5537063993053861,0.24380284586446296,-1.1102230246251565e-16,0.1470931569436612,-0.9999159961232126,-0.9981293129266433,0.06374344596814532,0.9978759688268334,0.39991738077543193,0.0767125532833968,0.3752102841508633,-0.3333897800743408,0.5551918220828482,0.020859953807251697,0.48019548955486635,0.07351090975051977,supported,supported,7.608348846435547,0.29188068211078644,0.0
cashew,4,372,1072924,0.32716993789461735,0.9931052610306242,0.6728300621053828,0.02117577759468518,0.006894738969375738,0.0068947389693757395,-0.620126063723123,-0.5600042636168021,0.23413195765037098,0.41110638503242286,0.4345171712418284,0.15083662725479136,0.6728300621053827,-0.2563413141025008,0.9221479873767792,0.8910444308164931,-0.11384014281515037,-0.39927615723725174,0.6275258078150536,0.2932862819239257,0.0006925280054186911,0.47130542031867356,-0.9998381522749185,-0.9548786075671265,0.2493816890121962,0.9808171418151651,0.362649020541368,0.04094610722746837,0.6728300621053827,-0.32463320600896,0.39372952769752,0.040787643544308416,0.6297037875193241,-0.002177979704270472,opposed,supported,3.431819260120392,0.33857861906290054,0.0
chewinggum,4,3894,1069402,0.9019776610160523,0.9992942609064215,0.09802233898394784,0.021530724647980833,0.0007057390935784686,0.0007057390935784686,0.4332187038358836,0.43325621287521054,0.2334976053383164,0.6637572462104684,0.8051425971288444,0.746664753802929,0.09802121796856789,0.5100773876405208,0.5425807631557621,0.5425919962275633,-0.05997807294549956,-0.6795172651771053,0.7197310520033255,0.6008777592181449,0.00035171413273560326,0.13521849806874,0.5482192822997857,0.5482131090911665,0.2514188341168112,0.999572744505681,0.5078177537815787,0.25486789292015877,0.09802233898394774,0.6986683786322111,0.7121451667410186,0.09299743038782582,0.46648945923486873,0.2532415927684568,supported,supported,3.6823049783706665,0.3350989446043968,0.0
fryum,4,1314,1071982,0.6321289168693841,0.9991602721543232,0.36787108313061595,0.006313538846734367,0.000839727845676729,0.000839727845676729,-0.6878622995565655,-0.6879212558853824,0.1341786195218291,0.38891154408707984,0.35783066595383,0.06063588980229336,0.3678710831306159,-0.3289573371182894,-0.08387024638666533,-0.08437126385090862,-0.12491838750319757,-0.03392997501118029,0.4747893593783475,0.19554150816075969,0.0,-0.06739049508291807,-0.9964642485286096,-0.9964295155081185,0.13719068909209894,0.9985858018519015,0.29765337062579983,8.787526728253136e-05,0.3678710831306159,-0.3314359873949422,0.4732239191069689,-0.11539325315313892,0.4200823880567893,0.05470697132155816,opposed,opposed,6.587913870811462,0.2899283394217491,0.0
macaroni1,4,603,1072693,0.3480086383935888,0.9783524890167357,0.6519913616064112,0.14087068713975015,0.021647510983264378,0.021647510983264378,-0.8273577838256717,-0.8224994840268447,0.5590051575541006,0.38771611033665687,0.3919440215101859,0.11844126477134236,0.4872981493267266,-0.4508346335935058,0.7755579354600409,0.5767533550843944,0.03822266561198118,-0.10065668792550385,0.567476017598396,0.2776474304736101,0.028417201928212954,0.3921210645776034,-0.999987151900041,-0.7890057623845795,0.6048557782954275,0.9958036164756141,0.39367372431497444,0.13698090759802284,0.6519913616064112,-0.26443856830236506,0.39408464038005836,-0.002140618869872435,0.45193672965321213,0.11553928794518392,opposed,supported,3.1400935649871826,0.3528911620378494,0.0
macaroni2,4,490,1072806,0.1948888546292315,0.9983978387860757,0.8051111453707684,0.012101908453159286,0.0016021612139243313,0.0016021612139243313,0.028523521080363767,0.035235400209968584,0.16874796712642576,0.6311233264128963,0.5007508131071922,0.2032688447168143,0.7897662713492672,0.2316274159010762,0.7098717423322127,0.7095533574977582,-0.126385846202051,-0.593552922818287,0.5184118626163267,0.22089525945040242,0.00015232223912978182,0.2752907256705613,-0.9999693492932001,-0.99141784238881,0.1893888255838441,0.9994529062004497,0.47506213310194667,0.17549939803358724,0.8051111453707684,-0.33064476182718683,0.5021557884446464,-0.0014049753374542062,0.4894428167458841,0.028969045870442578,supported,supported,6.624746084213257,0.34744879603385925,0.0
pcb1,4,1196,1072100,0.18475458206476142,0.9485556271581514,0.8152454179352386,0.2843065012592109,0.051444372841848544,0.051444372841848544,-0.9110291940408759,-0.9115778320847453,0.7403588712944652,0.6786210207977541,0.4369533966543664,0.13429509984013713,0.5980892525654793,-0.3161408538746108,0.6154580982174938,0.6145606447885342,-0.09936165220191476,-0.29661999887230456,0.5572560951020811,0.23875901678138828,0.4270016473899207,0.2997488690462116,-0.9999981815256875,-0.9998212319189455,0.7958696422599105,0.9999781566838758,0.43232465458077807,0.12224736830758946,0.7387301332552798,-0.33328838887182904,0.5527550992972856,-0.11580170264291922,0.548713133720507,0.008542961381574066,opposed,supported,6.829734206199646,0.3217577040195465,0.0
pcb2,4,1357,1071939,0.3043470905175133,0.9924451411637351,0.6956529094824867,0.12094531498527435,0.007554858836264896,0.007554858836264896,-0.37993100768658733,-0.28648257319707515,0.529697118668981,0.5450197727971636,0.4791999068548766,0.18851224680042705,0.6889906334920854,-0.05197081599383182,0.2596083781605572,0.2878770679931203,-0.15008955359581388,-0.42789463958952034,0.5217832847124263,0.23925353190610132,0.003702311177755324,0.04661640887406889,-0.9999991103885814,-0.7183376182133785,0.5663196409255431,0.9989079908463325,0.46861820102316853,0.18769474932765143,0.6956529094824867,-0.2367140144452251,0.5076076412627186,-0.028407734407842,0.5141312211131144,0.00765206359931192,opposed,supported,6.590487360954285,0.31701765209436417,0.0
pcb3,4,1238,1072058,0.34002780387616915,0.9980760616443753,0.659972196123831,0.012994632753078657,0.0019239383556246782,0.0019239383556246777,-0.06699709988488729,0.21500209962305447,0.19005885786148177,-0.0003389361289987218,0.5107649821679399,0.2031931109866609,0.6599721961238308,0.04922202120305615,0.6102503296983319,0.5489614150803231,-0.17391581942787393,-0.38939201429162046,0.5283368477705849,0.2373699578830015,0.00011704335307916036,0.25660657682901156,-0.9999984615875765,-0.7929181949259403,0.19616195049098278,0.9999360133912414,0.4624360592796597,0.18241184178529002,0.6599721961238308,-0.26432688104075847,0.5024365666186043,0.00832841554933561,0.5145751486218693,0.013761699148715612,opposed,supported,9.467209815979004,0.30502016097307205,0.0
pcb4,4,7992,1065304,0.7407424100127613,0.995345468179631,0.2592575899872387,0.03840781598492073,0.00465453182036899,0.00465453182036899,0.12503562750688324,0.13858791382538543,0.3070227048862674,0.16623438142775218,0.5882143705239176,0.33933296156812703,0.2546182942046682,0.1432859742533403,0.65703344477792,0.6480845773936832,-0.25429988937117165,-0.5214692179357081,0.6900731821696778,0.42520955230489266,0.0015278873910669066,0.2612162680786317,-0.6951975419704198,-0.7281089724579585,0.3329483244784127,0.999665556414636,0.26514294978616604,0.06233523922221001,0.2592575899872387,-0.1412136526712474,0.6744957945494889,-0.08628142402557137,0.5878550624635203,0.10221811970615757,supported,supported,9.112406015396118,0.2747606933116913,0.0
pipe_fryum,4,917,1072379,0.43886759838625583,0.9988048561010678,0.5611324016137442,0.025902223001382906,0.0011951438989322063,0.0011951438989322065,-0.48932114279655103,-0.4757757582483282,0.2318482166885821,0.49707378332426966,0.4700166111471687,0.1487588119914523,0.5611324016137442,-0.15600770590686985,0.2946566395667723,0.29955872934473166,-0.035471603570573274,-0.24069921722651988,0.5333231591526202,0.24452426908520283,0.05510927724215264,0.11783871722832802,-0.9999956425467832,-0.9955205854508524,0.2751506504977227,0.8971305630955829,0.4324309760250198,0.13852758981796917,0.5611324016137442,-0.36612855496735097,0.5008744212839881,-0.030857810136819375,0.5169724019353061,0.01635075721731405,opposed,supported,2.53842431306839,0.3491981774568558,0.0
