class_name,file_name,label,pixel_ap,pixel_auroc,positive_pixels,negative_pixels,mean_D_logit,p95_D_logit,mean_D_rank,p95_D_rank,mean_U_conf
candle,candle/Data/Images/Normal/0615.JPG,0,,,0,268324,0.21538040041923523,0.8049257397651672,0.18929892778396606,0.32247087359428406,-19.3441219329834
candle,candle/Data/Images/Normal/0377.JPG,0,,,0,268324,0.20034728944301605,0.6184208989143372,0.18994075059890747,0.323164701461792,-19.375099182128906
candle,candle/Data/Images/Anomaly/082.JPG,1,0.10424221909933848,0.9932504995610207,254,268070,2.548985242843628,6.145240783691406,0.1894453465938568,0.31895023584365845,-17.39873504638672
candle,candle/Data/Images/Anomaly/077.JPG,1,0.1647157750194291,0.9925756828768901,251,268073,1.5912220478057861,3.7288365364074707,0.19619564712047577,0.3196355104446411,-18.00981330871582
capsules,capsules/Data/Images/Normal/027.JPG,0,,,0,268324,5.736830234527588,8.670638084411621,0.17772746086120605,0.29881393909454346,-15.143628120422363
capsules,capsules/Data/Images/Normal/333.JPG,0,,,0,268324,3.6643338203430176,6.60896635055542,0.16559530794620514,0.2939838767051697,-16.604568481445312
capsules,capsules/Data/Images/Anomaly/024.JPG,1,0.7016800435920038,0.9998219388298274,181,268143,2.965005874633789,5.952433109283447,0.16416484117507935,0.29435813426971436,-17.074234008789062
capsules,capsules/Data/Images/Anomaly/014.JPG,1,0.6427699207120484,0.9994726759852323,302,268022,3.3781585693359375,6.205049991607666,0.15614667534828186,0.277778297662735,-16.69611358642578
cashew,cashew/Data/Images/Normal/435.JPG,0,,,0,268324,0.2559038996696472,0.9100115299224854,0.2077862024307251,0.3525826334953308,-19.28038787841797
cashew,cashew/Data/Images/Normal/309.JPG,0,,,0,268324,0.2909016013145447,1.0855904817581177,0.20553579926490784,0.34697020053863525,-19.2497615814209
cashew,cashew/Data/Images/Anomaly/044.JPG,1,0.8018824902761735,0.9998330133911482,183,268141,0.45129796862602234,1.5741043090820312,0.20134195685386658,0.33600401878356934,-19.073200225830078
cashew,cashew/Data/Images/Anomaly/028.JPG,1,0.6258909616309538,0.9995657245624613,189,268135,2.224839210510254,5.22318696975708,0.18726050853729248,0.31020456552505493,-17.63370704650879
chewinggum,chewinggum/Data/Images/Normal/486.JPG,0,,,0,268324,0.36552590131759644,1.6003698110580444,0.21702735126018524,0.34627431631088257,-19.224515914916992
chewinggum,chewinggum/Data/Images/Normal/384.JPG,0,,,0,268324,0.3438794016838074,1.402198314666748,0.2175750583410263,0.33911454677581787,-19.233219146728516
chewinggum,chewinggum/Data/Images/Anomaly/081.JPG,1,0.8374664115085089,0.9984195100963871,482,267842,2.330286741256714,4.503377437591553,0.2107720971107483,0.3307795226573944,-17.516799926757812
chewinggum,chewinggum/Data/Images/Anomaly/004.JPG,1,0.9546330127057736,0.9989996545381152,3412,264912,1.9101792573928833,4.898146629333496,0.1949225515127182,0.32500511407852173,-17.504182815551758
fryum,fryum/Data/Images/Normal/272.JPG,0,,,0,268324,0.4857846200466156,1.9958583116531372,0.1660977602005005,0.3052034080028534,-19.01710319519043
fryum,fryum/Data/Images/Normal/089.JPG,0,,,0,268324,0.3836406171321869,1.5215702056884766,0.17224201560020447,0.30587467551231384,-19.13318634033203
fryum,fryum/Data/Images/Anomaly/066.JPG,1,0.6495900227583782,0.998702421964635,608,267716,3.586670398712158,8.932271003723145,0.14981907606124878,0.2760191559791565,-16.282108306884766
fryum,fryum/Data/Images/Anomaly/011.JPG,1,0.8396785719009736,0.9994112946115724,706,267618,2.1717166900634766,6.017673969268799,0.15213370323181152,0.277098685503006,-17.351932525634766
macaroni1,macaroni1/Data/Images/Normal/0725.JPG,0,,,0,268324,0.22253791987895966,0.7108506560325623,0.19588951766490936,0.35757553577423096,-19.390710830688477
macaroni1,macaroni1/Data/Images/Normal/0790.JPG,0,,,0,268324,0.19219930469989777,0.6425800919532776,0.19804103672504425,0.37207460403442383,-19.42291831970215
macaroni1,macaroni1/Data/Images/Anomaly/014.JPG,1,0.5783847291732812,0.9994681985398355,359,267965,2.1337332725524902,4.666278839111328,0.1865794062614441,0.3197164535522461,-17.868993759155273
macaroni1,macaroni1/Data/Images/Anomaly/006.JPG,1,0.027725095542580097,0.9854172170284378,244,268080,0.5969032645225525,1.4994163513183594,0.19476421177387238,0.3540666997432709,-19.045310974121094
macaroni2,macaroni2/Data/Images/Normal/0994.JPG,0,,,0,268324,0.1645864099264145,0.5386670231819153,0.20120453834533691,0.3760779798030853,-19.392000198364258
macaroni2,macaroni2/Data/Images/Normal/0657.JPG,0,,,0,268324,3.9714138507843018,7.359530925750732,0.18691107630729675,0.3415726125240326,-16.4967041015625
macaroni2,macaroni2/Data/Images/Anomaly/091.JPG,1,0.22627337903324615,0.997146669821571,278,268046,2.097125291824341,4.954565048217773,0.17527031898498535,0.32805588841438293,-17.79591178894043
macaroni2,macaroni2/Data/Images/Anomaly/097.JPG,1,0.2890824301936572,0.9978630797492684,212,268112,4.159113883972168,7.501164436340332,0.1892250031232834,0.3334140479564667,-16.383384704589844
pcb1,pcb1/Data/Images/Normal/0170.JPG,0,,,0,268324,0.18564793467521667,0.8183338046073914,0.19095705449581146,0.33685073256492615,-19.404823303222656
