class,PGM_AUROC,PGM_delta,PCRR_delta,Trust_delta,Need_delta,Authority_delta,target_prevalence,PGM_AP
candle,0.9504051233435022,0.45040512334350224,0.0006502989747436683,0.00018334974977451957,0.05291277493908886,0.00014266070877133608,0.004043097151205259,0.29734915672979556
capsules,0.9304973648995538,0.4304973648995538,-0.00028505519813970537,-0.00031926524971259695,0.07428992591177164,1.0967925092586484e-06,0.006487399561723886,0.3703420935219429
cashew,0.8971905160557319,0.39719051605573186,0.0015404949058727135,0.0004946562234715568,0.04488234019772219,0.00021682218512864004,0.015325054784514245,0.19655596624590457
chewinggum,0.9684223857607691,0.4684223857607691,-0.0005897634915833505,-0.00014170892805376312,0.07230477901791466,-9.537489657263087e-05,0.012135378621865109,0.7451443293776885
fryum,0.9090261699553424,0.40902616995534236,-0.0001005748871458767,6.996258219238438e-05,0.023306652739706668,0.00018295100872234293,0.034024835646457266,0.21901196984121732
macaroni1,0.9235637072520735,0.4235637072520735,0.0020230148578507245,-0.0007138679603749809,0.0013436881281272406,0.000345853696933518,0.0023776479181884585,0.39438661974640254
macaroni2,0.9323071512284239,0.4323071512284239,0.002798025430747586,0.00045494924035738293,0.006624950700431009,0.0001038902095378269,0.0020598977355734114,0.24606388815840516
pcb1,0.8975545846623912,0.39755458466239124,0.0010574824458190468,-0.00011826027168537756,0.02790234663769764,0.00017192903714324803,0.008666910153396639,0.26288873630585624
pcb2,0.9038968643741517,0.40389686437415173,-0.00048642065992954286,5.9845346883302675e-05,0.03667029104408748,0.0002360062379676009,0.006296566837107377,0.2820610871743681
pcb3,0.9283327554215528,0.4283327554215528,0.000920117331419279,4.2359072270792275e-05,0.03939707192408415,4.458128892215196e-05,0.006312484327813089,0.20660984896656198
pcb4,0.9377039687242121,0.43770396872421213,-0.0002743712172307289,0.0001190862036791751,0.0527693016067452,3.1441616199501254e-05,0.01329001450017989,0.28532564374211516
pipe_fryum,0.9121183896105537,0.4121183896105537,0.00048558787095809297,0.0006426579285789824,0.024428553562595656,0.000421722672834024,0.01774044314584855,0.3090035558578012
