class,images,E_raw_image_auroc,T_v2_image_auroc,Need_C1_image_auroc,A1_N_E_raw_image_auroc,A2_N_T_v2_image_auroc,trust_image_auroc_delta,authority_raw_image_auroc_delta
bottle,83,0.49722222222222223,0.7277777777777777,0.9079365079365079,0.88015873015873,0.9079365079365079,0.2305555555555555,0.0277777777777779
cable,150,0.38071589205397305,0.7977886056971515,0.8378935532233883,0.8242128935532234,0.8374250374812594,0.41707271364317844,0.013212143928036046
capsule,132,0.41124850418827286,0.9349820502592741,0.7885919425608298,0.782608695652174,0.7977662544874351,0.5237335460710012,0.015157558835261153
carpet,117,0.86938202247191,0.9967897271268058,0.9815409309791332,0.9903691813804174,0.9907704654895667,0.12740770465489581,0.00040128410914930246
grid,78,0.8149540517961571,0.9933166248955723,0.9766081871345029,0.9732664995822891,0.9766081871345029,0.17836257309941517,0.003341687552213868
hazelnut,110,0.4751785714285714,0.6678571428571429,0.5471428571428572,0.5108928571428571,0.6612500000000001,0.19267857142857153,0.15035714285714297
leather,124,0.9436141304347826,1.0,0.9996603260869565,0.9996603260869565,0.9996603260869565,0.056385869565217406,0.0
metal_nut,115,0.6324535679374389,0.7663734115347018,0.7644183773216031,0.7737047898338221,0.7609970674486803,0.13391984359726294,-0.012707722385141729
pill,167,0.38175122749590834,0.5092744135297327,0.8175122749590835,0.7069012547735952,0.8409710856519368,0.12752318603382434,0.13406983087834157
screw,160,0.569583931133429,0.687435949989752,0.578397212543554,0.6614060258249642,0.7399057183849149,0.11785201885632302,0.0784996925599507
tile,117,0.7036435786435786,0.9253246753246753,0.9603174603174603,0.9581529581529581,0.9635642135642136,0.2216810966810967,0.005411255411255533
toothbrush,42,0.3583333333333333,0.8277777777777777,0.9083333333333332,0.8833333333333333,0.9388888888888889,0.46944444444444444,0.05555555555555558
transistor,100,0.44229166666666664,0.41999999999999993,0.525,0.44375000000000003,0.48208333333333336,-0.02229166666666671,0.03833333333333333
wood,79,0.605701754385965,0.9298245614035088,0.8697368421052631,0.8728070175438597,0.899561403508772,0.3241228070175438,0.02675438596491231
zipper,151,0.8715861344537814,0.9343487394957983,0.8521533613445379,0.9548319327731093,0.9183298319327732,0.06276260504201692,-0.036502100840336116
