model,class,AUROC,AP,normalized_AP,Brier,occupancy_Spearman
M0_E,candle,0.9504050670280845,0.2957904649822841,0.29293171923059774,0.10143796132348372,0.0012800426164519822
M0_E,capsules,0.9304974295749515,0.3694033747024781,0.36528572962301453,0.12335599574552802,0.00955870144512411
M0_E,cashew,0.8971905066267041,0.1959928042317317,0.18347958412578502,0.12509098711161015,0.05764167721868313
M0_E,chewinggum,0.9684224035641438,0.7447460236677408,0.7416103676471747,0.08083496230253091,0.016339763315695827
M0_E,fryum,0.9090261638224194,0.2186466617095277,0.19112481653358496,0.13406380503969303,0.02613718816348239
M0_E,macaroni1,0.9235636931929124,0.3937303300231555,0.3922853986664421,0.12299935920453864,0.0015734359775007288
M0_E,macaroni2,0.9323071512284239,0.2431184857271113,0.24155616899706875,0.1285873403588487,0.0012010516546595304
M0_E,pcb1,0.8975545753470136,0.2619623325583391,0.2555099037843444,0.13468268370229253,0.011627195964773436
M0_E,pcb2,0.9038968718358993,0.28095959752210925,0.2764034233139031,0.12875190611495807,0.007978900303791735
M0_E,pcb3,0.9283328427989168,0.20506665572155572,0.20001677414583796,0.14459372583892438,0.00744480639611771
M0_E,pcb4,0.9377039324674923,0.28459800204658314,0.2749622396990049,0.14818411766918194,0.0148537192334198
M0_E,pipe_fryum,0.9121183834865932,0.30854845372838025,0.2960602506265171,0.11860340971400739,0.06271894459600744
M1_E_Credibility,candle,0.9572444006085232,0.6482780443806988,0.6468502255336049,0.052546501947233995,0.06017087601808885
M1_E_Credibility,capsules,0.9437303069679667,0.6631905531760415,0.6609912680771446,0.10993242869938684,0.06612278667806351
M1_E_Credibility,cashew,0.9555450784913991,0.6191652630869394,0.6132381160264834,0.07901383993055956,0.08548270236034967
M1_E_Credibility,chewinggum,0.9749691920513643,0.8564367801673971,0.8546731842341687,0.08649894806595869,0.07723688810092279
M1_E_Credibility,fryum,0.9437846761285708,0.4599172798193576,0.4408937826656437,0.07924177810089966,0.0732228702700399
M1_E_Credibility,macaroni1,0.9497818380934756,0.5528725506233164,0.5518069052446248,0.05329186324968513,0.043824536678766124
M1_E_Credibility,macaroni2,0.9535080291694946,0.43242782059419466,0.4312562666657779,0.05915136716114948,0.0301354904172023
M1_E_Credibility,pcb1,0.9122028102845514,0.3836526962370334,0.3782641676388117,0.07052627471154364,0.0773408580890816
